,source,title_desc,publishedAt,title_desc_sent_1
0,Bloomberg News,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%. Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic.",2020-05-13,-1
1,CBC,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,-1
2,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,-1
3,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,-1
4,CBC,No decision made on Terra Nova oilfield shutdown: Suncor. Premier Dwight Ball says 'offshore industry has undergone tremendous challenges',2020-05-12,0
5,CBC,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,0
6,CBC,"Trump clarifies that coronavirus task force will 'continue on indefinitely'. Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,0
7,CBC,MRU expands mandatory unpaid leave for employees as COVID crisis continues. We recognize these decisions have significant impacts on employees',2020-04-27,0
8,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Oil price war ends with historic OPEC+ deal for biggest output cut ever of 9.7 million barrels a day. The question now for the oil market is whether the cuts will be enough to throw a floor under prices as demand for energy craters,2020-04-12,0
9,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX see biggest weekly gain since 2009 on Fed aid. U.S. stocks posted the biggest weekly gain since 1974,2020-04-09,0
10,CBC,Pretty good for government': Laid-off workers praise ease of COVID-19 emergency benefits site. But laid-off bartender who originally qualified for EI found switch-over to COVID-19 benefit confusing,2020-04-07,0
11,CBC,P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines. ‚Äö√Ñ√≤It‚Äö√Ñ√¥s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed‚Äö√Ñ√¥,2020-04-07,0
12,CBC,"COVID-19 on P.E.I.: What's happening Monday, April 6. 8 of 22 of COVID-19 cases on P.E.I. considered recovered",2020-04-06,0
13,CBC,"Looking for work? These industries are hiring in Toronto during the COVID-19 pandemic. Accounting, e-commerce and IT jobs need to be filled, recruiters say",2020-04-03,1
14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market',2020-04-02,-1
15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks. Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash",2020-03-25,1
16,CBC,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
17,CBC,"Shut down construction sites until COVID-19 threat has passed, says wife of worried worker. Union leader says industry needs to find safe way to continue essential work",2020-03-24,0
18,Bloomberg News,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,-1
19,CBC,"PM says closures, social distancing measures could be in place for weeks or months. COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",2020-03-19,0
20,CBC,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'",2020-03-11,-1
21,CBC,"The depths of the despair': CBC Cape Breton explores poverty in Northside communities. I don't think we have conversations about pride and dignity,' says anti-poverty advocate Dorothy Halliday",2020-03-10,0
22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,-1
23,CBC,"A century ago, Winnipeg railways became 'birthplace' of fight for black Canadian workers' rights. Revisiting the struggles, victories of Winnipeg's sleeping car porters during Black History Month",2020-02-29,0
24,CBC,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies. Privacy commissioner's office says it has found 'strong indications of systemic under-reporting'",2020-02-14,0
25,Bloomberg News,"Healthy labour market is providing wage relief in Canada. Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market.",2020-02-13,1
26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Condo gains push Canadian housing starts to 4-month high. Could be good news for the nation's increasingly tight real estate markets,2020-02-10,0
27,CBC,"Canada added 35K full-time jobs last month, twice what was expected. Jobless rate ticks down to 5.5 per cent on surge in full-time work",2020-02-08,1
28,CBC,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources. Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,2020-02-07,0
29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto home prices rise at fastest pace in more than two years. Biggest increase since the mortgage stress test was launched,2020-02-06,0
30,CBC,"Aging government computer systems at risk of 'critical failure,' Trudeau warned. IT systems may not be able to handle service improvements promised by Liberals, briefing document says",2020-02-02,0
31,CBC,"P.E.I.'s farm technician program adds high-tech content. It's no different than any other industry, you can fall behind very quickly'",2020-01-29,0
32,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","U.S. Federal Reserve leaves main interest rate unchanged, saying policy is appropriate. Continues to signal policy will stay on hold for the time being as the U.S. enters a presidential election year",2020-01-29,0
33,CBC,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,0
34,CBC,University of Waterloo's RoboHub to be featured in YouTube AI series. RoboHub is a robotics incubator that provides researchers with expertise and equipment,2020-01-24,0
35,CBC,Replacing cheques with pay cards may benefit Ontario Works recipients. About 700 people in the region receive their Ontario Works assistance via cheque,2020-01-17,0
36,CBC,"P.E.I. sees 'tremendous growth' in jobs in 2019. Total number of jobs tops 80,000",2020-01-14,1
37,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Taco Bell is so desperate for workers it's offering $100,000 salaries. Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team",2020-01-09,1
38,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up",2020-01-09,-1
39,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,0
40,CBC,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,-1
41,CBC,New draft ethics guidelines for judges caution them about post-bench work. It will be up to law societies across Canada to give the new rules teeth,2019-12-15,0
42,CBC,"Retirement payments for city workers date back to at least 1964, city clerk says. It was previously thought the payments began in the 1980s",2019-12-14,0
43,CBC,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent,2019-12-06,-1
44,Bloomberg News,"Canada posts largest job loss since 2009 on full-time drop. Canada’s job market unexpectedly weakened for a second-straight month, registering the biggest drop in employment since 2009 and casting doubt on the resiliency of the domestic outlook.",2019-12-06,-1
45,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%",2019-12-06,-1
46,CBC,Stella's Circle holds Light Up Hope ceremony for fifth year. When they come to Stella's Circle... they experience hope',2019-12-04,0
47,CBC,"Labour leaders vow to fight bill on essential services in nursing homes. Proposed amendments are a 'direct assault' on collective bargaining rights, they say",2019-11-28,0
48,CBC,Municipal investigator contradicts allegations in Norman Wells lawsuit. Management consultant says SAO being sued by the town was a dedicated employee,2019-11-27,0
49,CBC,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,1
50,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Surge in number of Canadians who can't pay their debts has economists worried — and scratching their heads. Insolvencies are accelerating at a pace that's been associated with periods of distress, yet the economic backdrop has been positive",2019-11-18,0
51,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs. Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output,2019-11-08,1
52,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","As Ontario and Quebec see finances improve, Alberta's is only getting worse and it's adding to tensions. Quebec and Ontario have consistently outperformed Alberta during the last four years, but Alberta hasn't received any equalization payments",2019-11-06,0
53,CBC,Scammers spoofing more than a dozen federal government departments to defraud Canadians. It's a new version of a scam that has ripped off thousands of individuals,2019-11-06,0
54,CBC,Sophisticated' fraud scheme tripped by power bill error. Saint John police believe ID thieves from Montreal are part of criminal organization,2019-11-04,0
55,CBC,MLB conducting wider probe of Astros after assistant GM fired. Brandon Taubman directed inappropriate comments at female reporters following team's pennant-clinching win,2019-10-25,0
56,CBC,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says",2019-10-25,-1
57,CBC,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,0
58,CBC,"Investigation into harassment allegations against Concordia creative writing prof over. Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,0
59,CBC,Facebook CEO Mark Zuckerberg to appear before Congress on currency plan. Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09,0
60,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Jerome Powell says Fed to resume portfolio growth  — but it's not QE. Purchases will made up of Treasury bills, stresses buying should not be seen as return of crisis-era quantitative easing programs",2019-10-08,0
61,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
62,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s. Warning signs mounted today with wave of data showing slumping manufacturing,2019-10-01,-1
