title,description
"Canada's economy was slowing down even before COVID-19 hit, February GDP numbers suggest",Rail blockades and Ontario teacher strikes helped wiped out growth,2020-04-30,CBC
"Canada's economy was slowing even before COVID-19 hit, January GDP numbers show","Transportation, retail and oil and gas sector were contracting",2020-03-31,CBC
Canada's economy rebounded with 0.1% GDP increase in November,October contraction reversed by slight expansion in November,2020-01-31,CBC
Canada's debt-to-GDP ratio isn't a major election issue. But should it be?,Spending is always an important issue in any federal election campaign,2019-10-19,CBC
"U.S. reports on GDP, consumer spending remain positive",Improvement in economic data seemingly reduces the risks of a recession in the near term,2019-11-27,CBC
A crisis like no other: Canada's finances could take years to recover from the pandemic recession,No one knows for sure what the post-pandemic economy will look like — or which businesses will live to see it,2020-05-16,CBC
"Federal deficit likely to be higher than $252 billion, parliamentary budget officer says",PBO says it's possible federal debt will hit $1 trillion because of pandemic relief spending,2020-05-13,CBC
New Zealand plans spending spree to counter virus job losses,Finance Minister Grant Robertson unveiled a budget Thursday unlike any in nation's history,2020-05-14,CBC
"The pandemic has laid bare structural inequalities in our food systems, advocate says",'What this crisis has done is magnify and shine a light on these cracks within our food system',2020-05-15,CBC
England tiptoes out of lockdown as economy dives,U.K. economy contracted by a record 5.8 per cent in March from February,2020-05-13,CBC
"Ontario confirms 308 new COVID-19 cases, state of emergency to be pushed to June 2","COVID-19 death toll in Ontario sits at 1,733",2020-05-11,CBC
"With $20B Alberta deficit possible, Kenney warns province won't be able to 'insulate everyone'",Projections show Alberta's debt-to-GDP ratio could approach 20% this time next year,2020-04-26,CBC
Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report,"Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,CBC
"It's official — Canada's economy is in a recession, C.D. Howe says",Influential business group declares that slowdown meets bar to declare a recession,2020-05-01,CBC
"Austerity and COVID-19: Manitoba government creating, not solving, problems",,2020-04-21,CBC
"Federal deficit could top $252 billion, says budget officer",PBO report assumes real GDP will contract by 12 per cent this year,2020-04-30,CBC
"Ontario confirms 308 new COVID-19 cases, state of emergency to be pushed to June 2","COVID-19 death toll in Ontario sits at 1,776, according to a CBC count",2020-05-12,CBC
"Deficit reduction will have to wait for the economic recovery, federal officials say","Federal aid programs could continue well into the recovery phase, says government official",2020-05-09,CBC
"Diverting water from Lake Diefenbaker could help expand Sask. agriculture, Ralph Goodale says",Conduit infrastructure would cost about $3B,2020-05-08,CBC
"Provincial parks, trails and other tourist attractions set to reopen",Some services may be altered or eliminated because of COVID-19 restrictions,2020-05-13,CBC
Rowing against the tide of history: Pallister's pandemic response could do lasting damage to Manitoba economy,"Wherever and whenever it has been tried, austerity has failed as an economic strategy, say U of M professors",2020-04-25,CBC
COVID-19 has world's major economies on track for worst quarterly decline in history,"Yearly numbers should be better, but economists warn recovery could take months",2020-04-16,CBC
"Wage reductions, more layoffs for City of Winnipeg workers part of worst-case COVID-19 scenarios",City comes up with action plans for 3 possible outcomes of coronavirus pandemic,2020-04-21,CBC
Austerity is the wrong path for Manitoba during coronavirus pandemic: U of M professor,"'We can't afford not to help those around us,' says Asper School of Business assistant prof Shiu-Yik Au",2020-04-16,CBC
Austerity is the wrong path for Manitoba during coronavirus pandemic: U of M professor,"'We can't afford not to help those around us,' says Asper School of Business assistant prof Shiu-Yik Au",2020-04-16,CBC
Sask. projects revenue loss of $1B to $3B as province faces 'pandemic deficit',Finance minister says province will provide 'all financial resources necessary' to combat COVID-19,2020-04-17,CBC
Sask. finance minister to provide an update Friday amid fiscal uncertainty,COVID-19 and economic situation could have Sask. headed for $1B deficit: analysts,2020-04-16,CBC
"Economy could contract by 25% in second quarter, deficit could soar to $112.7B: PBO report",PBO predicts that the economy will contract by 5.1% in 2020-21 — the biggest drop since 1962,2020-03-27,CBC
Canada shifts its UN Security Council campaign pitch in response to pandemic,Trudeau government is convinced it needs to be at the table as nations make post-pandemic plans,2020-05-05,CBC
"Canada's economy grew at 0.3% pace in fourth quarter, slowest level in almost 4 years",Bad weather and strikes slowed growth to a crawl,2020-02-28,CBC
Many Sask. restaurants might permanently close due to COVID-19,Owner of two Regina restaurants says business is down 90%,2020-05-08,CBC
"Liberal government 'not thinking about raising taxes' right now, says Morneau",Trudeau dismisses calls for a budget in the short term as PBO warns debt could hit $1 trillion,2020-05-14,CBC
Bank of Canada flags Alberta economic challenges in latest update,Crown corporation anticipates province will stablilize next year,2019-10-30,CBC
Italians allowed to visit relatives as country loosens more coronavirus restrictions,Anyone wearing a mask and following physical distancing can visit relatives to sixth degree and kin to fourth,2020-05-04,CBC
How bad will Canada's COVID-19 recession be?,"2 million jobs could be at stake, and the economy could shrink by more than it did in 2009",2020-03-27,CBC
What voters need to know about deficits and the debt, Federal government posted a budgetary deficit of $14 billion last year,2019-10-03,CBC
"Canada's economy shrinks 0.1% in October, StatsCan reports",UAW strike weighted down manufacturing sector which declined for the 4th time in 5 months,2019-12-23,CBC
"COVID-19 not the only economic headwind on the horizon for Manitoba, budget warns","2020-21 spending plan includes $300M more for rainy-day fund, $57M more for emergency expenditures",2020-03-19,CBC
N.W.T. small businesses wonder if they'll survive 'tough year' ahead caused by COVID-19,"Businesses, government doing what they can, but economic fallout from COVID-19 will be deeply felt",2020-04-06,CBC
What a 'well-being budget' could look like in Canada,"The government may focus on mental health, climate change and housing, says Jennifer Moss",2020-02-09,CBC
Stampede cancellation will rip about $500M from Alberta economy,10-day celebration impacts everyone from cab drivers to restaurants to hotels,2020-04-24,CBC
"Alberta economy on track for most severe annual decline on record, national report predicts","'The provincial government is in a tight spot,' says Conference Board of Canada",2020-04-15,CBC
Conservative Leader Andrew Scheer to drop pledge to balance budget in 2 years,"'In the last three years, Trudeau has made an even bigger mess of the budget than I thought possible'",2019-05-23,CBC
