title,description,publishedAt,title_desc_sent_1,source
Looking back at a decade of Vancouver real estate,"It's been a long and strange trip,' says urban planning professor Andy Yan",2020-01-01,0,CBC
"As London's homeless problem grows, so do attempts to find solutions","Representatives of churches, charities, shelters and aid agencies met to cook up ideas for the cause",2020-01-29,0,CBC
Dear Mr Mayor' 9-year-old makes handwritten pitch to solve London's housing crisis,"I am 9 years old and I want to make a change,' the child writes to Mayor Ed Holder",2020-01-10,0,CBC
This paramedic commutes 6 hours to work in Vancouver because he can't afford to live there,"Metro Vancouver's affordability crisis pushing professionals out to homes in Okanagan, Vancouver Island",2020-01-17,-1,CBC
"Toronto home sales jump 17.4% in December, average price up 12%",Condos saw the biggest price gains through 2019,2020-01-07,1,CBC
How produce stickers contribute to climate change,Also: The biggest players in battery storage,2020-02-14,0,CBC
Montreal tenants are swapping apartments to avoid rising rents,"Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,1,CBC
Details scarce on NB Power plan to begin building solar-powered neighbourhood this year,Utility to spend millions on 100 solar-powered houses in Halls Creek area of Moncton,2020-02-19,0,CBC
We are not in a crisis': New N.W.T. government delivers $1.9B budget,"Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,1,CBC
Councillor pushes for micro-structure homeless solution,A request for a Conestoga Hut pilot project will be put forward to a city committee today,2020-02-19,1,CBC
There isn't consistency': COVID-19 response varies for children in care,"Child welfare an essential service, but it's not being handled like others during this pandemic, advocate says",2020-03-29,0,CBC
Social distancing is important. But what if you live in an apartment tower with shared spaces?,"33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26,0,CBC
"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak","COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,-1,CBC
"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues",It was a relief for everybody. At least we can just focus on one thing now: our kids',2020-03-23,0,CBC
7 potential lingering effects of COVID-19 on the economy: Don Pittis,How to choose among economic forecasts in a time of record uncertainty,2020-03-30,0,CBC
What it's like being 30 and going through the 3rd recession of your adult life,Millennials who coped with previous economic downturns share tips on surviving,2020-04-14,-1,CBC
"Home sales fell 14% in March as COVID-19 settled in, CREA says","Average selling price basically unchanged from February, but sales were way down",2020-04-15,-1,CBC
"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show",This is an unprecedented time with a significant amount of uncertainty',2020-04-06,-1,CBC
COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?,Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,-1,CBC
