title,description,publishedAt,source
Another quarter-million Albertans lost work in April as COVID-19 shutdown grips province,Employment rate for young women cut nearly in half as pandemic hits service sector especially hard,2020-05-08,cbc
Coronavirus: What's happening in Canada and around the world Wednesday,"B.C. announces plan to ease COVID-19 restrictions, allowing small gatherings",2020-05-07,cbc
The economy's on life support and Canadians need help now. What's the holdup?,"As Canadians wait anxiously for household financial aid, many wonder why banks aren't doing more",2020-04-03,cbc
Sask. Landlord Association sees sharp spike in unpaid rents during COVID-19,Association says survey found 27 per cent of renters haven't paid bills yet,2020-04-03,cbc
P.E.I. government seeks ban on enforcement of evictions amid COVID-19 emergency,Government says it's necessary to protect health and safety of tenants and sheriffs,2020-03-30,cbc
Toronto to explore tax targeting vacant storefronts on city's main streets,A busy 2.3-kilometre section of Queen Street East is home to 44 vacant stores,2020-03-05,cbc
Counterfeit crackdown; cannabis costs: CBC's Marketplace consumer cheat sheet,Newsletter: Consumer and health news you need from the week,2020-02-23,cbc
"Mike Bloomberg courts black voters, but past record as NYC mayor under scrutiny","Opponents unearth past comments on policing and housing, which they say aren't reflective of Democratic Party",2020-02-13,cbc
"P.E.I. vacancy rate improved, but still lowest in country",Charlottetown vacancy rate now at 1.2% ,2020-01-15,cbc
Blip or trend? This week will test Canada's job-creation machine: Don Pittis,Some experts called doom when the country's job numbers plunged. But there's another view.,2020-01-06,cbc
Markets up as retailers rise with holiday shopping,"Amazon, other retailers had last-minute surge in online holiday shopping",2019-12-26,cbc
Markets up as retailers rise with holiday shopping,"Amazon, other retailers had last-minute surge in online holiday shopping",2019-12-26,cbc
Winnipeg's 125-year-old Central Park has transformed from 'breathing centre' to diverse gem,New booklet showcases past and present of one of city's first green spaces,2019-11-30,cbc
"Fed's Powell sees steady growth, signals pause in rate cuts",Powell's testimony comes a day after Trump attacked the Fed for not cutting interest rates further,2019-11-13,cbc
Demand for rental units on the rise in Saint John,"Study indicates 1,500 new rental units in development, thousands more needed",2019-10-16,cbc
A tale of two tenants: B.C. renters feeling affordability squeeze as parties campaign on housing,Metro Vancouver is home to 6 of the most expensive ridings for renters in all of Canada,2019-10-14,cbc
More Fed cuts expected to push Canadian interest rates lower: Don Pittis,Watch for effects of shrinking global economy to hit Canada as well,2019-09-19,cbc
Island voters prepare to go back to the polls,"'People were not looking forward to this election, more like dreading this election'",2019-09-13,cbc
Police worry about budget cuts at social agencies as crime rate increases,DOAP Team is dramatically scaling back patrols,2019-08-19,cbc
"Toronto area housing sales up 24.3% in July, prices rise due to tighter supply","Overall average selling price for properties in GTA was $806,755",2019-08-09,cbc
Canadian and U.S. economies are converging but danger lurks: Don Pittis,Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,cbc
"Canada's economy lost 2,200 jobs last month","Jobless rate ticks up to 5.5%, although past year has seen 421,000 jobs added",2019-07-05,cbc
"Housing market rebounded in May from record lows earlier in the year, CREA says","Number of home sales inching higher, but prices still lower than they were in 2018",2019-06-14,cbc
Trade war darkens economic forecasts for Canada,"National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04,cbc
"Scheer pitches east-west energy corridor, blasts Trudeau for 'all-out attack' on oil",Conservative leader insists he can return budget to balance without deep spending cuts,2019-05-16,cbc
"High household debt, possible housing market shocks are main risks to the economy: Bank of Canada","Stephen Poloz, governor of the Bank of Canada, will speak to reporters after latest financial review",2019-05-16,cbc
