,source,title_desc,publishedAt,title_desc_sent_1
0,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada's soaring deficit may jeopardize its AAA rating, Macquarie says. The federal deficit could rise close to $400 billion as the government extends emergency programs to buffer impact of shutdowns",2020-05-13,0
1,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund. (Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,2020-05-05,0
2,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",A fight against Amazon becomes a state matter in Quebec. Quebec is urging its population to buy from local firms through an online directory of retailers called Le Panier Bleu,2020-04-25,0
3,Bloomberg News,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.",2020-04-15,-1
4,CBC,"Home sales fell 14% in March as COVID-19 settled in, CREA says. Average selling price basically unchanged from February, but sales were way down",2020-04-15,-1
5,CBC,What it's like being 30 and going through the 3rd recession of your adult life. Millennials who coped with previous economic downturns share tips on surviving,2020-04-14,-1
6,CBC,"Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?. In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek",2020-04-09,0
7,CBC,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,-1
8,CBC,"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show. This is an unprecedented time with a significant amount of uncertainty'",2020-04-06,-1
9,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'This is freezing the market': Once roaring, Canadian home sales brace for 30% drop from coronavirus. Real estate listings are drying up, open houses have been cancelled, and buyers are staying home",2020-04-02,-1
10,CBC,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak. COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,-1
11,CBC,7 potential lingering effects of COVID-19 on the economy: Don Pittis. How to choose among economic forecasts in a time of record uncertainty,2020-03-30,0
12,CBC,"There isn't consistency': COVID-19 response varies for children in care. Child welfare an essential service, but it's not being handled like others during this pandemic, advocate says",2020-03-29,0
13,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada ramps up asset buying to backstop coronavirus-slammed economy. CMHC announced Thursday it will buy up to $150 billion of mortgages from banks, triple the amount announced two weeks ago",2020-03-26,-1
14,CBC,"Social distancing is important. But what if you live in an apartment tower with shared spaces?. 33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26,0
15,CBC,"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues. It was a relief for everybody. At least we can just focus on one thing now: our kids'",2020-03-23,0
16,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trudeau unveils financial aid worth $82 billion to help Canadians weather coronavirus. This includes $27 billion in direct support for individuals and companies and $55 billion in tax deferrals for both households and businesses,2020-03-17,0
17,Bloomberg News,U.S. mortgage rates sink to a record low on COVID-19 fears. Rates for 30-year U.S. mortgages tumbled to the lowest on record as fears of a blow to the economy from the coronavirus sent investors rushing to the safety of Treasuries.,2020-03-05,0
18,CBC,"Montreal tenants are swapping apartments to avoid rising rents. Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,1
19,CBC,"We are not in a crisis': New N.W.T. government delivers $1.9B budget. Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,1
