,source,title_desc,publishedAt,title_desc_sent_1
0,CBC,"New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers. Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",2020-05-15,0
1,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'Stocks are overvalued': Wall Street heavyweights sound the alarm about markets. Legendary investors Stan Druckenmiller and David Tepper the latest to weigh in, saying risk-reward of holding shares worst they've seen in years",2020-05-14,-1
2,CBC,Seniors to receive up to $500 in a one-time payment to offset added costs due to COVID-19. PM promises help for long-term care facilities after pandemic exposed vulnerabilities,2020-05-13,0
3,CBC,This is what a trip to the dentist could look like in B.C. when offices reopen. Expect pre-appointment telephone screening and sparsely furnished waiting rooms,2020-05-09,0
4,CBC,The pandemic is creating a season of anxiety in hard-hit farm sectors. Canada isn't running out of food ‚Äî but some producers may be running out of time,2020-05-06,0
5,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stocks are falling today as investors worry rise in China, U.S. tensions will derail rebound. U.S. and China in spat over origin of the coronavirus",2020-05-04,-1
6,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",So much for this week’s rally: U.S. stocks erase gain on profit warnings. 'Earnings continued to be a minefield',2020-05-01,-1
7,CBC,"How Sask. businesses are 'navigating the unknown' and adapting to stay afloat during COVID-19. From food and drink to working out, nearly everything has changed because of the pandemic",2020-04-21,0
8,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Shopify pushes past TD to become Canada's second-biggest stock. Shopify's shares jumped as much as 7.8 per cent, pushing its market value over the $100 billion mark",2020-04-20,1
9,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks surge higher on report that Gilead drug is helping COVID-19 patients. The week is ending on an upbeat note after the White House set guidelines to reopen the economy,2020-04-17,1
10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shopify just leapfrogged Brookfield to become the third-largest company in Canada. Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily,2020-04-17,1
11,CBC,"CBC News poll: Why the economic crisis could speed up transition to renewable energy. Poll suggests Albertans support energy transition, but it‚Äôs complicated",2020-04-16,0
12,CBC,Struggling with nightmares and sleepless nights? Don't let pandemic stress ruin your rest. All the bad sleep habits that we have can be exacerbated by this',2020-04-15,0
13,CBC,What's happened in Canada since WHO declared COVID-19 a pandemic. Canada had more than 100 confirmed cases on March 11 when pandemic declared,2020-04-11,0
14,CBC,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn. ‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin",2020-04-06,0
15,CBC,Alberta's economic decline will be the 'most severe' the province has ever seen: RBC. Research firm says Western Canada will need to cut oil production by more than 10%,2020-03-27,-1
16,CBC,"More than just groceries: Calgarians stock up on guns, water filters, cannabis and home gym equipment. Some stores are seeing more traffic as people prep for the COVID-19 pandemic",2020-03-24,0
17,CBC,Coronavirus puts a spotlight on the moral compass of America. The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23,0
18,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","U.S. plans to keep markets open, but considering shorter trading hours. Top regulators and executives of exchange firms have come out in favour of keeping markets open",2020-03-17,0
19,Bloomberg News,Another 10% plunge sends Canada stocks to lowest since 2016. Canadian stocks plunged about 10 per cent as measures to curb the spread of the coronavirus only intensified concerns the economy is heading into a recession.,2020-03-16,-1
20,CBC,"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch. This is one of the biggest shocks we've seen in the last 40 years,' analyst says",2020-03-12,-1
21,CBC,"Ring of Fire was 'overhyped,' but still 'worth the effort' says Noront Resources. Current plan is for construction of mine to start in 2021 and to open in 2024",2020-03-02,0
22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX snaps six-day losing streak as global stocks rally on central bank hopes. Boost comes from news that finance ministers and bankers to hold teleconference on coronavirus response Tuesday,2020-03-02,1
23,CBC,What's next for Canada if the WHO calls COVID-19 a pandemic?. Schools could close and elective surgeries could be cancelled as officials work to stop spread of virus,2020-02-29,0
24,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TSX ready for opening bell after early close yesterday over technical issue. Heavy selling may have contributed to the technical problem,2020-02-28,0
25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Scotiabank profit tops estimates in revival of capital markets. Net income rises 3.5 per cent to $2.33 billion,2020-02-25,1
26,CBC,Hall of Fame golfer and LPGA great Mickey Wright dies at 85. American won 82 tournaments including 13 majors,2020-02-18,0
27,CBC,"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure. Earnings affected by drop in production, costs of rolling out edibles and vapes",2020-02-13,-1
28,CBC,"What Alberta job losses in January mean for Edmonton. Statistics Canada says Alberta lost 19,000 jobs last month",2020-02-08,-1
29,CBC,"As China deaths hit 722, WHO warns of global shortage of coronavirus protective equipment. UN agency has been sending testing kits, masks, gloves, respirators and gowns",2020-02-08,0
30,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Bombardier shares jump on report it's in talks to sell business-jet unit to Textron. Shares up 10 per cent,2020-02-04,0
31,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","What China's unexpected coronavirus contagion could mean for Canada. While it's too early to assess the full impact, it will definitely have economic repercussions",2020-01-31,0
