title,description,publishedAt,source
Canada lost nearly 2 million jobs in April amid COVID-19 crisis: Statistics Canada,Statistics Canada says unemployment rate soared to 13% as full force of pandemic hit,2020-05-08,CBC
U.S. economy lost 20.5 million jobs in April,Unemployment rate surged to 14.7 per cent last month,2020-05-08,CBC
Canada's big banks cut credit card interest rates to ease coronavirus impact,Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04,CBC
"Why high interest rates were a problem for '80s renters, too","They didn't have mortgages, but their landlords did",2020-04-03,CBC
Coronavirus: What's happening in Canada and around the world on March 27,"Bank of Canada makes another emergency rate cut, U.K. prime minister tests positive",2020-03-28,CBC
Bank of Canada may cut rates to aid economy sickened by COVID-19: Don Pittis,Central bank action may be part of a co-ordinated G7 plan as recommended by OECD,2020-03-03,CBC
"Canada's economy grew at 0.3% pace in fourth quarter, slowest level in almost 4 years",Bad weather and strikes slowed growth to a crawl,2020-02-28,CBC
"Mike Bloomberg courts black voters, but past record as NYC mayor under scrutiny","Opponents unearth past comments on policing and housing, which they say aren't reflective of Democratic Party",2020-02-13,CBC
Bank of Canada holds interest rates steady,Central bank holds the overnight rate steady at 1.75%,2020-01-22,CBC
"Rental vacancies up in Ottawa, but so's the rent",2-bedroom units in city's west end led surge in rental prices in 2019,2020-01-16,CBC
European Central Bank keeps rates low as new president takes helm,Decision follows a similar one by the U.S. Federal Reserve,2019-12-12,CBC
Retailers foresee holiday joy — even as Poloz looks to hold line on rates: Don Pittis,"While the world cuts interest rates, the Bank of Canada likely won't if we keep shopping",2019-12-03,CBC
"Who is Daniel Bard, the elusive man at centre of missing money scandal?","Moncton man, formerly employed by government-funded agency, being investigated by RCMP for breach of trust",2019-11-22,CBC
Home sales surged in Vancouver area in October,Real estate board says lower prices helped boost sales by 45.4% over 2018,2019-11-05,CBC
Pro-democracy activist Joshua Wong barred from Hong Kong election,Wong has been repeatedly arrested and jailed since playing key role in 2014 protests,2019-10-29,CBC
"'Rents have just gone sky high': Cardigan candidates, voters weigh in on housing crisis",'It's nothing that a senior can really afford',2019-10-02,CBC
More Fed cuts expected to push Canadian interest rates lower: Don Pittis,Watch for effects of shrinking global economy to hit Canada as well,2019-09-19,CBC
"Even in an 'affordable' Canadian city, cost-of-living squeeze has people putting pressure on politicians","Cost of living is a big federal election issue, even in places where daily expenses are lower than average",2019-09-15,CBC
"Home sales climb higher in July, Canadian Real Estate Association reports","Sales up in most large markets, including Calgary, Edmonton, Toronto, Montreal, B.C. Lower Mainland",2019-08-15,CBC
Stock markets sell off as inverted yield curve in bond market prompts recession fears,"Dow Jones loses 800 points, TSX down almost 300",2019-08-14,CBC
U.S. central bank cuts interest rate for 1st time since 2008,"Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31,CBC
Mortgage stress test rules get more lenient for first time,"Posted mortgage rates in Canada have inched lower, so stress test benchmark has followed suit",2019-07-19,CBC
Federal Reserve holds key interest rate steady — but its patience is wearing thin,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,CBC
Federal Reserve holds key interest rate steady — but its patience is wearing thin,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,CBC
"Stocks fall as trade concerns spark growth fears, push investors to bonds",Each of the major U.S. indexes suffered their fourth decline in five sessions,2019-05-30,CBC
Having trouble finding housing in eastern P.E.I.? Rotary wants to know,Vacancy rates on P.E.I. are at a record low,2019-05-22,CBC
