,title_desc,publishedAt,title_desc_sent_1
129,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.",2018-03-02,-1
114,"China economic growth slows more than expected in third quarter. China’s economic growth slowed more than expected in the third quarter, as weak industrial output data and what the government called the ""severe international situation"" challenged efforts to stabilize the economy and reach its growth targets.",2018-10-18,-1
128,"Canadian GDP growth falls short of expectations in Q4. Canada’s economy decelerated more than expected in the second half of last year, amid signs indebted households have begun slowing down spending.",2018-03-02,-1
102,"Month-late GDP data to detail where the U.S. economy is losing steam. After a monthlong delay due to the federal shutdown, data out Thursday will show just how much steam the U.S. economy lost in the fourth quarter -- and what it all means for 2019.",2019-02-27,-1
77,"U.S. growth slows to 2.1% as trade tensions weigh on businesses. U.S. economic growth slowed in the second quarter by less than forecast as consumer spending topped estimates, though weaker business investment and exports underscored the risks spurring the Federal Reserve toward an interest-rate cut next week.",2019-07-26,-1
7,"America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,-1
129,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.",2018-03-02,-1
39,"Canada's economy shrinks in October from auto strike spillover. Canada’s economy contracted in October for the first time in eight months, as the United Auto Workers strike in the U.S. weighed on plant production.",2019-12-23,-1
110,"Canada's growth weakens as investment drops, consumers fade. Heightened trade uncertainty over the summer took a major toll on Canada's economy in the third quarter, prompting households to slow consumption and businesses to sharply curtail investment.",2018-11-30,-1
30,It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26,-1
30,It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26,-1
13,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,-1
103,"Recession risk looks elevated, says Nobel economist Robert Shiller. Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'",2019-02-12,-1
60,"Canadian economy stalls in July amid oil and gas slowdown. Canada’s economy unexpectedly stalled in July, a result that could raise concern the nation isn’t immune to the broader global slowdown.",2019-10-01,-1
13,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,-1
0,"Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report. Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,-1
104,"Energy slump drives Canada's second GDP decline in 3 months. Canada’s economy contracted for the second time in three months on lower energy production, the clearest evidence yet of a soft patch that’s expected to linger through the first part of this year.",2019-01-31,-1
47,Canada's economy faces a prolonged period of sluggish growth. Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.,2019-11-28,-1
13,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,-1
46,"Canadian economy cooled off in 3rd quarter, Statistics Canada says. Bank of Canada expected to hold line on interest rates next week",2019-11-29,-1
121,Mexican economy stalls with declines in oil and industry output. Mexico’s economy stalled in the second quarter amid a drop in oil and industrial output and a slowdown in services activity.,2018-08-24,-1
47,Canada's economy faces a prolonged period of sluggish growth. Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.,2019-11-28,-1
7,"America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,-1
109,"Alberta oil cuts will slow Canadian economy next year, banks predict. BMO economists say gross domestic product could expand by 1.8 per cent next year, instead of the 2 per cent forecast previously",2018-12-03,-1
9,Canada's AAA credit rating on the line as oil crash slams debt-loaded provinces. Provinces are likely to need more assistance from the federal government — which could trigger a downgrade,2020-04-23,-1
104,"Energy slump drives Canada's second GDP decline in 3 months. Canada’s economy contracted for the second time in three months on lower energy production, the clearest evidence yet of a soft patch that’s expected to linger through the first part of this year.",2019-01-31,-1
3,"May and Blanchet declare the oilpatch 'dead,' warn Ottawa against financial supports. Prime Minister Justin Trudeau has promised financial aid for Alberta's beleaguered oil and gas industry",2020-05-06,-1
38,"Canada's economy shrinks 0.1% in October, StatsCan reports. UAW strike weighted down manufacturing sector which declined for the 4th time in 5 months",2019-12-23,-1
14,"Nearly 1 million Canadians applied for jobless claims last week as economy rapidly deteriorates. The new figure of 929,000 — 5% of the labour force — includes claims made over the weekend, source says",2020-03-24,-1
6,"So much uncertainty': New data highlights global economic pain from COVID-19. France's economy shrank by 5.8%, the biggest quarterly drop since 1949, as Germany projects 6.3% GDP decline",2020-04-30,-1
53,"Canada's economy grew at a slower-than-expected pace in August. Canada’s economy grew slower than forecast in August after a lull in the prior month, reinforcing the view the nation’s economy is showing signs of decelerating into the second half of the year.",2019-10-31,-1
128,"Canadian GDP growth falls short of expectations in Q4. Canada’s economy decelerated more than expected in the second half of last year, amid signs indebted households have begun slowing down spending.",2018-03-02,-1
0,"Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report. Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,-1
99,"Global economy hits its weakest spell since financial crisis. The global economy’s sharp loss of speed through 2018 has left the pace of expansion the weakest since the global financial crisis a decade ago, according to Bloomberg Economics.",2019-03-11,-1
15,Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes'. Federal Reserve removes limits on how much debt it will take on from banks as collateral,2020-03-23,-1
7,"America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,-1
22,"Canada's output stalls as exports and business investment drop. Canada’s economy slid to a near halt in the fourth quarter, as exports dropped by the most since 2017 and business investment declined, but December came in stronger-than-expected, suggesting the economy had a bit of momentum going into 2020 before the coronavirus concerns.",2020-02-28,-1
129,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.",2018-03-02,-1
73,"Alberta faces 'mild recession in 2019' due largely to pipeline uncertainty, Conference Board forecasts. Economic contraction of 0.8% 'not nearly as severe as the 2015-16 recession,' with recovery in 2020",2019-08-20,-1
51,PBO forecasts slower growth and deeper federal deficits. PBO cites weaker exports because of trade disputes and protectionism,2019-11-14,-1
3,"May and Blanchet declare the oilpatch 'dead,' warn Ottawa against financial supports. Prime Minister Justin Trudeau has promised financial aid for Alberta's beleaguered oil and gas industry",2020-05-06,-1
98,"U.S. fourth-quarter growth pace revised down to 2.2% from 2.6%. U.S. economic growth cooled by more than initially reported last quarter on revisions to consumer and government spending, signaling mounting challenges to the expansion as it nears a record duration.",2019-03-28,-1
22,"Canada's output stalls as exports and business investment drop. Canada’s economy slid to a near halt in the fourth quarter, as exports dropped by the most since 2017 and business investment declined, but December came in stronger-than-expected, suggesting the economy had a bit of momentum going into 2020 before the coronavirus concerns.",2020-02-28,-1
87,Jamaica's central bank using reggae to 'edutain' about nation's economic recovery. Music a natural way to teach Jamaicans about inflation and monetary policy,2019-06-18,0
8,P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions. This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23,0
117,"China will overtake the U.S. in less than 15 years, HSBC says. China is on course to be the world’s biggest economy by 2030, according to analysis that challenges Donald Trump’s claim that the U.S. is not about to be overtaken.",2018-09-25,0
75,"Why these artists rejected city life (and how they're making it big in their small town). This beautiful residence for creatives in Picton, Ont. helps couple build ideal artists' life.",2019-08-09,0
88,"U.S. businesses beg Trump not to escalate tariffs on China. Congress hears that tariffs on imports hurting family businesses, companies of all sizes",2019-06-17,0
63,"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May. Goal isn't to come up with something politically palatable, it's to secure future: May",2019-09-27,0
49,"Carbon tax must hit $210 per tonne by 2030 to meet Paris targets, report concludes. The tax remains the most cost-effective tool for fighting climate change, says Ecofiscal Commission",2019-11-28,0
49,"Carbon tax must hit $210 per tonne by 2030 to meet Paris targets, report concludes. The tax remains the most cost-effective tool for fighting climate change, says Ecofiscal Commission",2019-11-28,0
37,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,0
37,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,0
89,"Two more months of traffic pain until CN finishes rail bridge replacement. Local councillor says while project is on schedule, police are ticketing for 'dumb driving behaviour'",2019-06-14,0
59,"Stroller brigades' across B.C. make plea for national child-care strategy. All the major federal parties have committed to current levels of funding, but B.C. group wants more",2019-10-05,0
12,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn. ‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin",2020-04-06,0
37,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,0
74,"Hamilton hits $1B in building permits in just 8 months. It's the fastest the city has ever hit $1B, according to officials",2019-08-20,0
12,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn. ‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin",2020-04-06,0
