,description,publishedAt,title,title_desc_sent_1,title_desc
129,The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.,2018-03-02,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss",-1,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year."
114,"China’s economic growth slowed more than expected in the third quarter, as weak industrial output data and what the government called the ""severe international situation"" challenged efforts to stabilize the economy and reach its growth targets.",2018-10-18,China economic growth slows more than expected in third quarter,-1,"China economic growth slows more than expected in third quarter. China’s economic growth slowed more than expected in the third quarter, as weak industrial output data and what the government called the ""severe international situation"" challenged efforts to stabilize the economy and reach its growth targets."
128,"Canada’s economy decelerated more than expected in the second half of last year, amid signs indebted households have begun slowing down spending.",2018-03-02,Canadian GDP growth falls short of expectations in Q4,-1,"Canadian GDP growth falls short of expectations in Q4. Canada’s economy decelerated more than expected in the second half of last year, amid signs indebted households have begun slowing down spending."
102,"After a monthlong delay due to the federal shutdown, data out Thursday will show just how much steam the U.S. economy lost in the fourth quarter -- and what it all means for 2019.",2019-02-27,Month-late GDP data to detail where the U.S. economy is losing steam,-1,"Month-late GDP data to detail where the U.S. economy is losing steam. After a monthlong delay due to the federal shutdown, data out Thursday will show just how much steam the U.S. economy lost in the fourth quarter -- and what it all means for 2019."
77,"U.S. economic growth slowed in the second quarter by less than forecast as consumer spending topped estimates, though weaker business investment and exports underscored the risks spurring the Federal Reserve toward an interest-rate cut next week.",2019-07-26,U.S. growth slows to 2.1% as trade tensions weigh on businesses,-1,"U.S. growth slows to 2.1% as trade tensions weigh on businesses. U.S. economic growth slowed in the second quarter by less than forecast as consumer spending topped estimates, though weaker business investment and exports underscored the risks spurring the Federal Reserve toward an interest-rate cut next week."
7,"GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun,-1,"America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low"
129,The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.,2018-03-02,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss",-1,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year."
39,"Canada’s economy contracted in October for the first time in eight months, as the United Auto Workers strike in the U.S. weighed on plant production.",2019-12-23,Canada's economy shrinks in October from auto strike spillover,-1,"Canada's economy shrinks in October from auto strike spillover. Canada’s economy contracted in October for the first time in eight months, as the United Auto Workers strike in the U.S. weighed on plant production."
110,"Heightened trade uncertainty over the summer took a major toll on Canada's economy in the third quarter, prompting households to slow consumption and businesses to sharply curtail investment.",2018-11-30,"Canada's growth weakens as investment drops, consumers fade",-1,"Canada's growth weakens as investment drops, consumers fade. Heightened trade uncertainty over the summer took a major toll on Canada's economy in the third quarter, prompting households to slow consumption and businesses to sharply curtail investment."
30,I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26,It's been tough': Edmonton's job market limps into new year,-1,It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough'
30,I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26,It's been tough': Edmonton's job market limps into new year,-1,It's been tough': Edmonton's job market limps into new year. I'm beginning to see now that the statistics ring true so it's been tough'
13,"Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy,-1,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain"
103,"Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'",2019-02-12,"Recession risk looks elevated, says Nobel economist Robert Shiller",-1,"Recession risk looks elevated, says Nobel economist Robert Shiller. Right now, he says, there's a spirit of thinking the lengthy bull market 'ought to come to an end soon'"
60,"Canada’s economy unexpectedly stalled in July, a result that could raise concern the nation isn’t immune to the broader global slowdown.",2019-10-01,Canadian economy stalls in July amid oil and gas slowdown,-1,"Canadian economy stalls in July amid oil and gas slowdown. Canada’s economy unexpectedly stalled in July, a result that could raise concern the nation isn’t immune to the broader global slowdown."
13,"Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy,-1,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain"
0,"Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report,-1,"Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report. Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021"
104,"Canada’s economy contracted for the second time in three months on lower energy production, the clearest evidence yet of a soft patch that’s expected to linger through the first part of this year.",2019-01-31,Energy slump drives Canada's second GDP decline in 3 months,-1,"Energy slump drives Canada's second GDP decline in 3 months. Canada’s economy contracted for the second time in three months on lower energy production, the clearest evidence yet of a soft patch that’s expected to linger through the first part of this year."
47,Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.,2019-11-28,Canada's economy faces a prolonged period of sluggish growth,-1,Canada's economy faces a prolonged period of sluggish growth. Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.
13,"Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy,-1,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain"
46,Bank of Canada expected to hold line on interest rates next week,2019-11-29,"Canadian economy cooled off in 3rd quarter, Statistics Canada says",-1,"Canadian economy cooled off in 3rd quarter, Statistics Canada says. Bank of Canada expected to hold line on interest rates next week"
121,Mexico’s economy stalled in the second quarter amid a drop in oil and industrial output and a slowdown in services activity.,2018-08-24,Mexican economy stalls with declines in oil and industry output,-1,Mexican economy stalls with declines in oil and industry output. Mexico’s economy stalled in the second quarter amid a drop in oil and industrial output and a slowdown in services activity.
47,Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.,2019-11-28,Canada's economy faces a prolonged period of sluggish growth,-1,Canada's economy faces a prolonged period of sluggish growth. Canada’s economy is shifting into a lower gear as some of the country’s growth drivers begin to lose steam.
7,"GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun,-1,"America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low"
109,"BMO economists say gross domestic product could expand by 1.8 per cent next year, instead of the 2 per cent forecast previously",2018-12-03,"Alberta oil cuts will slow Canadian economy next year, banks predict",-1,"Alberta oil cuts will slow Canadian economy next year, banks predict. BMO economists say gross domestic product could expand by 1.8 per cent next year, instead of the 2 per cent forecast previously"
