,title_desc,publishedAt,title_desc_sent_1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
74,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
61,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
38,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up",2020-01-09,-1
64,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
99,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,-1
14,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market',2020-04-02,-1
38,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up",2020-01-09,-1
38,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up",2020-01-09,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
73,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,-1
64,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,-1
111,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,-1
20,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'",2020-03-11,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
22,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,-1
100,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,-1
83,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,-1
22,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
56,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says",2019-10-25,-1
100,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,-1
20,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'",2020-03-11,-1
100,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,-1
1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,-1
3,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,-1
97,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,-1
61,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
61,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
99,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,-1
100,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,-1
14,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market',2020-04-02,-1
74,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
111,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,-1
45,"Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%",2019-12-06,-1
99,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,-1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
43,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent,2019-12-06,-1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
2,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,-1
73,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,-1
81,"Number of Albertans on EI declines as those accessing social assistance increases. Close to 60,000 people are on social assistance in the province",2019-07-18,-1
2,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,-1
43,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent,2019-12-06,-1
86,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,-1
22,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis. Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,2020-03-03,-1
74,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
61,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
57,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,0
92,'Sea of tranquility': Ontario pitches its debt as a haven to European investors amid Brexit. Finance Minister Vic Fedeli says Ontario is finding investor interest for an eventual deal in Europe,2019-06-11,0
88,"Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices. The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast",2019-06-26,0
39,"Euro Forecasters See a World-Beating Run in 2020. (Bloomberg) — After two years of setbacks, the euro is enjoying a wave of much-needed investor optimism as 2019 draws to a close.",2019-12-27,0
59,Facebook CEO Mark Zuckerberg to appear before Congress on currency plan. Tech giant is under pressure from lawmakers over its massive market power and record of privacy breaches,2019-10-09,0
33,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,0
77,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,0
