,title_desc,publishedAt,title_desc_sent_1
7,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,-1
23,Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living. Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,2020-02-18,-1
79,Canadian and U.S. economies are converging but danger lurks: Don Pittis. Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,-1
3,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.",2020-04-15,-1
113,"Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say. Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market",2018-11-30,-1
86,"Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money. Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime",2019-06-10,-1
7,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,-1
107,Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes. Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check,2019-01-28,-1
71,"Canadian housing starts decline 9.6% in July on multi-unit drop. But 'residential construction activity remains rock solid,' BMO economist says",2019-08-09,-1
3,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.",2020-04-15,-1
3,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.",2020-04-15,-1
106,"Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years",2019-02-05,-1
86,"Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money. Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime",2019-06-10,-1
