,title_desc,publishedAt,title_desc_sent_1
20,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'",2020-03-11,-1
58,"Investigation into harassment allegations against Concordia creative writing prof over. Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,0
14,Stocks suffer weekly loss after dismal jobs report. 'A lot of the bad news is already built into the market',2020-04-02,-1
94,"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says. Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History",2019-06-05,0
80,"Plastic production could create jobs as mills shut down in B.C. Interior. West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",2019-07-29,1
28,Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources. Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,2020-02-07,0
89,"Feds announce $275M for 'largest private sector investment in Canadian history' ‚Äö√Ñ√Æ Kitimat, B.C.'s LNG project. Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat",2019-06-24,1
96,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,0
113,"Canada 6th in the world at attracting talent. Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations.",2018-11-19,1
40,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,-1
87,"Canada's economy shakes off doldrums, expands 0.3% in April. Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP",2019-06-28,1
102,What gives? Canada’s job market off to its best start in almost 40 years. Aren’t we supposed to be in a slowdown?,2019-03-08,1
74,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
16,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,-1
5,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,0
100,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,-1
90,"Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52. Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",2019-06-18,0
111,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,-1
45,"Canada loses 71,200 jobs in biggest employment drop in decade. Unemployment rate jumps the most since 2009 to 5.9%",2019-12-06,-1
107,The winners and losers of Canada's luxury housing market in 2019. Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019,2019-01-09,0
99,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,-1
63,"Army reserves looking for recruits at P.E.I. open house. We're always in need of new people as people leave, people retire, people transfer'",2019-09-28,1
98,"Federal Reserve holds interest rate again, reiterates patience on future path. Central bankers, who've been slammed by Trump for not doing more to support the economy, noted livelier growth while acknowledging weak inflation",2019-05-01,1
36,"P.E.I. sees 'tremendous growth' in jobs in 2019. Total number of jobs tops 80,000",2020-01-14,1
116,"Number of Canadians receiving EI benefits hits record low. The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again.",2018-04-19,1
3,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy. Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,2020-05-12,-1
43,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent,2019-12-06,-1
18,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,-1
35,Replacing cheques with pay cards may benefit Ontario Works recipients. About 700 people in the region receive their Ontario Works assistance via cheque,2020-01-17,0
15,"White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks. Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash",2020-03-25,1
93,Job surge helps push Canada’s unemployment rate to lowest in over 40 years. Data another sign Canada is on the path back to growth,2019-06-07,1
76,Awet Mehari granted bail pending appeal hearing for sexual assault conviction. Survivor says she's frustrated by bail decision,2019-08-13,0
48,Municipal investigator contradicts allegations in Norman Wells lawsuit. Management consultant says SAO being sued by the town was a dedicated employee,2019-11-27,0
38,"U.S.-China pact signals global trade progress, but Poloz says it’s uncertain if Canada will benefit. Bank of Canada Governor Stephen Poloz said losses from the trade conflict are likely to be permanent even if growth picks up",2020-01-09,-1
73,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,-1
101,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain",2019-04-05,-1
64,'They don't need us anymore': Auto workers are deathly afraid electric cars will eliminate their jobs. Dread over prospect plug-in cars — which have fewer parts and require less labour to build — will doom auto jobs helped spark GM strike,2019-09-27,-1
115,"Toys ‘R’ Us job carnage drags on July U.S. payroll figures. The toll of one of the largest U.S. retail failures is evident in July employment statistics, which were held back by the collapse of Toys “R” Us.",2018-08-03,-1
62,Trade conflicts are hitting the global economy with an impact reminiscent of the 1930s. Warning signs mounted today with wave of data showing slumping manufacturing,2019-10-01,-1
33,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,0
72,Whale Tail mine expansion undergoes public hearings this week in Baker Lake. Open pit mine began commercial production this summer,2019-08-27,0
25,"Healthy labour market is providing wage relief in Canada. Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market.",2020-02-13,1
83,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,-1
47,"Labour leaders vow to fight bill on essential services in nursing homes. Proposed amendments are a 'direct assault' on collective bargaining rights, they say",2019-11-28,0
91,"Economic outcomes improving for Indigenous people ‚Äö√Ñ√Æ but not fast enough, report says. Parity between Indigenous, non-Indigenous Canadians won't be reached by 2022 at current pace: NIEDB",2019-06-12,0
97,"The Bank of Canada is underestimating the housing slump, Capital Economics warns. Developers are having a harder time securing their projects, senior economist says, which will bruise employment and consumption",2019-05-14,-1
78,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month",2019-08-09,-1
105,"Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record. A sign of strength in an economy facing several other headwinds",2019-02-08,1
77,"Ontario wins big in ranking of best place to live in Canada. The best weather? Summerland, BC. The best place to retire is...Toronto",2019-08-12,0
1,"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own. Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13,-1
19,"PM says closures, social distancing measures could be in place for weeks or months. COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",2020-03-19,0
51,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs. Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output,2019-11-08,1
2,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,-1
61,"GM strike ripples across the economy, raising new recession fears. The strike has chopped US$400 million in direct wages out of the U.S. economy, with half of that loss coming in Michigan",2019-10-07,-1
49,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,1
12,"COVID-19 on P.E.I.: What's happening Monday, April 6. 8 of 22 of COVID-19 cases on P.E.I. considered recovered",2020-04-06,0
37,"Taco Bell is so desperate for workers it's offering $100,000 salaries. Amid an increasingly tough U.S. labour market, the company is betting a higher salary will help it attract workers and keep them on the team",2020-01-09,1
69,"City adding more voices to the group advising it on LGBTQ issues. The committee doesn't have enough youth on it, vice chair says, or enough people of colour",2019-09-05,0
