,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
20,20,CBC,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets. Wide sector of industries affected — from manufacturing to tourism,2020-03-05,-1
108,108,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",TD to focus on home-equity lines of credit in push for banking dominance. Canadian personal banking group head is out to capture 'embedded growth opportunity' in loans despite widespread concerns over high household debt,2019-01-29,0
6,6,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,-1
83,83,CBC,"Expect Bank of Canada to take heart from an improving U.S. economic climate: Don Pittis. The sun is shining, the birds are chirping, but central bankers must plan for storms",2019-07-08,1
67,67,CBC,European Central Bank introduces aggressive stimulus package to revive ailing economy. Chief Mario Draghi pledge indefinite stimulus Thursday,2019-09-12,-1
15,15,Bloomberg News,BOE cuts rate in second emergency move to combat virus shock. The Bank of England cut interest rates to a record-low 0.1 per cent and added 200 billion pounds (US$230 billion) to its asset-purchase program in its latest emergency action to mitigate the economic impact of the coronavirus pandemic.,2020-03-19,-1
32,32,Bloomberg News,"Bank of Canada opens door to rate cut on persistent slowdown. Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists.",2020-01-22,-1
10,10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,-1
7,7,CBC,Poloz sees parts of Canadian economy beginning to restart in 'late May'. But Bank of Canada governor tells MPs full recovery could take a year under 'best-case' scenario,2020-04-17,1
37,37,CBC,NB Power could energize electric car sales for $20M. Consultant’s report says long-term revenue much higher than upfront infrastructure costs,2020-01-07,0
40,40,Bloomberg News,Poloz sees era of low global interest rates amid 'structural forces'. Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.,2019-12-12,-1
65,65,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Oil-price shock couldn't come at a worse time for global economy in grip of deepening downturn. 'A negative supply shock like this ... is just what we don't need',2019-09-16,-1
26,26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada’s once-loved bank stocks are being left behind for a new favourite: Life insurers. In 2019, shares of the banks gained 14 per cent; life insurers, on the other hand, enjoyed a 40 per cent surge",2020-02-06,0
102,102,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada emerges from slump with best growth gain in eight months. The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately,2019-03-29,1
18,18,CBC,"An unrepentant Ed Martin goes on the attack in response to Muskrat Falls inquiry report. Kathy Dunderdale, premier at time of project's sanctioning, says it's 'difficult' to read report",2020-03-11,0
28,28,BNN Bloomberg,"Canaccord downgrades Canadian banks amid 'toxic mix' of risks. Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,-1
16,16,CBC,"TSX and Dow Jones lose another 10% as coronavirus sell-off continues. When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16,-1
57,57,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade. 'The world economy faces difficult headwinds',2019-10-15,-1
56,56,Bloomberg News,"U.S. Fed seen cutting rates next week and then hitting pause button. Federal Reserve officials will signal they’re likely to take a break from cutting interest rates after lowering them again next week, according to a majority of economists surveyed by Bloomberg.",2019-10-25,-1
29,29,CBC,How coronavirus fears could impact your investment portfolio. Finance columnist Mark Ting expects more short term volatility with further drops in the Chinese stock markets,2020-02-02,-1
51,51,Bloomberg News,"Resilient growth in Canada just got a fresh warning signal. For the first time this year, the Canadian economy is coming in below analyst expectations, according to a closely watched gauge of economic surprises.",2019-11-19,-1
75,75,CBC,"Chinese yuan falls to 11-year low amid trade tensions. After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,-1
30,30,CBC,Patriotic Millionaires urge the rich to pay 'higher and fairer taxes'. At least 121 wealthy people have signed letter titled Millionaires Against Pitchforks,2020-01-22,0
99,99,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher. Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’",2019-04-15,-1
19,19,CBC,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta. Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs",2020-03-10,-1
74,74,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian yield curve inversion dives to deepest level since 2000. Traders are adding to bets the Bank of Canada will 'roll over' and cut interest rates,2019-08-06,-1
95,95,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,0
96,96,CBC,"Province not prepared to ease policies as housing market sputters. Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,-1
86,86,CBC,Conflicted and worried: CBC News poll takes snapshot of Canadians ahead of fall election. Poll finds high levels of anxiety - and a low level of confidence in politicians - ahead of fall election,2019-06-30,-1
62,62,BNN Bloomberg,"Lower rates giving Canadian housing 'nine lives': CIBC's Tal. If the Canadian housing market had a spirit animal, a cat could be fitting.",2019-09-20,-1
101,101,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stephen Poloz confident slowdown is temporary, but low rates still needed. Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon",2019-04-01,-1
1,1,CBC,"Mortgage arrears rate could spike to double what it was in 2009, Bank of Canada says. Central bank says number of people falling behind on mortgages could almost quadruple",2020-05-14,-1
48,48,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,-1
4,4,BNN Bloomberg,"CERB, CESB and negative interest rates: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-05-05,-1
105,105,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Interest rate hikes don't seem to be hurting Canadian households after all. Telephone poll shows a clear majority continue to say higher borrowing costs are either having no impact, or a positive one, on personal spending",2019-02-14,1
91,91,CBC,Federal Reserve holds key interest rate steady — but its patience is wearing thin. U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,1
79,79,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Surprise slump in retail sales bolsters case that Bank of Canada would follow Fed in rate cut. Food sales down 2%, booze and clothing sales down 2.7%",2019-07-19,-1
50,50,CBC,"Trans Mountain received $320M in government subsidies in 2019, report finds. Losses of $10.9 million were subsidized by a Crown corporation's earnings",2019-11-20,1
