,title_desc,publishedAt,title_desc_sent_1
18,"Oil plunge, coronavirus fears prompt panic selling on stock markets. Oil prices fall as much as 30 per cent; stock markets halted and bond yields plunge",2020-03-09,-1
104,"Housing slump in Canada prompts calls to loosen mortgage rules. Federal officials should revisit lending rules that were introduced last year, as the housing market rapidly cools and first-time buyers find it increasingly difficult to buy a home, industry groups say.",2019-02-05,-1
10,Canadian real estate markets hit hard by pandemic. Tough times are forecast after COVID-19 measures slow sales,2020-04-09,-1
52,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,1
12,P.E.I. government seeks ban on enforcement of evictions amid COVID-19 emergency. Government says it's necessary to protect health and safety of tenants and sheriffs,2020-03-30,0
115,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews. HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales.",2018-05-16,-1
76,"U.S. central bank cuts interest rate for 1st time since 2008. Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31,-1
88,"Trade war darkens economic forecasts for Canada. National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04,-1
112,"Time to relax mortgage regulations, Canada home builders urge. Canada’s home builders are urging the federal government to loosen mortgage-lending restrictions that have helped cool housing markets this year.",2018-11-30,0
41,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,1
80,Moncton gets fair share of real estate boom. Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11,1
102,Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year. Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue,2019-03-05,-1
59,A week of tax promises that are more about politics than policy. All parties say they want to simplify the tax system — but their platforms say something else,2019-09-30,0
13,"Mortgage market sees flurry of activity amid low rates, virus uncertainty. A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive.",2020-03-27,-1
120,CMHC shuffles management as CFO Zielonka leaves. Canada Mortgage & Housing Corp. replaced Chief Financial Officer Wojo Zielonka and shuffled its leadership ranks to “better address current and emerging business needs.”,2018-01-15,0
99,Canadian home sales remain at lowest levels in six years. Sales down 4.6% and prices fell 0.5% from a year earlier,2019-04-15,-1
71,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
108,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,1
110,Toronto new home prices see biggest 12-month drop in more than two decades. Further evidence that tighter mortgage lending has slowed a boom in Canada's biggest city,2018-12-13,-1
46,New house prices drop even more in Calgary. Number of new houses being built plummets by nearly 16%,2019-11-15,-1
82,"Toronto home sales surge 10%, narrowing affordable options for buyers. New listings down in tight market",2019-07-04,0
60,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,-1
93,Canada’s biggest banks are finding their growth everywhere but Canada. Domestic banking is no longer the engine driving profit growth,2019-05-24,-1
32,Tight Toronto housing market pushes prices to record highs with biggest gains in three years. 'Expect further acceleration in 2020 if there is no relief on the supply front',2020-01-07,1
118,‘Dr. Debt’ warns Canadians need to get financial houses in order. Scott Hannah says low borrowing costs and rising home prices have lured Canadians into a debt trap they may not escape if looming economic threats materialize.,2018-04-12,-1
7,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?",2020-04-15,-1
44,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,-1
87,Toronto home sales surge back to highest levels since 2017 — that's pre-stress test. That is just before new mortgage stress test came into place,2019-06-05,1
17,OSFI unleashes $300B in lending capacity. Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.,2020-03-13,-1
21,Coronavirus could be the global shock that economists have feared: Don Pittis. But avoiding panic over the disease's economic impact will prevent a worse result,2020-02-26,0
11,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,-1
81,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May,2019-07-05,1
25,Net-zero-energy home sits empty as builder struggles to find buyers. Builder says mortgage and appraisal system keeps families out of low energy homes,2020-02-06,0
123,Canada's banks increase prime lending rates. Canada’s big banks increased their prime lending rates on Wednesday.,2017-07-13,1
107,"A quarter of Canadians with home equity lines of credit are paying only the interest on their loans: survey. Additionally, almost three in 10 respondents use such lines of credit at least some of the time to make payments on other debt",2019-01-15,-1
47,Home Capital shares have regained all the ground they lost in lender's 2017 crisis. Home Capital shares have almost doubled this year and are the sixth-best performing stock on Canada's benchmark S&P/TSX Composite Index,2019-11-12,0
40,Secret' memo outlines tools the finance department and Bank of Canada could use in a recession. Economists say Ottawa needs a new playbook to tackle the next global recession,2019-12-06,-1
66,"Ottawa’s homebuyer plan not a big help in Canada’s pricey markets. The maximum purchase price of $565,000 puts many markets out of reach",2019-09-03,-1
