date,value_GDP,value_TSX,value_mortgage_rates,value_employment,value_housing_prices,value_interest_rates
2019-01-31,,15540.599609,3.84,60.8,0.0,
2019-02-28,,15999.0,3.82,61.1,0.3505696757230425,
2019-03-31,,16102.099609,3.76,61.0,0.6962576153176774,
2019-04-30,1.864947270527709,16580.699219,3.59,61.6,0.6485084306095978,
2019-05-31,1.6977022349425959,16037.5,3.45,62.7,0.3017241379310296,1.75
2019-06-03,,,,,,1.75
2019-06-04,,,,,,1.75
2019-06-05,,,,,,1.75
2019-06-06,,,,,,1.75
2019-06-07,,,,,,1.75
2019-06-10,,,,,,1.75
2019-06-11,,,,,,1.75
2019-06-12,,,,,,1.75
2019-06-13,,,,,,1.75
2019-06-14,,,,,,1.75
2019-06-17,,,,,,1.75
2019-06-18,,,,,,1.75
2019-06-19,,,,,,1.75
2019-06-20,,,,,,1.75
2019-06-21,,,,,,1.75
2019-06-24,,,,,,1.75
2019-06-25,,,,,,1.75
2019-06-26,,,,,,1.75
2019-06-27,,,,,,1.75
2019-06-28,,,,,,1.75
2019-06-30,1.881365420361304,16382.200195,3.33,63.2,0.21505376344086022,
2019-07-01,,,,,,1.75
2019-07-02,,,,,,1.75
2019-07-03,,,,,,1.75
2019-07-04,,,,,,1.75
2019-07-05,,,,,,1.75
2019-07-08,,,,,,1.75
2019-07-09,,,,,,1.75
2019-07-10,,,,,,1.75
2019-07-11,,,,,,1.75
2019-07-12,,,,,,1.75
2019-07-15,,,,,,1.75
2019-07-16,,,,,,1.75
2019-07-17,,,,,,1.75
2019-07-18,,,,,,1.75
2019-07-19,,,,,,1.75
2019-07-22,,,,,,1.75
2019-07-23,,,,,,1.75
2019-07-24,,,,,,1.75
2019-07-25,,,,,,1.75
2019-07-26,,,,,,1.75
2019-07-29,,,,,,1.75
2019-07-30,,,,,,1.75
2019-07-31,1.644783345611161,16406.599609,3.22,62.7,0.042992261392946825,1.75
2019-08-01,,,,,,1.75
2019-08-02,,,,,,1.75
2019-08-05,,,,,,1.75
2019-08-06,,,,,,1.75
2019-08-07,,,,,,1.75
2019-08-08,,,,,,1.75
2019-08-09,,,,,,1.75
2019-08-12,,,,,,1.75
2019-08-13,,,,,,1.75
2019-08-14,,,,,,1.75
2019-08-15,,,,,,1.75
2019-08-16,,,,,,1.75
2019-08-19,,,,,,1.75
2019-08-20,,,,,,1.75
2019-08-21,,,,,,1.75
2019-08-22,,,,,,1.75
2019-08-23,,,,,,1.75
2019-08-26,,,,,,1.75
2019-08-27,,,,,,1.75
2019-08-28,,,,,,1.75
2019-08-29,,,,,,1.75
2019-08-30,,,,,,1.75
2019-08-31,1.6901472100143482,16442.099609,3.16,62.7,0.08591065292096951,
2019-09-02,,,,,,1.75
2019-09-03,,,,,,1.75
2019-09-04,,,,,,1.75
2019-09-05,,,,,,1.75
2019-09-06,,,,,,1.75
2019-09-09,,,,,,1.75
2019-09-10,,,,,,1.75
2019-09-11,,,,,,1.75
2019-09-12,,,,,,1.75
2019-09-13,,,,,,1.75
2019-09-16,,,,,,1.75
2019-09-17,,,,,,1.75
2019-09-18,,,,,,1.75
2019-09-19,,,,,,1.75
2019-09-20,,,,,,1.75
2019-09-23,,,,,,1.75
2019-09-24,,,,,,1.75
2019-09-25,,,,,,1.75
2019-09-26,,,,,,1.75
2019-09-27,,,,,,1.75
2019-09-30,1.6842173339958035,16658.599609,3.12,62.4,0.21431633090441493,1.75
2019-10-01,,,,,,1.75
2019-10-02,,,,,,1.75
2019-10-03,,,,,,1.75
2019-10-04,,,,,,1.75
2019-10-07,,,,,,1.75
2019-10-08,,,,,,1.75
2019-10-09,,,,,,1.75
2019-10-10,,,,,,1.75
2019-10-11,,,,,,1.75
2019-10-14,,,,,,1.75
2019-10-15,,,,,,1.75
2019-10-16,,,,,,1.75
2019-10-17,,,,,,1.75
2019-10-18,,,,,,1.75
2019-10-21,,,,,,1.75
2019-10-22,,,,,,1.75
2019-10-23,,,,,,1.75
2019-10-24,,,,,,1.75
2019-10-25,,,,,,1.75
2019-10-28,,,,,,1.75
2019-10-29,,,,,,1.75
2019-10-30,,,,,,1.75
2019-10-31,1.4746453120429195,16483.199219,3.12,62.3,0.3417343015805139,1.75
2019-11-01,,,,,,1.75
2019-11-04,,,,,,1.75
2019-11-05,,,,,,1.75
2019-11-06,,,,,,1.75
2019-11-07,,,,,,1.75
2019-11-08,,,,,,1.75
2019-11-11,,,,,,1.75
2019-11-12,,,,,,1.75
2019-11-13,,,,,,1.75
2019-11-14,,,,,,1.75
2019-11-15,,,,,,1.75
2019-11-18,,,,,,1.75
2019-11-19,,,,,,1.75
2019-11-20,,,,,,1.75
2019-11-21,,,,,,1.75
2019-11-22,,,,,,1.75
2019-11-25,,,,,,1.75
2019-11-26,,,,,,1.75
2019-11-27,,,,,,1.75
