REF_DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-01,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,60.8,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.1,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.0,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.6,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,62.7,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,63.2,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,62.7,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,62.7,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,62.4,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,62.3,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.8,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.7,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,60.8,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,61.0,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,57.5,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,15 years and over,Percentage,242,units,0,v2091219,1.10.1.1,51.5,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,52.7,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,53.5,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,53.9,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,55.1,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,59.5,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,61.9,,,,1
2019-07,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,65.0,,,,1
2019-08,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,64.9,,,,1
2019-09,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,55.8,,,,1
2019-10,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,56.0,,,,1
2019-11,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,55.6,,,,1
2019-12,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,55.6,,,,1
2020-01,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,53.6,,,,1
2020-02,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,54.5,,,,1
2020-03,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,45.5,,,,1
2020-04,Canada,2016A000011124,Employment rate,Both sexes,15 to 24 years,Percentage,242,units,0,v2091220,1.10.1.2,35.6,,,,1
2019-01,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.2,,,,1
2019-02,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.3,,,,1
2019-03,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.2,,,,1
2019-04,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,62.6,,,,1
2019-05,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,63.3,,,,1
2019-06,Canada,2016A000011124,Employment rate,Both sexes,25 years and over,Percentage,242,units,0,v2091221,1.10.1.3,63.4,,,,1
