Date,Composite_HPI,Single_Family_HPI,One_Storey_HPI,Two_Storey_HPI,Townhouse_HPI,Apartment_HPI,Composite_Benchmark,Single_Family_Benchmark,One_Storey_Benchmark,Two_Storey_Benchmark,Townhouse_Benchmark,Apartment_Benchmark
Jan 2005,100,100,100,100,100,100,256900,281400,229100,322300,211800,191000
Feb 2005,101,101.1,101.2,101,100.6,100.9,259500,284500,231900,325500,213100,192800
Mar 2005,102,102.2,102.3,102.2,101.2,101.4,262100,287600,234400,329400,214400,193700
Apr 2005,102.9,103.3,103.4,103.2,101.9,102.1,264400,290700,236900,332600,215800,195000
May 2005,103.6,104,104.4,103.7,102.6,102.9,266200,292600,239200,334200,217300,196600
Jun 2005,104.4,104.7,105,104.5,103.4,104,268200,294600,240600,336800,219000,198700
Jul 2005,105,105.2,105.8,104.7,104.3,104.9,269800,296000,242400,337400,220900,200400
Aug 2005,105.6,105.8,106.6,105.2,104.9,105.3,271300,297700,244200,339100,222200,201200
Sep 2005,106.4,106.5,107.5,105.7,105.7,106.4,273400,299700,246300,340700,223900,203300
Oct 2005,107,107.1,107.9,106.4,106.4,106.9,274900,301400,247200,342900,225400,204200
Nov 2005,107.4,107.5,108.3,106.8,107,107.3,275900,302500,248100,344200,226600,205000
Dec 2005,107.9,107.8,108.9,106.9,107.5,108.4,277200,303300,249500,344500,227700,207100
Jan 2006,109.4,109.4,110.5,108.5,108.9,109.6,281100,307800,253200,349700,230700,209400
Feb 2006,111.4,111.5,112.9,110.4,110.5,111.4,286200,313700,258700,355800,234100,212800
Mar 2006,113.4,113.6,115.2,112.4,112.6,113.1,291400,319600,263900,362300,238500,216100
Apr 2006,115.8,115.9,117.7,114.5,115.2,115.3,297500,326100,269700,369000,244000,220300
May 2006,118,118.1,120.4,116.3,118.1,117.5,303200,332300,275900,374800,250200,224500
Jun 2006,119.9,119.9,122.7,117.6,121.1,119.4,308100,337400,281100,379000,256500,228100
Jul 2006,121.1,120.8,123.9,118.4,123.1,121.2,311100,339900,283900,381600,260700,231500
Aug 2006,122.4,121.9,125.4,119.1,125.3,122.8,314500,343000,287300,383900,265400,234600
Sep 2006,123.5,122.6,126.1,119.8,127.2,124.6,317300,345000,288900,386100,269400,238000
Oct 2006,123.8,122.8,126.3,120,128.4,124.9,318100,345500,289400,386800,272000,238600
Nov 2006,124.1,123,126.8,119.9,129.4,125.3,318900,346100,290500,386400,274100,239400
Dec 2006,124.3,123.1,127.4,119.6,130.2,125.5,319400,346400,291900,385500,275800,239700
Jan 2007,126,124.8,129.3,121.3,131.5,127.1,323700,351200,296200,391000,278500,242800
Feb 2007,128.2,127.3,132.1,123.4,133.2,128.9,329400,358200,302700,397700,282100,246200
Mar 2007,130.4,129.4,134.7,125.3,135.3,131.2,335000,364100,308600,403800,286600,250600
Apr 2007,132.4,131.4,137,127,137.3,133.3,340200,369700,313900,409300,290800,254600
May 2007,134.7,133.8,139.8,129,139.6,135.6,346100,376500,320300,415800,295700,259000
Jun 2007,136.4,135.4,141.9,130.2,141.8,137.2,350500,381000,325100,419600,300400,262100
Jul 2007,137,135.8,142.5,130.5,142.6,138.2,352000,382100,326500,420600,302000,264000
Aug 2007,137.5,136.2,142.9,130.9,143.3,139.1,353300,383200,327400,421900,303500,265700
Sep 2007,137.9,136.4,143.2,131.1,143.7,139.8,354300,383800,328100,422500,304400,267100
Oct 2007,138,136.6,143.1,131.4,143.4,140,354600,384400,327900,423500,303700,267400
Nov 2007,137.6,136.2,142.6,131.2,143.1,139.9,353500,383200,326700,422900,303100,267300
Dec 2007,137.5,136.2,142.4,131.2,142.9,139.6,353300,383200,326300,422900,302700,266700
Jan 2008,138.4,137.2,143.6,132.1,143.5,140.2,355600,386100,329000,425800,304000,267800
Feb 2008,139.8,138.6,145,133.6,144.2,141.6,359200,390000,332200,430600,305400,270500
Mar 2008,141,139.9,146.7,134.6,145.1,142.6,362300,393700,336100,433800,307300,272400
Apr 2008,141.6,140.5,147.7,135,145.5,143.1,363800,395300,338400,435100,308200,273400
May 2008,141.6,140.6,147.8,135,145.7,143.2,363800,395600,338600,435100,308600,273600
Jun 2008,141.3,140.1,147.2,134.7,145.8,142.9,363000,394200,337300,434100,308800,273000
Jul 2008,140.1,138.9,146,133.4,144.8,142.1,360000,390800,334500,429900,306700,271500
Aug 2008,139.3,138.1,145.1,132.7,143.6,141,357900,388600,332400,427700,304200,269400
Sep 2008,138.1,137.1,143.7,131.9,142.4,139.7,354800,385800,329200,425100,301600,266900
Oct 2008,136.3,135.3,141.7,130.4,140.7,137.6,350200,380700,324700,420300,298000,262900
Nov 2008,134.4,133.5,139.5,128.8,138.8,135.5,345300,375600,319600,415100,294000,258900
Dec 2008,132.2,131.1,136.4,127,136.6,133.7,339700,368900,312500,409300,289300,255400
Jan 2009,131.1,130.4,135.9,126.2,135.4,131.6,336800,366900,311400,406700,286800,251400
Feb 2009,130.9,130.5,136.1,126.2,134,130.6,336300,367200,311800,406700,283800,249500
Mar 2009,130.8,130.6,136.3,126.2,133,130.5,336100,367500,312300,406700,281700,249300
