title,description
Canada's unemployment rate climbs to 5.9%,"Regionally, Quebec suffered the biggest decline in jobs from the previous month",2020-01-06 19:53:02.511000+00:00
"N.W.T. Housing Corp. increases spending in 2018-19, but mostly on market housing",N.W.T. Housing Corporation built 8 new market houses this fiscal year,2020-01-07 15:08:21.651000+00:00
"Rental vacancies up in Ottawa, but so's the rent",2-bedroom units in city's west end led surge in rental prices in 2019,2020-01-16 19:59:05.928000+00:00
Development with 110 affordable units in London gets $130M boost,Officials say construction on the twin tower development will take about three years,2020-01-08 18:22:54.353000+00:00
When Halifax was running out of rental apartments in the mid-1980s,"Low vacancy rate meant that in some areas, only 1 in 1,000 apartments was available",2020-01-31 15:30:00.730000+00:00
"Albertans still make the most money, but other provinces are catching up","Median income in the province decreased by 3.3% over the past few years, compared to 4.1% growth across Canada",2020-02-25 10:00:00.181000+00:00
OPINION | Calgary's slogan should be 'The Family Friendly City',Let’s stop being ashamed of our big suburban homes with their double garages,2020-02-06 12:00:00.990000+00:00
Montreal to publish names of delinquent landlords in bid to improve rental availability,"With rental vacancy rate at lowest in 15 years, city says release of data will prod landlords to make repairs",2020-02-06 23:27:33.131000+00:00
Coronavirus could be the global shock that economists have feared: Don Pittis,But avoiding panic over the disease's economic impact will prevent a worse result,2020-02-26 15:56:21.813000+00:00
Net-zero-energy home sits empty as builder struggles to find buyers,Builder says mortgage and appraisal system keeps families out of low energy homes,2020-02-06 12:00:58.710000+00:00
P.E.I. government seeks ban on enforcement of evictions amid COVID-19 emergency,Government says it's necessary to protect health and safety of tenants and sheriffs,2020-03-30 22:29:28.485000+00:00
Coronavirus: Here's what's happening in Canada and around the world on March 20,"Provinces ramp up restrictions as number of COVID-19 cases in Canada passes 1,000",2020-03-21 04:00:53.376000+00:00
"Oil plunge, coronavirus fears prompt panic selling on stock markets",Oil prices fall as much as 30 per cent; stock markets halted and bond yields plunge,2020-03-09 20:36:05.851000+00:00
How the coronavirus has thrown interest rate plans out the window,40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01 15:09:02.881000+00:00
Social distancing is important. But what if you live in an apartment tower with shared spaces?,"33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26 23:24:51.283000+00:00
U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy,Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29 21:16:53.765000+00:00
Canadian real estate markets hit hard by pandemic,Tough times are forecast after COVID-19 measures slow sales,2020-04-09 08:00:00.993000+00:00
Recession or depression? Canada's economy is in for a rough spring,"With economic activity diving in Canada, just how bad will it get?",2020-04-15 11:02:35.021000+00:00
"B.C. home sales to fall by 40 per cent but comeback is likely, report says","Provincial economy expected to shrink by 4 per cent, economist says ",2020-04-20 21:11:09.587000+00:00
'Unprecedented times' could mean unprecedented options on the table to aid provinces,"Academics, think-tanks believe federal government may need to do more",2020-04-12 13:44:09.112000+00:00
Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report,"Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13 08:02:00.736000+00:00
Gatineau mayor wants more help from province for affordable housing,Maxime Pedneaud-Jobin says $6M in new money not enough to fix crisis,2019-05-24 12:27:55.188000+00:00
"Saint John housing programs more effective, but shelter use on the rise, report shows","More co-ordinated approach to homelessness needed, says Human Development Council ",2019-05-22 20:22:31.945000+00:00
"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market","A surge in listings, fewer renters means more competition for landlords",2020-05-01 02:16:09.631000+00:00
City of Charlottetown wants short-term rentals defined as tourism accommodations,'We just want to make sure that they're properly regulated',2019-05-29 10:00:00.245000+00:00
"Office buildings turn to apartments, bring downtown Calgary back to life",Calgary and Edmonton's young demographics make it a good fit for creating new rental units,2019-06-18 15:56:06.089000+00:00
Trade war darkens economic forecasts for Canada,"National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04 20:21:11.613000+00:00
Green MLA calls on province to regulate short-term rentals,"Minister Ernie Hudson says he wants to collaborate with municipalities, not 'dictate' ",2019-06-20 21:30:00.999000+00:00
"P.E.I. needs more pet-friendly housing, say violence prevention advocates",'Finding housing even if you have no barriers is very very difficult',2019-06-03 13:56:25.720000+00:00
Construction finally underway on new affordable housing complex in Charlottetown,60-unit development finds home near École François-Buote,2019-06-03 09:00:00.583000+00:00
Houses in New Brunswick selling at unusually fast rate,Increase in home sales backed by record-setting month in May,2019-07-05 19:41:33.666000+00:00
Sewer backup causes headache for London woman faced with repair bill from city,Karen Ramsay wrote to the city's civic works committee for help dealing with the cost to repair sewer line,2019-07-25 09:03:00.439000+00:00
Moncton gets fair share of real estate boom,Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11 16:11:13.365000+00:00
U.S. central bank cuts interest rate for 1st time since 2008,"Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31 19:56:58.928000+00:00
How Charlottetown has become one of the hottest housing markets in Canada,"New stock, new uses driving prices",2019-07-31 11:58:02.141000+00:00
Yellowknife's housing market slows as economic slump looms on the horizon: CMHC,CMHC's annual report on Northern housing shows mixed outlook across the 3 territories ,2019-08-29 10:00:00.306000+00:00
Chinese yuan falls to 11-year low amid trade tensions,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05 19:21:14.262000+00:00
Metro Vancouver home sales surge 23.5% in July compared to last year,Fraser Valley saw an increase of 13%; benchmark prices fall,2019-08-02 23:48:27.051000+00:00
The Goldilocks president says he wants to keep the boom alive: Don Pittis,Europe and China are also seeking just-right ways to stave off recession,2019-08-26 09:12:34.907000+00:00
"'Stop building' hotels in Calgary, industry urges, as supply of rooms outstrips demand","City has seen 2,600 new rooms added in the past 3 years, and 1,200 of those are less than a year old",2019-08-12 11:15:00.807000+00:00
Investors who lost millions in syndicated mortgages call for changes at law society,"Lawyers failed to explain fine print, commission rates, investors allege",2019-09-13 23:44:59.243000+00:00
A week of tax promises that are more about politics than policy,All parties say they want to simplify the tax system — but their platforms say something else,2019-09-30 14:37:00.230000+00:00
To pay off or borrow more is the question facing Canadians: Don Pittis,As recession threatens and an election beckons is it time for us to borrow or time to shuck debt? ,2019-09-12 20:08:54.908000+00:00
Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather,Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26 04:47:40.176000+00:00
Breaking down Canadians' questions about the cost of living,It's the number one concern among Canadians heading into the fall federal election ,2019-09-12 00:37:28.940000+00:00
"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says","People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16 13:45:52.969000+00:00
Here are some of the big campaign promises from the major parties so far,"Tax cuts, climate plans, housing, health care, breaks for homeowners. Here's how the parties are chasing votes",2019-10-07 08:00:00.573000+00:00
Slump in U.S. manufacturing knocks stock market to lowest point in 5 weeks,Manufacturing weakened in September for the 2nd straight month as U.S.-China trade war dragged on confidence,2019-10-01 21:30:18.634000+00:00
"Pace of housing starts slowed in September, CMHC reports",Canada Mortgage and Housing Corp. says seasonally adjusted annual rate fell 2.5% compared with August,2019-10-08 15:39:10.558000+00:00
Portugal's ruling Socialists top general election,Not yet clear if PM Antonio Costa's party gained enough seats for majority,2019-10-06 23:33:10.457000+00:00
"To attract a generation that grew up with cellphones and iPads, the construction industry goes high-tech","Tech tools can help fix a shortage of skilled staff, experts and young workers say",2019-11-08 16:10:34.804000+00:00
"Annual pace of housing starts slowed to 201,973 in October, CMHC reports",Canada Mortgage and Housing Corp. says pace of new construction down with fewer multi-unit projects begun,2019-11-08 15:59:44.181000+00:00
Home sales surged in Vancouver area in October,Real estate board says lower prices helped boost sales by 45.4% over 2018,2019-11-05 02:26:23.375000+00:00
New house prices drop even more in Calgary,Number of new houses being built plummets by nearly 16%,2019-11-15 16:06:46.587000+00:00
Winnipeg's 125-year-old Central Park has transformed from 'breathing centre' to diverse gem,New booklet showcases past and present of one of city's first green spaces,2019-11-30 12:00:00.673000+00:00
"Paul Volcker, U.S. Federal Reserve's former chief, dead at 92",Volcker tamed inflation in the 80s and later inspired tough Wall Street reforms,2019-12-09 16:12:52.811000+00:00
Stephen Poloz to step down as Bank of Canada governor at end of term,Central bank's board says a search for a successor is underway,2019-12-06 19:46:02.055000+00:00
Markets up as retailers rise with holiday shopping,"Amazon, other retailers had last-minute surge in online holiday shopping",2019-12-26 22:04:05.601000+00:00
"U.S. Federal Reserve holds rates steady, expects moderate growth next year",Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely,2019-12-11 20:22:45.845000+00:00
'Secret' memo outlines tools the finance department and Bank of Canada could use in a recession,Economists say Ottawa needs a new playbook to tackle the next global recession,2019-12-06 13:48:42.948000+00:00
