title,description,annotator_1,note
P.E.I.'s farm technician program adds high-tech content,"'It's no different than any other industry, you can fall behind very quickly'",0,
Replacing cheques with pay cards may benefit Ontario Works recipients,About 700 people in the region receive their Ontario Works assistance via cheque,0,
University of Waterloo's RoboHub to be featured in YouTube AI series,RoboHub is a robotics incubator that provides researchers with expertise and equipment ,0,
P.E.I. sees 'tremendous growth' in jobs in 2019,"Total number of jobs tops 80,000",1,
Grammys CEO says she was ousted after reporting harassment,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,0,
"A century ago, Winnipeg railways became 'birthplace' of fight for black Canadian workers' rights","Revisiting the struggles, victories of Winnipeg's sleeping car porters during Black History Month",0,
"Canada added 35K full-time jobs last month, twice what was expected",Jobless rate ticks down to 5.5 per cent on surge in full-time work,1,
Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources,Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,0,
"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',0,
"Aging government computer systems at risk of 'critical failure,' Trudeau warned","IT systems may not be able to handle service improvements promised by Liberals, briefing document says",0,
'The depths of the despair': CBC Cape Breton explores poverty in Northside communities,"'I don't think we have conversations about pride and dignity,' says anti-poverty advocate Dorothy Halliday",0,
"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",'It's time for Ottawa to have Alberta's back',-1,Implies negative affect on general economy?
"PM says closures, social distancing measures could be in place for weeks or months","COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",0,
"Shut down construction sites until COVID-19 threat has passed, says wife of worried worker",Union leader says industry needs to find safe way to continue essential work,0,
London reeling from the economic impact of COVID-19: deputy mayor,Most downtown businesses are closed and the effect on tourism has been “devastating”,-1,
'Pretty good for government': Laid-off workers praise ease of COVID-19 emergency benefits site,But laid-off bartender who originally qualified for EI found switch-over to COVID-19 benefit confusing,0,"Addresses benefits, not employment numbers"
Looking for work? These industries are hiring in Toronto during the COVID-19 pandemic,"Accounting, e-commerce and IT jobs need to be filled, recruiters say",1,Certain fields have positive employment prospect
"COVID-19 on P.E.I.: What's happening Monday, April 6",8 of 22 of COVID-19 cases on P.E.I. considered recovered,0,
MRU expands mandatory unpaid leave for employees as COVID crisis continues,'We recognize these decisions have significant impacts on employees',0,
P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines,‘It’s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed’,0,
"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own","Supply and service sector also on edge as business slows, while government pushes for federal help",-1,
Hiring watchdog to step up monitoring of government job ads,Move comes after some federal departments microtargeted Facebook job ads,0,
No decision made on Terra Nova oilfield shutdown: Suncor,Premier Dwight Ball says 'offshore industry has undergone tremendous challenges',0,
Trump clarifies that coronavirus task force will 'continue on indefinitely',"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",0,
Post-secondary schools face rough autumn if pandemic keeps foreign students away,"Already strained by COVID-19, institutions could be further challenged by lack of new students",0,
"Economic outcomes improving for Indigenous people — but not fast enough, report says","Parity between Indigenous, non-Indigenous Canadians won't be reached by 2022 at current pace: NIEDB",0,"Good, but' statement"
"Feds announce $275M for 'largest private sector investment in Canadian history' — Kitimat, B.C.'s LNG project",Cash earmarked for energy-efficient gas turbines needed for the $40B project and a new bridge in Kitimat,1,Second-hand affect on employment numbers?
"Freezing rental assistance while slashing PST misguided, Manitoba anti-poverty group says",Some single adults getting an additional $27 a month while freeze leaves others behind: Make Poverty History,0,
"Canada's economy shakes off doldrums, expands 0.3% in April",Pickup in oil and gas extraction in wake of Alberta production cuts helps boost GDP ,0,"Positive, but GDP related"
Convicted murderer and accomplice of notorious serial killer Allan Legere dead at 52,"Scott Michael Curtis was serving life sentence for murder when he died of 'apparent natural causes,' says CSC",0,
Number of Albertans on EI declines as those accessing social assistance increases,"Close to 60,000 people are on social assistance in the province",-1,Increase of social assistence use = bad for employment
Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",-1,
Plastic production could create jobs as mills shut down in B.C. Interior,"West Coast Olefins says proposed facility will create up to 1,000 permanent jobs",1,
Legally blind woman worried she'll lose benefits over father's will,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",0,
Hundreds of hospital beds shut down across Quebec as staff go on vacation,"Health authorities say it's difficult to replace staff during the summer months, but activities are reduced",0,
Ontario wins big in ranking of best place to live in Canada,"The best weather? Summerland, BC. The best place to retire is...Toronto",0,
