title,description,date,Sentiment
Statistics are great unless they measure the wrong things: Don Pittis,"Statistics Canada looks to Big Data to size up Canadians, but are the numbers biased?",2020-01-20T09:00:32.906Z,0
China's economic growth sinks to lowest level in decades,Weak consumer demand and U.S. tariffs being blamed,2020-01-17T03:55:13.741Z,0
"Edmonton economy to improve only slightly in 2020, city's chief economist says","Capital city can expect ‘very modest’ growth, John Rose says",2020-01-02T19:00:00.511Z,1
Russia cuts off oil supplies to Belarus as economic talks collapse,"Belarus relies on Russia for 80% of energy needs, hosts pipeline that Russia uses to export oil",2020-01-03T16:49:08.711Z,0
'It's been tough': Edmonton's job market limps into new year,'I'm beginning to see now that the statistics ring true so it's been tough',2020-01-26T13:00:00.155Z,-1
"New NAFTA beats no NAFTA, gov't says, but no big economic boost coming for Canada","Global Affairs Canada releases study at last minute, compelled by Conservative committee motion",2020-02-27T17:52:41.920Z,-1
"Canada's economy grew at 0.3% pace in fourth quarter, slowest level in almost 4 years",Bad weather and strikes slowed growth to a crawl,2020-02-28T13:59:50.737Z,-1
What a 'well-being budget' could look like in Canada,"The government may focus on mental health, climate change and housing, says Jennifer Moss",2020-02-09T12:00:00.761Z,0
Rail blockades causing containers to pile up at Canadian ports,"Containers sitting idle at major import hubs of Vancouver, Montreal and Halifax",2020-02-21T20:25:43.187Z,0
British immigration overhaul takes aim at 'cheap labour from Europe',"Changes likely to impact service, farming and health-care industries, among others",2020-02-19T13:45:19.124Z,0
"IMF says coronavirus recession will be worse than 2008, as UN appeals for aid for poorest economies",UN chief also calling for worldwide ceasefire and focus on 'true fight of our lives',2020-03-23T19:09:47.394Z,-1
Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes',Federal Reserve removes limits on how much debt it will take on from banks as collateral,2020-03-23T22:02:15.383Z,-1
"Quebec government tries to go green in new budget, pushing public transit and electric cars","But environmentalists question level of commitment, with bulk of money not allotted until 2nd mandate",2020-03-11T18:47:50.723Z,0
Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes',Federal Reserve removes limits on how much debt it will take on from banks as collateral,2020-03-23T22:02:15.383Z,-1
"With little to say on coronavirus, is Quebec's budget 'of the future' out of sync with the present?",Finance minister’s budget bets outbreak is more public health than economic problem,2020-03-11T18:54:04.903Z,0
'So much uncertainty': New data highlights global economic pain from COVID-19,"France's economy shrank by 5.8%, the biggest quarterly drop since 1949, as Germany projects 6.3% GDP decline",2020-04-30T12:16:37.150Z,-1
