title,description,date,Sentiment
P.E.I.'s farm technician program adds high-tech content,"'It's no different than any other industry, you can fall behind very quickly'",2020-01-29T10:00:00.205Z,0
Replacing cheques with pay cards may benefit Ontario Works recipients,About 700 people in the region receive their Ontario Works assistance via cheque,2020-01-17T12:34:33.347Z,0
University of Waterloo's RoboHub to be featured in YouTube AI series,RoboHub is a robotics incubator that provides researchers with expertise and equipment ,2020-01-24T15:08:19.648Z,0
P.E.I. sees 'tremendous growth' in jobs in 2019,"Total number of jobs tops 80,000",2020-01-14T16:00:00.726Z,1
Grammys CEO says she was ousted after reporting harassment,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24T05:56:51.609Z,0
"A century ago, Winnipeg railways became 'birthplace' of fight for black Canadian workers' rights","Revisiting the struggles, victories of Winnipeg's sleeping car porters during Black History Month",2020-02-29T12:00:00.893Z,0
"Canada added 35K full-time jobs last month, twice what was expected",Jobless rate ticks down to 5.5 per cent on surge in full-time work,2020-02-08T15:09:03.637Z,1
Federal government readies aid for Alberta as deadline for massive oilsands project nears: sources,Ottawa must decide by the end of February if Teck Resources Ltd can build the Frontier mine,2020-02-07T20:05:17.545Z,0
"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',2020-02-14T20:03:01.085Z,0
"Aging government computer systems at risk of 'critical failure,' Trudeau warned","IT systems may not be able to handle service improvements promised by Liberals, briefing document says",2020-02-02T14:26:48.889Z,0
'The depths of the despair': CBC Cape Breton explores poverty in Northside communities,"'I don't think we have conversations about pride and dignity,' says anti-poverty advocate Dorothy Halliday",2020-03-10T15:48:19.994Z,0
"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",'It's time for Ottawa to have Alberta's back',2020-03-11T21:24:03.530Z,-1
"PM says closures, social distancing measures could be in place for weeks or months","COVID-19 emergency funds will be flowing in 2 to 3 weeks, government promises",2020-03-19T19:32:27.082Z,0
"Shut down construction sites until COVID-19 threat has passed, says wife of worried worker",Union leader says industry needs to find safe way to continue essential work,2020-03-24T20:40:34.735Z,0
London reeling from the economic impact of COVID-19: deputy mayor,Most downtown businesses are closed and the effect on tourism has been “devastating”,2020-03-25T09:00:00.433Z,-1
'Pretty good for government': Laid-off workers praise ease of COVID-19 emergency benefits site,But laid-off bartender who originally qualified for EI found switch-over to COVID-19 benefit confusing,2020-04-07T10:00:00.333Z,0
Looking for work? These industries are hiring in Toronto during the COVID-19 pandemic,"Accounting, e-commerce and IT jobs need to be filled, recruiters say",2020-04-03T02:17:03.409Z,1
"COVID-19 on P.E.I.: What's happening Monday, April 6",8 of 22 of COVID-19 cases on P.E.I. considered recovered,2020-04-06T18:08:36.301Z,0
MRU expands mandatory unpaid leave for employees as COVID crisis continues,'We recognize these decisions have significant impacts on employees',2020-04-27T18:00:55.997Z,0
P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines,‘It’s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed’,2020-04-07T09:00:00.907Z,0
"As Suncor ponders Terra Nova's future, N.L. offshore workers worry about their own","Supply and service sector also on edge as business slows, while government pushes for federal help",2020-05-13T20:57:12.761Z,-1
Hiring watchdog to step up monitoring of government job ads,Move comes after some federal departments microtargeted Facebook job ads,2019-05-30T08:00:00.781Z,0
No decision made on Terra Nova oilfield shutdown: Suncor,Premier Dwight Ball says 'offshore industry has undergone tremendous challenges',2020-05-12T23:03:35.611Z,0
Trump clarifies that coronavirus task force will 'continue on indefinitely',"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06T19:19:15.977Z,0
Post-secondary schools face rough autumn if pandemic keeps foreign students away,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07T08:00:00.051Z,0
"Economic outcomes improving for Indigenous people — but not fast enough, report says","Parity between Indigenous, non-Indigenous Canadians won't be reached by 2022 at current pace: NIEDB",2019-06-12T09:42:06.791Z,0
