title,description,date,Sentiment
HBC shares up on news of likely takeover deal,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06T22:45:21.316Z,1
Fed saw last month less risk of U.S. recession,"Central bank noted U.S. economy 'showing resilience' despite trade war, according to minutes of Dec. meeting",2020-01-03T20:12:54.491Z,1
"Google parent, Alphabet, just became trillion-dollar company",Some fund managers say they're wondering if now is the time to cash in,2020-01-17T13:51:28.665Z,0
"'Now is the time for action,' says Mayor Valérie Plante, as Montreal vacancy rate hits 15-year low",Tenants' advocates worry critical housing shortage will lead to 'renters finding themselves on the streets',2020-01-16T09:30:00.414Z,0
Bombardier joint venture lands $427 million US contract to build high-speed trains in China,Montreal-based company holds 50% stake in Bombardier Sifang Transportation Ltd.,2020-01-02T18:24:01.359Z,0
What Alberta job losses in January mean for Edmonton,"Statistics Canada says Alberta lost 19,000 jobs last month ",2020-02-08T02:17:25.064Z,0
"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure","Earnings affected by drop in production, costs of rolling out edibles and vapes",2020-02-13T18:18:48.075Z,-1
What's next for Canada if the WHO calls COVID-19 a pandemic?,Schools could close and elective surgeries could be cancelled as officials work to stop spread of virus,2020-02-29T16:49:40.528Z,0
Hall of Fame golfer and LPGA great Mickey Wright dies at 85,American won 82 tournaments including 13 majors,2020-02-18T03:54:31.255Z,0
"As China deaths hit 722, WHO warns of global shortage of coronavirus protective equipment","UN agency has been sending testing kits, masks, gloves, respirators and gowns",2020-02-08T00:50:16.967Z,0
Coronavirus puts a spotlight on the moral compass of America,The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23T11:03:57.727Z,0
Alberta's economic decline will be the 'most severe' the province has ever seen: RBC,Research firm says Western Canada will need to cut oil production by more than 10%,2020-03-27T00:39:17.243Z,-1
"Ring of Fire was 'overhyped,' but still 'worth the effort' says Noront Resources",Current plan is for construction of mine to start in 2021 and to open in 2024,2020-03-02T11:00:00.361Z,0
"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch","'This is one of the biggest shocks we've seen in the last 40 years,' analyst says",2020-03-12T04:20:47.789Z,-1
"More than just groceries: Calgarians stock up on guns, water filters, cannabis and home gym equipment",Some stores are seeing more traffic as people prep for the COVID-19 pandemic,2020-03-24T20:03:06.267Z,0
How Sask. businesses are 'navigating the unknown' and adapting to stay afloat during COVID-19,"From food and drink to working out, nearly everything has changed because of the pandemic",2020-04-21T18:30:57.320Z,0
What's happened in Canada since WHO declared COVID-19 a pandemic,Canada had more than 100 confirmed cases on March 11 when pandemic declared,2020-04-11T20:17:48.312Z,0
"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn","‘This is one thing they should take off their list to worry about,’ says Mark Machin",2020-04-06T13:44:00.561Z,0
CBC News poll: Why the economic crisis could speed up transition to renewable energy,"Poll suggests Albertans support energy transition, but it’s complicated",2020-04-16T11:00:00.496Z,0
Struggling with nightmares and sleepless nights? Don't let pandemic stress ruin your rest,'All the bad sleep habits that we have can be exacerbated by this',2020-04-15T16:30:00.980Z,0
The pandemic is creating a season of anxiety in hard-hit farm sectors,Canada isn't running out of food — but some producers may be running out of time,2020-05-06T11:29:15.204Z,0
This is what a trip to the dentist could look like in B.C. when offices reopen,Expect pre-appointment telephone screening and sparsely furnished waiting rooms,2020-05-09T00:25:23.391Z,0
Seniors to receive up to $500 in a one-time payment to offset added costs due to COVID-19,PM promises help for long-term care facilities after pandemic exposed vulnerabilities,2020-05-13T03:44:33.558Z,0
"SNC-Lavalin to stand trial on corruption charges, Quebec judge rules",Quebec engineering giant accused of bribing Libyan officials while Gadhafi in power,2019-05-29T19:17:13.204Z,0
New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers,"Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",2020-05-15T13:58:56.758Z,0
Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline,"Federal cabinet approved controversial project Tuesday, but hurdles remain",2019-06-18T23:36:58.129Z,0
"Office buildings turn to apartments, bring downtown Calgary back to life",Calgary and Edmonton's young demographics make it a good fit for creating new rental units,2019-06-18T15:56:06.089Z,0
Quebec business owners say Groupon owes them cash as its northern presence fades,"Company shuttered its Montreal sales office in March, and local businesses say it's been hard to get in touch",2019-06-07T21:05:47.253Z,0
U.S. Congress launches antitrust probe into big tech companies,"Officials didn't say which firms are being investigated, as shares in Facebook, Google, Amazon and Apple fall ",2019-06-04T18:45:03.775Z,-1
"What to cook in June: Spring's bounty of sorrel, radishes, garlic scapes and strawberries is finally here","From sorrel sauce to berry cordials to a new kind of pesto, here’s how to make the most of it",2019-06-04T19:40:44.286Z,0
Edmonton-based cannabis retailer set to grow with investment from global retailer,Couche-Tard makes strategic cannabis move with investment in Fire & Flower,2019-07-24T15:12:52.931Z,1
New Molson Coors CEO to address flat beer market with spiked seltzers,Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month,2019-07-31T20:53:08.364Z,-1
SaskEnergy to launch rebate program for high-efficiency furnaces,Crown corporation's annual report released Thursday,2019-07-04T22:49:09.856Z,0
CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing,"Company cautions consumers to expect shortages, analyst warns of financial impact",2019-07-08T20:03:11.047Z,-1
How Charlottetown has become one of the hottest housing markets in Canada,"New stock, new uses driving prices",2019-07-31T11:58:02.141Z,0
Rising Vanier house prices spark gentrification fears,Average selling price of a home has risen 11% in last 12 months,2019-08-08T08:00:00.085Z,0
Uber loses $5.24B in Q2 after post-IPO stock payouts,Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter,2019-08-08T21:30:03.473Z,-1
OPINION | Greens' climate plan adds up to Mission: Improbable,Kicking the tires on the federal party's new energy and environment plan,2019-08-12T17:11:02.009Z,-1
Chinese yuan falls to 11-year low amid trade tensions,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05T19:21:14.262Z,0
NHL free agency: Plenty of talented players still up for grabs,With training camps fast approaching these valued vets are worth watching,2019-08-14T17:56:10.224Z,0
"TSX falls from record high after a week of gains, U.S. markets mixed","'I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23T21:44:02.861Z,-1
European Central Bank introduces aggressive stimulus package to revive ailing economy,Chief Mario Draghi pledge indefinite stimulus Thursday,2019-09-12T19:25:18.192Z,0
Job hunting advice: Tips for how to be effective today,Experts weigh in on refining your search and getting your profiles right,2019-09-24T22:09:55.207Z,0
TSX closes at record high as oil rally continues,Strength of banks and oil companies driving recent gains,2019-09-20T20:34:36.822Z,1
Peter Mansbridge on the federal election and his new CBC documentary,The veteran CBC News correspondent took calls from Checkup listeners,2019-09-30T14:21:31.161Z,0
U.S. stock indexes wobble as traders turn cautious over trade,The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December ,2019-10-16T14:30:35.040Z,-1
