title,description,annotator_1,notes
HBC shares up on news of likely takeover deal,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,-1,
Fed saw last month less risk of U.S. recession,"Central bank noted U.S. economy 'showing resilience' despite trade war, according to minutes of Dec. meeting",1,US related
"Google parent, Alphabet, just became trillion-dollar company",Some fund managers say they're wondering if now is the time to cash in,0,
"'Now is the time for action,' says Mayor Valérie Plante, as Montreal vacancy rate hits 15-year low",Tenants' advocates worry critical housing shortage will lead to 'renters finding themselves on the streets',0,
Bombardier joint venture lands $427 million US contract to build high-speed trains in China,Montreal-based company holds 50% stake in Bombardier Sifang Transportation Ltd.,0,
What Alberta job losses in January mean for Edmonton,"Statistics Canada says Alberta lost 19,000 jobs last month ",0,
"Aurora Cannabis reports quarterly loss following layoffs, writedown and CEO departure","Earnings affected by drop in production, costs of rolling out edibles and vapes",-1,
What's next for Canada if the WHO calls COVID-19 a pandemic?,Schools could close and elective surgeries could be cancelled as officials work to stop spread of virus,0,
Hall of Fame golfer and LPGA great Mickey Wright dies at 85,American won 82 tournaments including 13 majors,0,
"As China deaths hit 722, WHO warns of global shortage of coronavirus protective equipment","UN agency has been sending testing kits, masks, gloves, respirators and gowns",0,
Coronavirus puts a spotlight on the moral compass of America,The individualism the U.S. was founded on might not serve it well in the current public health crisis,0,
Alberta's economic decline will be the 'most severe' the province has ever seen: RBC,Research firm says Western Canada will need to cut oil production by more than 10%,-1,
"Ring of Fire was 'overhyped,' but still 'worth the effort' says Noront Resources",Current plan is for construction of mine to start in 2021 and to open in 2024,0,
"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch","'This is one of the biggest shocks we've seen in the last 40 years,' analyst says",-1,
"More than just groceries: Calgarians stock up on guns, water filters, cannabis and home gym equipment",Some stores are seeing more traffic as people prep for the COVID-19 pandemic,0,
How Sask. businesses are 'navigating the unknown' and adapting to stay afloat during COVID-19,"From food and drink to working out, nearly everything has changed because of the pandemic",0,
What's happened in Canada since WHO declared COVID-19 a pandemic,Canada had more than 100 confirmed cases on March 11 when pandemic declared,0,
"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn","‘This is one thing they should take off their list to worry about,’ says Mark Machin",-1,Mention of downturn enough?
CBC News poll: Why the economic crisis could speed up transition to renewable energy,"Poll suggests Albertans support energy transition, but it’s complicated",-1,Mention of crisis
Struggling with nightmares and sleepless nights? Don't let pandemic stress ruin your rest,'All the bad sleep habits that we have can be exacerbated by this',0,
The pandemic is creating a season of anxiety in hard-hit farm sectors,Canada isn't running out of food — but some producers may be running out of time,-1,
This is what a trip to the dentist could look like in B.C. when offices reopen,Expect pre-appointment telephone screening and sparsely furnished waiting rooms,0,
Seniors to receive up to $500 in a one-time payment to offset added costs due to COVID-19,PM promises help for long-term care facilities after pandemic exposed vulnerabilities,0,
"SNC-Lavalin to stand trial on corruption charges, Quebec judge rules",Quebec engineering giant accused of bribing Libyan officials while Gadhafi in power,0,
New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers,"Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",0,
Oilpatch pushes for construction to start immediately on green-lit Trans Mountain pipeline,"Federal cabinet approved controversial project Tuesday, but hurdles remain",0,
"Office buildings turn to apartments, bring downtown Calgary back to life",Calgary and Edmonton's young demographics make it a good fit for creating new rental units,0,
Quebec business owners say Groupon owes them cash as its northern presence fades,"Company shuttered its Montreal sales office in March, and local businesses say it's been hard to get in touch",0,
U.S. Congress launches antitrust probe into big tech companies,"Officials didn't say which firms are being investigated, as shares in Facebook, Google, Amazon and Apple fall ",-1,
"What to cook in June: Spring's bounty of sorrel, radishes, garlic scapes and strawberries is finally here","From sorrel sauce to berry cordials to a new kind of pesto, here’s how to make the most of it",0,
Edmonton-based cannabis retailer set to grow with investment from global retailer,Couche-Tard makes strategic cannabis move with investment in Fire & Flower,1,
New Molson Coors CEO to address flat beer market with spiked seltzers,Gavin Hattersley will replace Mark Hunter as Molson Coors Brewing Co. CEO who retires next month,-1,
SaskEnergy to launch rebate program for high-efficiency furnaces,Crown corporation's annual report released Thursday,0,
CannTrust's cannabis sales put on hold by Health Canada for unlicensed growing,"Company cautions consumers to expect shortages, analyst warns of financial impact",-1,
How Charlottetown has become one of the hottest housing markets in Canada,"New stock, new uses driving prices",0,Posittive but related to housing market
Rising Vanier house prices spark gentrification fears,Average selling price of a home has risen 11% in last 12 months,0,
Uber loses $5.24B in Q2 after post-IPO stock payouts,Ride-hailing giant said it paid $3.9 billion in stock-based compensation and expenses during the quarter,-1,
OPINION | Greens' climate plan adds up to Mission: Improbable,Kicking the tires on the federal party's new energy and environment plan,-1,
Chinese yuan falls to 11-year low amid trade tensions,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",-1,
NHL free agency: Plenty of talented players still up for grabs,With training camps fast approaching these valued vets are worth watching,0,
"TSX falls from record high after a week of gains, U.S. markets mixed","'I think this kind of a catch-your-breath moment for the markets, analyst said",-1,
European Central Bank introduces aggressive stimulus package to revive ailing economy,Chief Mario Draghi pledge indefinite stimulus Thursday,-1,
Job hunting advice: Tips for how to be effective today,Experts weigh in on refining your search and getting your profiles right,0,
TSX closes at record high as oil rally continues,Strength of banks and oil companies driving recent gains,1,
Peter Mansbridge on the federal election and his new CBC documentary,The veteran CBC News correspondent took calls from Checkup listeners,0,
U.S. stock indexes wobble as traders turn cautious over trade,The U.S. held off on tariffs set to kick in Tuesday but has yet to cancel plans for more tariffs in December ,-1,
Sweetened bid for HBC by Baker-led shareholder group gets board's approval,Group has agreed to pay $10.30 per share in cash to take the company private,1,
WeWork co-founder pushed aside in $5B SoftBank takeover,Financial rescue package from Japanese tech giant offers Adam Neumann 'a golden helicopter',-1,
"Alberta cannabis industry readies for edibles, but details still murky","Tight regulations have unintended consequences, create waste, retailers and producers say",0,
"Prairies 'bright spot' in Canadian cannabis market as legalization anniversary nears, expert says","After initial 'bubble' in cannabis stocks, analyst expects about a half dozen companies to survive, thrive",1,
TD Ameritrade to be bought by Charles Schwab in $26B brokerage blockbuster,"TD Bank will own about 13% of combined company, which will control about control 24 million accounts",1,
Cabbage rolls by the thousand: Peg's Kitchen's success lies in bringing 'down-home' Sask. cooking to the city,Local foodie eats his way through Regina to share his take on what’s good,-1,
What the Saudi Aramco IPO could mean for the future of the oil industry,Saudi Arabian oil giant Aramco will sell shares publicly for the first time in December,1,Positive description?
The market battle for climate supremacy heats up: Don Pittis,"While politicians may choose to ignore climate science, money managers cannot",1,
OpenText Corp. to buy cloud-focused Carbonite Inc. in billion dollar deal,The $1.42-billion US deal will be the ninth cloud-focused acquisition for the Canadian-based company,1,
The small change that meant big losses for lobstermen,Americans upped the minimum allowable size of lobster for import in 1989,-1,
"Canadian families will pay nearly $500 more in 2020 for food, report says","Canada's Food Price Report 2020 cites changing weather patterns, 'elephant in the room,' as big factor",0,
Canfor privatization deal called off after failing to win shareholder support,Jim Pattison Group's $16-per-share offer had just 45% support from lumber producer's minority shareholders,-1,
Brand new TCHC residence opens in Regent Park just in time for the holidays,"Tenants will begin moving in this week, mayor says",0,
U.S. stocks reach new highs after rumours of 50% cut on Chinese tariffs,President Donald Trump says U.S. is 'very close' to nailing down trade deal with China,1,
