,source,author,title,description,title_desc_sent_1,sent_1_note,title_desc_sent_2,sent_2_note,publishedAt,url,urlToImage,content
51,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Esteban Duarte,"Canada's soaring deficit may jeopardize its AAA rating, Macquarie says",The federal deficit could rise close to $400 billion as the government extends emergency programs to buffer impact of shutdowns,,,0,,2020-05-13,https://business.financialpost.com/news/fp-street/soaring-canada-deficit-may-jeopardize-aaa-rating-macquarie-says?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/trudeau-4.jpg,"Canada’s net debt as proportion of its economy is likely to reach a 20-year high, jeopardizing the country’s top credit rating, according to Macquarie Capital Markets.The federal deficit could rise close to $400 billion (US$284 billion) as the government extends emergency programs to help buffer the impact of the coronavirus shutdowns, Macquarie analysts David Doyle and Neil Shankar said in a report on Wednesday.That would push the federal net debt-to-gross domestic product ratio to about 55 per cent, the highest since 1998-99. Add in provincial deficits, and the shortfall rises to about $500 billion, or net debt of 90 per cent of the nation’s output in 2020-21, the analysts estimate.“These figures may catch the eye of rating agencies and could jeopardize Canada’s AAA rating particularly if the economy continues to underperform in 2021 and beyond,” they wrote. They expect that is likely, “given how growth has come almost exclusively from housing and energy over the last decade,” they said.The budget deficit of Ontario, the world’s largest sub-sovereign debt issuer, will be more than double the latest official government projections as its economy contracts 9 per cent in 2020 from the coronavirus shock, the Financial Accountability Office of Ontario, a provincial fiscal watchdog, said earlier this week.Quebec, which was running surpluses before the COVID-19 crisis, said it is on track to post a budget deficit between $12 billion and $15 billion and it will need as long as five years to balance its book again, the province’s Finance Minister Eric Girard said Wednesday.Bloomberg.com"
52,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Paula Sambo,Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund,(Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,,,0,,2020-05-05,https://business.financialpost.com/pmn/business-pmn/fiera-capital-limits-redemptions-on-1-1-billion-credit-fund,,"(Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.Fiera Capital Corp. has called investors to inform them it has gated its Diversified Lending Fund, which has about C$1.5 billion ($1.1 billion) under management, according to people familiar with the situation. The fund is managed by chief investment officer Francois Bourdon and two others.The fund invests in the residential and commercial construction sector through limited partnerships (LPs) with various partners that specialize in lending solutions. The fund also puts money into partnerships that offer private loans to companies and other types of loans.Nearly 64% of the fund’s loans are for housing projects, as of the end of February; 91% are in Canada or the U.S.“The Diversified Lending strategy has been progressively positioned for a cycle that was getting longer in the tooth, but not for a recession,” the company said in a fund document on its website. “The social distancing measures will have a negative impact on certain borrowers in the strategy; interest payments may be postponed and depending on the length of the measures, more workouts than expected may occur.”The fund was created in 2008 and has generated net annualized returns of 6.55% since inception, according to the company’s website. This year the fund was up 1.69% in the first quarter.The firm is telling clients the fund is well-diversified and could use its liquidity sources to satisfy investors in a fair manner, said one person who spoke on condition they not be named.A Fiera Capital spokesperson declined to comment.Montreal-based Fiera, which has 750 employees in North America and Europe, managed C$170 billion at the end of 2019. Its largest revenue line comes from handling institutional money. About 45% of its assets under management are in fixed income.‘Pandemic Effects’The coronavirus pandemic is buffeting Canada’s alternative lenders. Last month, Bridging Finance Inc. said in an letter to investors that it had gated its funds indefinitely “to maintain investor value and limit pandemic effects.” The non-bank lender has C$1.6 billion in assets under management. Most of its direct lending funds are invested in collateral-based bridge loans, inventory and accounts-receivables financing.Canadian non-bank commercial mortgage lenders also froze redemptions as the underlying assets couldn’t be sold fast enough to keep pace with sustained withdrawals, Bloomberg reported in March.Vancouver-based Trez Capital gated approximately C$2.6 billion. It didn’t say how long the freeze would last to “avoid building unrealistic expectations”.Some firms such as Morrison Laurier Mortgage Corp. have gone further and also suspended dividends and new purchases last month, according to sources.©2020 Bloomberg L.P. Bloomberg.com"
53,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Sandrine Rastello,A fight against Amazon becomes a state matter in Quebec,Quebec is urging its population to buy from local firms through an online directory of retailers called Le Panier Bleu,,,0,,2020-04-25,https://business.financialpost.com/news/retail-marketing/a-fight-against-amazon-becomes-a-state-matter-in-quebec,https://financialpostcom.files.wordpress.com/2020/04/amazon-3.jpg,"The coronavirus crisis is giving Quebec’s nationalist government an excuse to attempt what may be impossible.The Canadian province is embarking on an uphill battle to chip away at Amazon.com Inc.’s position. Reckoning that weeks of confinement will permanently accelerate the growth of online shopping, Premier Francois Legault wants to boost Quebec retailers’ digital sales, and is urging the population of 8.5 million to buy from local firms.His government took a first step by building an online directory of retailers called Le Panier Bleu — or Blue Basket, a reference to the colour of the French-speaking province’s flag. To run it, the government recruited a board including the former president of Lowe’s Cos. Inc. in Canada and Alexandre Taillefer, a private equity partner who years ago floated the idea of a Quebec response to Amazon’s dominance.“People will be able to see what’s available in their region,” Economy Minister Pierre Fitzgibbon said in an interview. “There’s a solidarity developing, I want to capitalize on that.”Quebec’s nationalism, which is rooted in the 1960s economic and political emancipation of its French-speaking majority, predisposes the population to close ranks behind local businesses, according to Andre Lecours, a professor in the School of Political Studies at the University of Ottawa. The province has a number of sizable homegrown retailers, such as Simons department stores, and has produced a few international players.Amazon is fighting stronger opponents in other countries, including France, where last week it lost a court fight to sell the whole range of its products. France has restricted the company’s deliveries to food, health items and computer products to protect workers from the coronavirus.The track record of Canadian-made alternatives to Amazon is not good. One of most famous failures was a site called Shop.ca, backed by several big names in business and former hockey star Eric Lindros. It flopped and wound up in bankruptcy court in 2016.Few Quebec companies are known for their online retailing success. According to a survey by CEFRIO, a digital research and innovation group backed by the government, more than a third of Quebec adults make at least one purchase per month on Amazon. Yet in another report published in 2018, only 14 per cent of the Quebec firms surveyed said they sold products online.“There’s probably a greater mobilization potential in Quebec than in the rest of Canada because of nationalism,” Lecours said. “Still, let’s be honest, Quebecers too shop at Costco and Walmart, because it’s cheaper. If a Quebec purchase is 10 per cent, 15 per cent, 20 per cent more expensive, at what point do they give up?”Efforts to drive money from national sentiment were already in underway before the Blue Basket launch — including an online store called Ma Zone Quebec, a tongue-in-cheek reference to Amazon. Local media also joined in, suggesting Quebec substitutes for groceries such as Kraft Heinz Co.’s barbecue sauce or Heineken NV’s beer.When Legault and Fitzgibbon unveiled the Blue Basket during an April 5 press conference, they described it as a non-for-profit organization that aims to make both merchants and Quebec richer — an overarching goal for the premier, who often says he wants to close the wealth gap with other provinces.“An initiative to promote local commerce isn’t an initiative against free trade,” Fitzgibbon said then. “It’s a unified communication approach to enable our small retailers to do well against companies that have huge marketing resources.”The Blue Basket website, put together in two weeks, doesn’t do transactions yet and was derided by critics for being too basic. The team running it says it’s in its early stages and will become more sophisticated. About 13,000 businesses were referenced as of April 24.Andree-Anne Julien, who runs online bedding and decoration store Espace Deco + Idees Cadeaux, said being listed initially drove more than 1,000 Blue Basket visitors to her site, giving an additional boost to a business that has thrived since brick-and-mortar competitors were forced to close a month ago. The flow has reduced to a trickle since, though she still credits the government for the effort and expects the “Buy Quebec” movement to stay.“No one can compete with Amazon,” she said. Yet because her Quebec suppliers don’t sell on the behemoth’s platform, “we have some exclusivity they don’t have.”Online shopping has been slowly taking off in Canada and accounted for 6.8 per cent of retail sales last year, compared with 11 per cent in the U.S., according to researcher eMarketer.The pandemic may accelerate the conversion. In a Deloitte survey conducted March 16-18, early on in the crisis, about half of Canadians said they were more likely to buy online. This month, Shopify Inc.’s chief technology officer tweeted that the e-commerce software company is handling “Black Friday level traffic every day” to bring thousands of businesses online.Logistics are a major hurdle to Legault’s plans. Louis Corriveau, who specializes in work and hunting clothes on his e-commerce site CoriBouTik, said that even though he will register on Blue Basket, shipping costs in a vast country are a problem for small businesses like his. He recently sold a cap for $12 (US$8.50) that cost $14 to mail to a remote region of Quebec. He charged his client $8.75 in shipping fees to make it palatable.“I made no money,” he said. Shipping costs “is what’s hurting everyone.”Taillefer, the entrepreneur on Blue Basket’s board, has been mulling solutions for retailers to lower their operating costs, mostly by combining forces on warehousing or delivery to save money. For now, the focus is on getting shoppers’ attention.“Our goal is to shift some of the searches Quebeckers do on Amazon or Google to a search engine presenting essentially 100 per cent Quebec content,” he said during a webcast of the Chamber of Commerce of Metropolitan Montreal. If just 1 per cent get diverted, “it will have been worth it.”Bloomberg.com"
2,Bloomberg News,Natalie Obiko Pearson,"Once safer than gold, Canadian real estate braces for reckoning",Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.,,,-1,,2020-04-15,https://www.bnnbloomberg.ca/once-safer-than-gold-canadian-real-estate-braces-for-reckoning-1.1422032,,"Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold. The coronavirus is putting that theory to the test. While lockdowns, job losses and uncertainty are roiling property markets from the U.K. to Australia to Hong Kong, Canada’s situation is more precarious than most. As its oil sector shriveled in recent years, Canada’s economy became ever more driven by real estate, an industry now in a state of paralysis. Nearly one in three workers have applied for income support. What’s more, its households are among the world’s most indebted, poorly placed to weather the storm. “I think it is the Great Reckoning,” says Douglas Hoyes, a bankruptcy trustee in Kitchener, Ontario. “We’ve been in a period for so long where it didn’t matter what property you bought or how highly leveraged you were. Well, guess what? Now it matters.” Since the economy began shuttering in mid-March to slow the spread of coronavirus, policy makers have raced to buttress the property market. Banks are offering mortgage holidays, including to landlords with multiple loans on investment properties. That has raised eyebrows even within the real estate industry. “Should someone with four properties really be granted financial assistance?” asks Steve Saretsky, a Vancouver realtor. “Where exactly do we draw the line?” A ‘Flammable’ Market The country may not have much of a choice but to prop up housing. Real estate has become Canada’s largest sector. Including residential construction, it accounted for 15 per cent of economic output last year; energy accounted for 9 per cent. If it collapses, there’s not much that can pick up the slack -- certainly not oil nor the seemingly unflappable consumer.Canadians have been on a two decade spending spree since a downward shift in mortgage rates began in the 1990s. Toronto and Vancouver, the two biggest housing markets, haven’t had a major correction during that time. Housing turned into a wealth-conjuring machine. As values spiraled higher, homeowners felt richer -- they spent more, borrowed more, and sent prices even higher. That virtuous circle just popped. The City of Vancouver fears it’s heading for insolvency after it surveyed residents and found that 45 per cent of households say they can’t pay their full mortgage next month and a quarter expect to pay less than half of their property tax bills this year. It’s a stunning contrast to 2016, when those lucky enough to own a detached house in the west coast city watched their net worth balloon on average by more than $1,600 (US$1,130) a day without ever leaving home. In one year, the city’s properties surged in value by $47 billion, more than double the cumulative take-home income of all its residents. Tellingly, billboards by the consumer financial watchdog began cropping up -- “Don’t use your house like an ATM” -- as homeowners borrowed against those gains to fund renovations, vacations, and rental properties. Today, Canadian households owe $1.76 for every dollar in disposable income. In Vancouver, that spikes to about $2.40 -- a ratio that puts the so-called supercar capital of North America on par with Iceland before the global financial crisis. Recessions tend to be deeper and last longer when households are mired in debt -- an alarming prospect for a nation that may already be experiencing its sharpest contraction on record. Canadians owe $2.3 trillion in mortgages, credit card, and other consumer debt, about equal to the country’s GDP, which is an even higher ratio than the U.S. had before its housing bust. “You have all of these flammable items that just need a spark, some external shock,” says Anthony Scilipoti, president of Toronto-based Veritas Investment Research Corp. “And this virus is a worst-case scenario none of us would have predicted.” Airbnb Customers Vanish It doesn’t take much to tip a seemingly tight market into a meltdown. If only two per cent of the housing stock were to be listed for sale, it would trigger the kind of supply shock behind a 1990 crash, according to Veritas. That’s most likely to come from investors, half of whom weren’t generating enough cash to cover the cost of owning their rental properties, Veritas found in a survey last September. For loss-making landlords, things are about to get a lot worse: about 30 per cent of apartment rent due April 1 went uncollected, according to estimates by CIBC Economics. That’s in line with similar estimates of U.S. rental collections. Then there are those who invested in properties for the short-term rental market that’s all but dried up because of travel restrictions. Nearly a third of Canada’s Airbnb hosts -- who jointly had 170,000 active listings in late 2019 -- need the income to avoid foreclosure or eviction, Airbnb said in a letter to the Canadian government last month. Confronting a swiftly collapsing pool of renters, more than 200 Canadian listings have exploded across Vrbo and Airbnb in recent weeks pitching themselves as isolation or quarantine havens, many offering COVID-19 discounts, according to data from Toronto-based Harmari, which analyzes online classifieds. Former Airbnb rental units have also cropped up in sales listings. Shaky Pillars Economists and lenders have long pointed to two pillars that have underpinned housing: a robust labor market and the biggest increase in international immigration in more than a century. Neither is holding up. Nearly 6 million Canadians have applied for income support. Lenders had deferred nearly 600,000 mortgages, about 12 per cent of the mortgages they hold, as of April 9. Meanwhile, immigration targets, based upon an earlier growing labor shortage, will almost certainly be scaled back. In steps that dwarf those taken during the global financial crisis, the federal housing agency and the Bank of Canada are ready to purchase billions of dollars worth of mortgages and mortgage-backed securities to backstop the market, while lawmakers passed a historic wage bill to stem job losses. “It’s great we have a government that says they have the fiscal firepower to do this but anyone with any math skills can calculate that my daughter’s grandchildren aren’t even going to be able to pay this off,” says Reza Sabour, a Vancouver mortgage broker. “What’s the plan after?”"
59,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Doug Alexander,"'This is freezing the market': Once roaring, Canadian home sales brace for 30% drop from coronavirus","Real estate listings are drying up, open houses have been cancelled, and buyers are staying home",,,-1,,2020-04-02,https://business.financialpost.com/real-estate/mortgages/canadian-home-sales-30-percent-drop-coronavirus?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/for-sale.jpg,"Real estate listings are drying up, open houses have been cancelled, and buyers are staying home. One more pillar of the Canadian economy is under threat from the coronavirus pandemic.What was a roaring start to the spring house-hunting season has ended in a whimper. By the time the dust settles on what’s likely to be months of disruption, Canada could see resales plunge 30 per cent to a 20-year low and the first nationwide drop in prices since 2009, according to Royal Bank of Canada.“This is freezing the market,” John Pasalis, president of Toronto property brokerage Realosophy Realty, said in a phone interview. “The best-case scenario is we see an improvement in activity in the fall. I don’t think anyone’s really expecting anything before that.”Real estate, along with residential building construction, accounted for almost 15 per cent of Canada’s output last year, ahead of energy at about 9 per cent. It has been a key driver of growth in Toronto, Vancouver and Montreal, where an influx of immigrants has fed a boom in activity in everything from architecture and design to insurance and lending.The buoyant market has also been central to the massive wealth effect that has been driving consumption in recent years. The value of real estate assets owned by households has risen by $2.5 trillion (US$1.8 trillion) over the past decade, an increase of 80 per cent.Now it’s just another casualty of mandated shutdowns to fight the spread of a virus that has infected more than 9,000 in Canada and led to 105 deaths. While construction has still been allowed to operate in Ontario and British Columbia, it’s all but shut down in Quebec.It’s a big change from early March when markets were soaring. In Toronto, sales rose about 50 per cent in the first two weeks from a year ago, and prices were surging, according to Pasalis. By last week, sales were down 37 per cent and new listings were cut by a third in Toronto, he said.Figures from city real estate boards are expected to show the market fading through March. The Real Estate Board of Greater Vancouver said Thursday average daily sales fell to 93 in the last ten business days of the month from 138 in the first ten. But sales were still up 46 per cent in the month and prices rose 2.1 per cent over the year. Calgary, also pummelled by the oil price slump, saw sales drop 11 per cent in March from the same month last year to lowest since 1995.In Vancouver, some sellers haven’t caught up with reality, says Ian Watt, who specializes in condos at Sutton Group West Coast Realty.“We’re still seeing a dozen listings a day in the downtown core, it’s ridiculous,” he says. “Why would anyone do it? No buyers are out, period.”Robert Hogue, senior economist at Royal Bank, said the pandemic will be a “tough but temporary blow” to Canada’s housing market. He sees a recovery coming in stages as buyers take as much as a year to regroup and rebuild confidence amid high unemployment. That means home resales will dive to 350,000 units, he said. Prices will fall briefly over the second half by an average of 2.9 per cent from the year before.No buyers are out, periodHow quickly employment picks up will be key. Already, 1.55 million Canadians have applied for unemployment insurance since mass lockdowns began earlier this month.“The longer this goes, the more it’s eating away at savings, down payments, employment status and income for the year,” said Simeon Papailias, managing partner of REC Canada, a Toronto-based firm that operates under the banner of Royal LePage Signature Realty. “So it’ll affect qualifications.”The uncertainty is sure to chill the mortgage market, according to Albert Collu, president at M3 Mortgage Group.“People aren’t comfortable about going into a home and taking a look at it before making a purchasing decision, nor are they well-grounded in the security around their employment situation at the moment,” Collu said in a phone interview. “Purchase activity is going to be curtailed.”Still, industry observers expect the market to rebound strongly once the virus is beaten back.“We see the outlook improving markedly next year,” RBC’s Hogue said, estimating home resales to surge more than 40 per cent to 491,000 units in 2021. “Exceptionally low interest rates, strengthening job markets and bounce-back in in-migration will generate substantial tailwind.”Papailias at REC said the minute uncertainty is lifted and “you can go outside without getting your children or parents sick — I think the market is going to go bananas.”Elton Ash, head of western Canada for Re/Max Holdings Inc., also sees markets roaring back. The question is if there’s a broader recession — and that could depend on the U.S. and how it deals with the virus, given how closely the two neighbouring economies are linked.“There’s the big unknown — the elephant south of the border,” said Ash.Bloomberg.com"
60,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shelly Hagan,Canada ramps up asset buying to backstop coronavirus-slammed economy,"CMHC announced Thursday it will buy up to $150 billion of mortgages from banks, triple the amount announced two weeks ago",,,1,,2020-03-26,https://business.financialpost.com/news/economy/canada-ramps-up-asset-buying-to-backstop-virus-slammed-economy?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/poloz-6.jpg,"Canada’s government and central bank are gearing up to acquire hundreds of billion of dollars in assets from the financial system in coming weeks in order to keep markets running smoothly during the pandemic-induced economic shutdown.The national housing agency announced Thursday it will buy up to $150 billion (US$107 billion) of mortgages from banks, triple the amount announced two weeks ago, to pump money into the economy hit hard by social-distancing measures and mandated business closures. The Bank of Canada is likely to follow with its first foray into so-called quantitative easing soon, according to market watchers at Canada’s largest banks.Although the central bank has already announced several programs aimed at unclogging credit markets, strategists expect Governor Stephen Poloz will need to introduce formal, large-scale asset purchases to keep borrowing costs low amid the layoffs of hundreds of thousands of workers.“More stimulus is needed because of the size of the output gap, and the credit market stresses mean that QE is the ideal way of providing that stimulus,” Andrew Kelvin, senior Canada rates strategist at Toronto-Dominion Bank, said by email.Over the past several weeks, both the Bank of Canada and the government have announced programs aimed at pumping cash into the financial system. They’ve done so by buying up billions of dollars in debt so banks can continue to lend to individuals and businesses in need during the pandemic.Toronto-Dominion predicts a two-part quantitive easing program totalling $150 billion. This includes mostly purchases of Government of Canada bonds but also a smaller number of mortgage bonds. TD expects the first portion of the QE program — between $50 billion and $75 billion — to be announced at the central bank’s April 15 meeting, and the second in the third quarter, according to Kelvin.Strategists at Bank of Montreal and Canadian Imperial Bank of Commerce expect a large-asset-purchase program of around $100 billion. However, it has the potential to grow from there.“The BoC will likely start with something under $100 billion, but that would quickly ramp up, especially if CMB and provincial spreads continue to widen,” Benjamin Reitzes, rates and macro strategist at BMO, said by email.The Bank of Canada still has the highest policy rate among its Group of Seven counterparts, at 0.75 per cent. Typically, QE programs are reserved for when rates are at or near zero, and a central bank needs some other tool to keep rates low. So, the expectation on the street is that the Bank of Canada will introduce a QE program once it lowers interest rates to 0.25 per cent.“There is no preset sequence for implementing unconventional policy — but we expect the first round of asset purchases to be announced ahead of, or in conjunction with, a move to 0.00 per cent for the overnight rate,” Kelvin said in a note to clients.Most economists expect the bank to lower interest rates to 0.25 per cent by its April 15 meeting.The Bank of Canada has never in its history introduced a large-scale asset purchase program. During the financial crisis, it used forward guidance to bolster market confidence. But the extraordinary economic circumstance caused by the pandemic has investors calling for unconventional tools.A formal quantitative easing announcement by the Bank of Canada would follow its international peers. The U.S. and the two Antipodean countries have embarked on such efforts.“We can conceivably see the Bank of Canada attempting to size their QE program to be smaller than the Fed but somewhat larger than both Australia and New Zealand,” CIBC’s Ian Pollick wrote in a note.Bloomberg.com"
62,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Kait Bolongaro and Theophilos Argitis,Trudeau unveils financial aid worth $82 billion to help Canadians weather coronavirus,This includes $27 billion in direct support for individuals and companies and $55 billion in tax deferrals for both households and businesses,,,1,,2020-03-17,https://business.financialpost.com/news/economy/trudeau-expects-to-unveil-fiscal-stimulus-package-on-wednesday?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/trudeau-4.jpg,"Prime Minister Justin Trudeau announced plans to roll out a fiscal package worth 3% of Canada’s economy as it grapples with fallout from the coronavirus pandemic.The measures will be worth a combined $82 billion (US$56.7 billion), Trudeau said Wednesday in Ottawa. This includes $27 billion in direct support for individuals and companies and $55 billion in temporary tax deferrals for both households and businesses.It’s a significant escalation in Canada’s stimulus package, and the urgency appears to be ramping up by the hour. Late Tuesday night, government officials were only talking about the direct stimulus aspect of the plan.The outlook, however, seems to be deteriorating quickly. The price of Canadian heavy crude slumped Wednesday below US$10 a barrel for the first time after oil-sands producers were forced to delay maintenance, pushing more oil into the market at the worst possible time.“Right now we are focused on making sure that people who are not getting an income or revenue because of this COVID-19 challenge have the money to be able to pay for groceries, pay their rent, and support their families through this difficult time,” Trudeau said.At a separate press conference, Finance Minister Bill Morneau called Wednesday’s measures the “first phase” of the response and said the government is prepared to do more if needed. “I will do whatever it takes,” he said. “There will be more to come.”Global financial markets are continuing to slide as the economic fallout from the pandemic outpaces even the massive response from governments and central banks.Trudeau also confirmed an announcement earlier by President Donald Trump that Canada and the U.S. have agreed to close the world’s longest undefended border to all non-essential traffic.The measures announced Wednesday include steps to bolster child benefit payments, a $10 billion emergency care program to workers who stay home and don’t have access to paid sick leave, and a 10 per cent wage subsidy to eligible small businesses for the next 90 days. The bulk of the support is a plan to allow taxpayers to defer filing until after Aug. 31 — a temporary liquidity support.Wednesday’s package brings the support offered to businesses and individuals to more than $500 billion during the crisis, the prime minister’s office said in a statement. The country’s banking regulator is loosening capital requirements to free up $300 billion of lending capacity, while the country’s housing agency is buying up to $50 billion in mortgages to provide liquidity.Bank of Canada Governor Stephen Poloz, who was also at the Morneau press conference, has cut interest rates by a full percentage over the past two weeks and moved aggressively to keep money flowing through credit markets. Investors are anticipating another half percentage point cut in coming weeks.Asked why he hasn’t moved since the Federal Reserve slashed interest rates on Sunday, Poloz said he would like the “benefit of analysis” of the recent fiscal steps and other measures taken by the central bank before deciding on the next steps. The next rate decision is scheduled for April 15.Bloomberg.com"
9,Bloomberg News,Prashant Gopal,U.S. mortgage rates sink to a record low on COVID-19 fears,Rates for 30-year U.S. mortgages tumbled to the lowest on record as fears of a blow to the economy from the coronavirus sent investors rushing to the safety of Treasuries.,,,0,,2020-03-05,https://www.bnnbloomberg.ca/u-s-mortgage-rates-sink-to-a-record-low-on-covid-19-fears-1.1400716,,"Rates for 30-year U.S. mortgages tumbled to the lowest on record as fears of a blow to the economy from the coronavirus sent investors rushing to the safety of Treasuries. The average rate was 3.29 per cent, down from 3.45 per cent last week and the lowest in 49 years of data-keeping, Freddie Mac said in a statement Thursday. The previous low, in November 2012, was 3.31 per cent. Plunging borrowing costs have set the stage for a spring housing boom and are giving homeowners a fresh opportunity to refinance into cheaper loans. Lenders are staffing up to meet the demand. Quicken Loans Inc., the nation’s largest mortgage lender, said Monday was the busiest day for mortgage applications in the company’s 35-year history. The spread of the virus has roiled financial markets, hammering stocks and pushing yields for the Treasuries that guide mortgage costs to the lowest on record. The Federal Reserve on Tuesday slashed its benchmark lending rate by half a percentage point in its first emergency move since 2008. Mortgage rates will probably fall more and then hit a floor, said Matthew Pointon, U.S. property economist at Capital Economics Ltd. “I don’t think it’s going to go below three per cent,” he said. “Banks already have a surge in demand -- they don’t want to attract new customers.” At the current average rate, the monthly payment on a US$300,000, 30-year loan would be US$1,312. That’s down from US$1,504 a year ago, when the rate was 4.41 per cent."
12,Bloomberg News,Reade Pickert,"U.S. housing starts fall from 13-year high, while permits surge","Residential starts slipped 3.6 per cent to a 1.57 million annualized rate, still the second-fastest pace of the expansion, after an upwardly revised 1.63 million pace in the prior month, according to government figures released Wednesday. January starts exceeded the median estimate in a Bloomberg survey of economists. Permits, a proxy for future construction, advanced 9.2 per cent to a 1.55 million rate, the highest since March 2007.",,,0,,2020-02-19,https://www.bnnbloomberg.ca/u-s-housing-starts-fall-from-13-year-high-while-permits-surge-1.1392432,,"Residential starts slipped 3.6 per cent to a 1.57 million annualized rate, still the second-fastest pace of the expansion, after an upwardly revised 1.63 million pace in the prior month, according to government figures released Wednesday. January starts exceeded the median estimate in a Bloomberg survey of economists. Permits, a proxy for future construction, advanced 9.2 per cent to a 1.55 million rate, the highest since March 2007. Key Insights Get More --With assistance from Chris Middleton."
69,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Natalie Obiko Pearson,Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living,Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,,,-1,,2020-02-18,https://business.financialpost.com/news/economy/vancouvers-1-will-face-a-tax-hike-in-latest-affordability-push,https://financialpostcom.files.wordpress.com/2020/02/vancouver.jpg,"Vancouver’s richest will have to pay more income tax as British Columbia seeks to quell outrage over its prohibitive cost of living.The Canadian province will now tax income above $220,000 at 20.5 per cent, up from 16.8 per cent, the government announced Tuesday as part of its budget. The measure is expected to boost British Columbia’s personal income tax revenue by nearly 7 per cent in the next fiscal year after a projected 3 per cent decline this year, according to budget documents.“It’s my job to make sure that the benefits of B.C.’s strong economy are felt by everyone, not just the few at the top,” British Columbia Finance Minister Carole James said in Victoria. “Today we’re asking the people at the top, the highest 1 per cent of individual income earners, to pay a little more.”British Columbia Premier John Horgan has made affordability a central plank of his government since taking power in 2017.  Research has shown Vancouver — Canada’s priciest housing market — to be one of the continent’s most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes. In previous years, the provincial government’s measures have included levies targeting foreign buyers, properties left vacant for more than half the year, and a so-called school tax on luxury homes.In Tuesday’s budget announcement, the government forecast its surplus would widen to $227 million in the fiscal year beginning April 1, following a projected $203 million surplus in the year ending March 31. It projects a $179 million surplus in 2021-2022 and another $374 million surplus in 2022-23.British Columbia is expected to remain one of Canada’s fastest-growing provinces, the government said. The fiscal plan pegged economic growth at 2 per cent this year, following a 1.8 per cent expansion in 2019.“We all want to feel the benefits that come with a strong provincial economy,” James said. “We all want life to be more affordable.”The new tax bracket will mostly affect men: some 70 per cent of those set to pay the new top rate are male, the government said. Meanwhile, a rise in the minimum wage to more than $15 an hour by 2021 will disproportionately benefit women, James said. More than half of the province’s 140,000 minimum-wage earners are female, she said.More broadly, however, budget documents show overall wage growth slowing: average weekly wages in B.C. rose 2.5 per cent last year, down from a 4.1 per cent increase in 2018. The projections also indicate wage growth slowing this year and next.Meanwhile, the government’s efforts to drive down property prices have been only moderately successful. The average sale price of a home in British Columbia fell in 2019 by 1.6 per cent, according to budget documents, while housing activity is in an upward trajectory after bottoming out last year, according to TD Economics.Asked if she wants to see sharper declines, James answered, “I do.”Bloomberg.com"
