Column1,source,author,title,description,title_desc_sent_1,sent_1_note,title_desc_sent_2,sent_2_note,publishedAt,url,urlToImage,content,content_1_sent,content_1_note,content_2_sent,content_1_note2
62,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Jacqueline Thorpe and Sandrine Rastello,Setback to Montreal retail reopening shows rocky path to getting economy running again,The high number of COVID-19 cases in Montreal hospitals caused Premier Francois Legault to postpone store openings by a week,-1,,-1,,5/4/2020,https://business.financialpost.com/news/economy/montreal-retail-setback-shows-canadas-rocky-path-to-reopening?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/quebec.jpg,"Quebec has been forced to dial back plans for reopening its economy, just six days after the premier announced them.The high number of COVID-19 cases in Montreal hospitals caused Premier Francois Legault to postpone store openings by a week in the province’s largest city. Last week he said the city’s retail outlets would be allowed to open May 11; the new date is May 18.Next door in Ontario, Premier Doug Ford indicated he would continue to take a slow approach to restarting Canada’s biggest provincial economy. Ford said the province is getting close to allowing more retail stores to open for curbside pickup — as long as virus cases continue to decline. He didn’t give a date.Getting back to business is proving to be no easy task, even as the Canadian economy continues to buckle under the strain of shutdowns. The two neighbouring provinces account for more than 55 per cent of the country’s GDP but have been the epicentre of its virus cases, with 93 per cent of Canada’s deaths as of Monday.The next dilemma for Quebec is whether to stick to a planned May 19 reopening of primary schools and daycares in Montreal. “It’s out of the question to open and then add to the number of people who could end up in our hospitals, while we have very little room for maneuver in Montreal,” Legault told reporters in Quebec City.Most of Quebec’s 1,772 hospitalized COVID-19 patients are in the Montreal region, which has enough beds for now but where the situation is “very tight,” he said.Quebec’s death tally rose to 2,280 Monday, with 32,623 confirmed cases. Deaths now register 267 per million people, higher than the U.S. at 208 and more than double Canada at 101, according to Quebec’s public health institute. The problem for both Quebec and Ontario has been severe outbreaks at long-term care facilities, which account for about 80 per cent of fatalities.It's out of the question to open and then add to the number of people who could end up in our hospitalsMeanwhile, fresh evidence arrived Monday that the economic strain continues to build. Figures showed companies took out loans at the fastest pace since 1981 in March. Employment data due on Friday may show the economy lost more than 4 million jobs in April, a fifth of the labour force and by far the largest decline on record, according to a Bloomberg survey of economists.Still, stores outside of Montreal were allowed to reopen Tuesday with manufacturing and construction still planned to restart everywhere in Quebec on May 11.In Ontario, only a handful of businesses were allowed to get back to business on Monday, including garden centres offering curbside pickup, automatic car washes and a few more essential construction projects. Ontario has 17,923 cases and 1,300 deaths.However, the province is getting close to relaxing restrictions on retail if infection numbers continue to improve, Ford said.“It’s inevitable. The numbers keep going down. We’re going to get the economy going based on health and science,” he said at a news conference in Toronto. “Just because we open up these stores it doesn’t mean it’s a free-for-all.”Bloomberg.com",,,,
63,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Katia Dmitrieva,America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun,"GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",-1,,-1,,4/29/2020,https://business.financialpost.com/news/economy/u-s-economy-shrinks-at-4-8-pace-signaling-start-of-recession,https://financialpostcom.files.wordpress.com/2020/04/recession.jpg,"The record-long U.S. economic expansion is over after almost 11 years, with the deepest recession in at least eight decades now under way. The world’s largest economy shrank at a 4.8 per cent annualized pace in the first quarter, the biggest slide since 2008 and the first contraction since 2014, as the need to fight the coronavirus forced businesses to close and consumers to stay home.The downturn, reported Wednesday by the Commerce Department, was led by the steepest drop in consumer spending since 1980 and the fastest decline in business investment in almost 11 years.The worse-than-expected report reveals the wide-scale hit to U.S. output from COVID-19 and the subsequent freezing of economic activity. The current quarter is likely to be far worse, with analysts expecting the economy to tumble by a record amount in data going back to the 1940s. Bloomberg Economics has projected a 37 per cent annualized contraction, but UniCredit is the most bearish with a 65 per cent estimate.That will end an expansion that began in mid-2009 when the economy began to recover from the financial crisis. Since then, gross domestic product swelled by US$7 trillion and unemployment had fallen to a five-decade low of 3.5 per cent, although some have questioned how widely the benefits have been spread with an increasing concentration of wealth at the top and wages rising at a relatively tepid pace for most of the expansion.The pain is being felt worldwide with China already reporting a sharp decline in output and the euro-area set to deliver grim figures Thursday.As the U.S. government and states debate when and how fast to lift restrictions on companies and schools, there remains considerable doubt over the duration of the economic slowdown and the shape of the recovery.Early hopes for a rapid rebound have faded with most analysts assuming a jump in activity once the virus passes will be followed by a slower resumption of growth. So far, many data points signal a deepening contraction, while others have shown slight improvement, according to a Bloomberg Economics tracker.Despite massive government aid packages and near-zero interest rates, businesses big and small risk going bankrupt, while consumers may remain wary of hitting shops and restaurants amid health concerns, higher debt burdens and job insecurity.Another big question is how the recession affects the re-election chances of President Donald Trump, who lately has been pushing for removal of the constraints after losing the ability to run on a strong economy.At the Federal Reserve, which slashed rates and rolled out a slew of emergency and unprecedented lending programs, Chairman Jerome Powell and colleagues are trying to limit the virus’s damage to jobs and business while setting the conditions for recovery.They conclude a two-day meeting later Wednesday, with a statement expected at 2 p.m. in Washington and a press conference by Powell at 2:30 p.m.While two quarters of contraction is considered by most to constitute a recession, the official call in the U.S. is made by the Business Cycle Dating Committee, a panel of economists at the National Bureau of Economic Research. They look at a wide range of indicators including consumer spending, employment and GDP.The analysis can take a while. In the last recession, which became the longest since World War II, the committee didn’t make the determination for nearly a year after the downturn started.In any case, the GDP figures underscore what’s already clear from government data showing 26 million Americans filing for unemployment, along with plunges in retail sales and factory production.The contraction in first-quarter GDP — the first decline since a 1.1 per cent drop in 2014 — compared with the median projection for a 4 per cent drop in a Bloomberg survey of economists. In January, analysts were forecasting growth of 1.6 per cent.Consumer spending, which had already begun to cool in the second half of 2019, fell at a 7.6 per cent rate. Changing consumption habits were evident in the report, as the biggest increase since 2003 in spending on nondurable goods such as food was more than offset by the largest slump in purchases of durable goods in more than 11 years.Consumption is forecast to be much weaker in the second quarter because broader government measures including closures of restaurants and stores didn’t start in earnest until mid-to-late March, and they continue today in much of the U.S.Business investment, already down for three straight quarters as the U.S.-China trade war kept companies guessing, also took a big hit. Companies slowed spending on structures and equipment. Investment in software rose, however, potentially reflecting efforts to help employees work from home.Exports of services fell by the most since 1975, reflecting a decline in international travelers coming to the U.S.The first-quarter GDP figures will be revised several times, and some economists broadly expect the reading to become weaker as more data and adjustments are made.Bloomberg.com",,,,
64,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Esteban Duarte,Canada's AAA credit rating on the line as oil crash slams debt-loaded provinces,Provinces are likely to need more assistance from the federal government — which could trigger a downgrade,-1,,-1,,4/23/2020,https://business.financialpost.com/news/economy/canadas-aaa-on-the-line-as-oil-crash-hits-debt-loaded-provinces?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/canada-1.jpg,"Canada’s stellar credit rating is being put to the test as the oil crash and recession expose the country’s weak link: its provinces.Among the Group of Seven countries, only Germany and Canada have AAA ratings from S&P Global Ratings. But as pressure rises on the government of Justin Trudeau to aid provinces and key industries, Canada’s fiscal position is looking shakier.Going into the COVID-19 crisis, Canada’s provincial governments had $853 billion (US$602 billion) of debt securities outstanding, more than the national government. They also shoulder most of the cost for health care and eduction. Several of them rely on energy revenues that are evaporating. Oil-rich Alberta released a budget in February based on West Texas Intermediate prices of US$58 a barrel. Its deficit projections crumbled within days.Last week the Bank of Canada expanded its asset purchase program to include as much as $50 billion in provincial debt to bring down yields. That may not be enough: Trudeau will likely have to come up with new fiscal measures too.“There is a very good chance that the need for more massive federal assistance for the provinces, for households, for the business sector, will trigger a downgrade at some point” for Canada, said David Rosenberg, founder of Rosenberg Research and Associates and former chief North American economist at Merrill Lynch & Co.Canadian governments will have net borrowing needs of 11.8 per cent of GDP this year, higher than all G7 countries except the U.S., according to the International Monetary Fund.Pricing on credit default swaps suggests traders see Canada’s profile as similar to Australia — whose top credit rating was put on negative outlook by S&P on April 7 — and lower-rated New Zealand. Canada’s economy is set to contract by 5.3 per cent in 2020, compared with 2.4 per cent decline globally, S&P said in an April 20 note.The federal and provincial governments have put together a virus response package of at least $315 billion, S&P said.“The fact that the Bank of Canada is now buying provincial debt, and that will help keep borrowing costs low — I think that will be very important for the credit rating,” said Tiffany Wilding, North American economist at Pacific Investment Management Co. She sees the Canada’s top credit rating as “extremely resilient,” citing the central government’s relatively low debt-to-GDP ratio, which was a little more than 30 per cent before the crisis.Fitch Ratings, which is in the process of updating its projections for Canada as well as other sovereigns, looks at gross consolidated general government debt rather than federal debt in its models, said Kelli Bissett-Tom, a director of Americas sovereign ratings. By that yardstick Canada is “among the weak” AAA-rated sovereigns, she said, though it isn’t an automatic trigger for a credit action.While the federal government doesn’t explicitly guarantee the debt issued by provinces, credit-rating companies and investors assume a high probability of support.For instance, Newfoundland and Labrador’s rating of A1 by Moody’s Investors Service would be two levels lower if not for the assumption of “a high level of extraordinary support from the government of Canada,” Moody’s said in an April 1 statement. Moody’s put the province on negative outlook, citing the decline of oil prices. It’s the most indebted province, with debt at about 2.5 times revenues for the fiscal year that ended March 31.Newfoundland and some other provinces, including Manitoba, want the Trudeau government to set up an emergency credit agency to help them borrow more cheaply. They also want changes to the fiscal stabilization program, a federal mechanism created in the 1960s to help provinces facing revenue drops.“We still believe the proposal for an emergency fund has merit, and we will continue to work with our provincial counterparts and the federal government on solutions to the challenges we collectively face,” said Newfoundland Finance Minister Tom Osborne.Alberta continues to press for a package of between $20 billion and $30 billion to help oil and gas companies stay afloat, Alberta Finance Minister Travis Toews said.“Oil and gas is the largest subsector of the Canadian economy and we have advocated to the federal government that the liquidity package needs to be significant,” said Toews in an emailed statement.Provincial debt issuance for this year may reach $150 billion compared with about $100 billion estimated before the COVID-19 outbreak, Bank of Nova Scotia analysts including Rebekah Young wrote in an April 15 note. That’s on top of federal financing needs of about $450 billion.“Provincials are absolutely key for Canada’s rating, because provincial debt in Canada collectively makes up the largest sub-sovereign debt issuance in the world,” said Alexandra Gorewicz, portfolio manager at CI Investments. Some of the provinces’ credit ratings may be “called into question.”Bloomberg.com",,,,
66,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Eric Martin,‘Crisis like no other’: IMF warns ‘Great Lockdown’ recession will be worst in almost 100 years,"In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both",-1,,-1,,4/14/2020,https://business.financialpost.com/news/economy/imf-says-great-lockdown-recession-likely-worst-since-depression?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/closed-5.jpg,"The International Monetary Fund predicted the “Great Lockdown” recession would be the steepest in almost a century and warned the world economy’s contraction and recovery would be worse than anticipated if the coronavirus lingers or returns.In its first World Economic Outlook report since the spread of the coronavirus and subsequent freezing of major economies, the IMF estimated on Tuesday that global gross domestic product will shrink 3 per cent this year.That compares to a January projection of 3.3 per cent expansion and would likely mark the deepest dive since the Great Depression. It would also dwarf the 0.1 per cent contraction of 2009 amid the financial crisis.Like in a war or a political crisis, there is continued severe uncertainty about the duration and intensity of the shockWhile the fund anticipated growth of 5.8 per cent next year, which would be the strongest in records dating back to 1980, it cautioned risks lay to the downside. Much depends on the longevity of the pandemic, its effect on activity and related stresses in financial and commodity markets, it said.Even if the IMF’s forecast proves accurate, it said output in both advanced and emerging markets would undershoot their pre-virus trends through 2021, seemingly dashing any lingering hopes of a V-shaped economic rebound from the health emergency.In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both. A lengthier pandemic would wipe 3 per cent off GDP this year compared to the baseline, while protraction plus a resumption next year would mean 8 per cent less output than projected in 2021, it said.“This crisis is like no other,” Gita Gopinath, the IMF’s chief economist, wrote in a foreword to its semi-annual report. “Like in a war or a political crisis, there is continued severe uncertainty about the duration and intensity of the shock.”As with the virus’s reach, the economic hit is sweeping. In the U.S., gross domestic product is expected to contract 5.9 per cent, compared with a 2 per cent expansion in its last global outlook in January. It may grow 4.7 per cent next year, the IMF said. The euro area will probably shrink 7.5 per cent in 2020 and expand 4.7 per cent in 2021, it said.“Many countries face a multi-layered crisis comprising a health shock, domestic economic disruptions, plummeting external demand, capital-flow reversals and a collapse in commodity prices,” the IMF said. “Risks of a worse outcome predominate.”The grim projections are a stark reversal from the IMF’s outlook less than two months ago. On Feb. 19, the fund told Group of 20 finance chiefs that “global growth appears to be bottoming out.” Three days later, Managing Director Kristalina Georgieva predicted the virus would likely cut just 0.1 percentage point from the fund’s global growth forecast for this year, although she acknowledged “more dire scenarios” were being studied.The fund sees advanced economies shrinking the most, contracting 6.1 per cent. Emerging-market and developing economies will see a 1 per cent drop. Growth in China and India will decelerate but their economies will still manage to expand 1.2 per cent and 1.9 per cent respectively, the fund said.The IMF’s baseline scenario assumes that the pandemic fades in the second half of this year and that containment measures can be gradually wound down.Global trade volume in goods and services will probably tumble 11 per cent this year, the fund said.Growth in consumer prices in advanced economies may average 0.5 per cent this year, accelerating to 1.5 per cent in 2021, it said. The jobless rate in the U.S., which was at a half-century low before the pandemic, may swell to 10.4 per cent in 2020, the IMF said.Most central banks around the world have cut interest rates to around or below zero to blunt the effect of the coronavirus, with the Federal Reserve launching an unprecedented range of emergency programs to support as much as $2.3 trillion in loans. Fiscal stimulus packages have varied more. The U.S. is providing about 10 per cent of gross domestic product in support and Germany about 4.5 per cent, while Japan’s program is worth about 20 per cent of GDP, according to Bloomberg Economics.The IMF said that fiscal measures will need to increase if stoppages to economic activity persist, or if the pickup in activity once restrictions are lifted is too weak. Economies with financing constraints may also require external support, the fund said. Georgieva had repeatedly pledged to use the IMF’s $1 trillion in loan capacity to help its members.The IMF and World Bank are holding their spring meetings via video conference for the first time ever this week. Their normal in-person meetings typically draw thousands of delegates, observers and journalists from 189 member countries. The program has been pared down to mostly media briefings and private meetings, skipping the typical seminars and public discussions.Bloomberg.com",,,,
68,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shelly Hagan,Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy,"Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",-1,,-1,,3/31/2020,https://business.financialpost.com/news/economy/canada-ekes-out-meager-growth-in-january-before-pandemic?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/economy.jpg,"Canada’s economy expanded less than expected in January even before the pandemic caused a virtual shutdown, reinforcing views the first quarter will be weak.Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain, Statistics Canada reported Tuesday. That follows a 0.3 per cent jump in the prior month.Tuesday’s numbers are largely moot since the growing coronavirus pandemic has changed the entire economic picture in the last month. The weaker-than-expected print backs up economists’ views that the economy will contract in the first quarter.January’s numbers were slightly affected by the outbreak in China through reduced trade and tourism, Statistics Canada said.Recent monthly GDP numbers do show some signs of recovery from a very weak end to 2019 — with three straight monthly gains between November and January — but that was all before the recent developments.The number will allow economists to fine tune their forecasts for first quarter growth, but expectations are for the quarter to show a contraction.The below-expected January number reinforces those estimates.Bloomberg.com",,,,
70,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Erik Hertzberg and Shelly Hagan,Nearly 1 million Canadians applied for jobless claims last week as economy rapidly deteriorates,"The new figure of 929,000 — 5% of the labour force — includes claims made over the weekend, source says",-1,,-1,,3/24/2020,https://business.financialpost.com/news/economy/covid-19-one-million-jobless-claims-canada?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/closed-coronavirus.jpg,"Nearly one million Canadians applied for jobless claims last week, representing almost 5 per cent of the labour force, according to a senior government official with knowledge of the data.The new figure of 929,000 includes the half-million unemployment applications first reported by Prime Minister Justin Trudeau in a press conference Friday, but also includes claims made over the weekend, the person said on condition they not be identified because the data is not yet public.The speed and extent of the jump in jobless claims is unprecedented; the previous record for an entire month was 499,200 in 1957, according to Statistics Canada data.The latest claims data highlights the rapidity at which the country’s economy is deteriorating as Canadians stay home and governments urge businesses to close, amid efforts to try to control the spread of the coronavirus. Economists have slashed growth forecasts, and they now expect second quarter output to contract by the most in more than half a century.“The rise in EI applications gives us a sneak peak into just how sharp the drop off in economic activity has been over the past few weeks,” said Royce Mendes, an economist at Canadian Imperial Bank of Commerce. “While we really don’t know how long this will last, we do know the hit to GDP will be severe.”Mendes said he expects the unemployment rate to spike to levels higher than even during the worst of the financial crisis.Bloomberg.com",,,,
74,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Eric Martin,IMF ready to mobilize $1 trillion in loans to help countries counter coronavirus outbreak,"'As the virus spreads, the case for a coordinated and synchronized global fiscal stimulus is becoming stronger by the hour'",-1,bad global econ warrants stimulus,-1,,3/16/2020,https://business.financialpost.com/news/economy/imf-ready-to-mobilize-1-trillion-loan-capacity-to-counter-virus,https://financialpostcom.files.wordpress.com/2020/03/imf.jpg,"The International Monetary Fund is ready to mobilize its US$1 trillion lending capacity to help nations counter the coronavirus outbreak, with Managing Director Kristalina Georgieva calling for global coordination on monetary, fiscal and regulatory support.Georgieva reiterated in a blog post Monday that the fund has US$50 billion in flexible and rapid-disbursing emergency funds for developing nations, with as much as US$10 billion available at zero interest rates.The fund already has 40 ongoing loan arrangements with combined commitments of US$200 billion that can quickly provide crisis financing, she said. There are about 20 more countries interested in support, Georgieva said.The fund also has about US$400 million in its Catastrophe Containment and Relief Trust to help poor countries with debt relief. With the help of donations, like US$195 million recently from the U.K., the IMF hopes to boost that to US$1 billion, she said.“As the virus spreads, the case for a coordinated and synchronized global fiscal stimulus is becoming stronger by the hour,” Georgieva said. “During the global financial crisis, for example, fiscal stimulus by the G-20 amounted to about 2 per cent of GDP, or over US$900 billion in today’s money, in 2009 alone. So, there is a lot more work to do.”Georgieva added that the IMF “stands ready to mobilize its US$1 trillion lending capacity to help our membership.” She praised the swap lines announced by central banks on Sunday, saying that going forward there may be a need for swap lines to emerging-market economies.The comments come after Georgieva said earlier this month that the global economic outlook has shifted to “more dire scenarios” and that it’s still difficult to predict the economic impact of the virus. Meanwhile, the fund on Friday ordered all staff at its Washington headquarters to work from home after an employee was diagnosed with the virus. Bloomberg.com",,,,
4,Bloomberg News,Shelly Hagan,Canada's output stalls as exports and business investment drop,"Canada’s economy slid to a near halt in the fourth quarter, as exports dropped by the most since 2017 and business investment declined, but December came in stronger-than-expected, suggesting the economy had a bit of momentum going into 2020 before the coronavirus concerns.",-1,,-1,,2/28/2020,https://www.bnnbloomberg.ca/canada-s-output-stalls-as-exports-and-business-investment-drop-1.1397424,,"Canada’s economy slid to a near halt in the fourth quarter, as exports dropped by the most since 2017 and business investment declined, but December came in stronger-than-expected, suggesting the economy had a bit of momentum going into 2020 before the coronavirus concerns. 
 Gross domestic product grew at an annualized pace of 0.3 per cent -- essentially a stall -- in the three months ended December, in line with economist and Bank of Canada estimates, the federal statistics agency reported Friday. That was down from a revised 1.1 per cent pace in the previous quarter, making it the second-straight quarterly deceleration and slowest pace of growth since 2016. 
 The period ended on a higher note than most analysts anticipated with a monthly expansion of 0.3 per cent in December, the fastest pace of growth since May. This brings the annual growth rate of Canada’s real GDP to 1.6 per cent for 2019, down from two per cent in 2018, and lower than the U.S., which posted a 2.3 per cent increase in real GDP, the agency said. 
 
 The Canadian dollar was down 0.4 per cent to $1.3438 against its U.S. counterpart at 8:37 a.m. Toronto time. Bets that the Bank of Canada will cut interest rates at the March 4 meeting rose to more than 50 per cent, from 36 per cent on Thursday. 
 Key Insights 
 -The slowdown in the fourth quarter was largely expected as a series of temporary factors including a week-long rail strike, manufacturing plant disruptions and pipeline shutdowns stunted growth. The quarter started off weak with most of the temporary factors occurring during the first two months of the period. And while December recouped some of the losses, this still doesn’t change the picture that Canada’s economy remains in a fragile position and the Bank of Canada could cut rates, especially in light of the recent impacts from the coronavirus and domestic rail disruptions 
 -The saving grace for the economy was household spending, -- a reflection of a strong labor market -- up two per cent annualized on the quarter. But Canadians are largely buying non-durable goods and services -- which suggests they may be wary of big ticket items. Another indicator of caution is that the household savings rate rose to three per cent in the fourth quarter 
 -Businesses had a tough quarter, perhaps reflecting the heightened global trade tensions at the end of the year. The drop in exports was the biggest downward contributor to 4Q output, falling 5.1 per cent annualized, the biggest drop since 2017. Business investment contracted three per cent in the fourth quarter after an 8.4 per cent expansion in the prior quarter. Investment in machinery and equipment fell 13.5  
 Get More 
 -Supply chain disruptions drove business inventories higher in 4Q, contributing 0.6% to the annualized growth rate. This suggests that if businesses had chosen not to increase inventories, the economy would have contracted. This could potentially drag on 2020 growth if firms decide to meet demand by drawing down stockpiles. 
 -Residential investment decelerated to an annualized pace of 1.1 per cent in the fourth quarter from 13 per cent in the prior quarter. Non-residential investment shrunk by an annualized 6.3 per cent, more than offsetting the pickup in capital spending in the third quarter 
 -Overall, domestic demand -- which excludes the trade sector and inventories -- remained sluggish, growing at just 0.7 per cent on an annualized basis 
 -The housing market softened in the 4Q as investment in new construction decelerated 
 -Third quarter GDP was revised down to an annualized 1.1 per cent, from an initial estimate of 1.3 per cent 
 --With assistance from Erik Hertzberg.",,,,
5,Bloomberg News,Katia Dmitrieva,U.S. fourth-quarter GDP revisions show weaker underlying demand,"Upwardly revised contributions from trade and inventories kept gross domestic product expanding at a solid 2.1 per cent annualized rate in the fourth quarter, matching estimates for no revision of the initially reported rate, Commerce Department data showed Thursday.",-1,,-1,,2/27/2020,https://www.bnnbloomberg.ca/u-s-fourth-quarter-gdp-revisions-show-weaker-underlying-demand-1.1396709,,"Upwardly revised contributions from trade and inventories kept gross domestic product expanding at a solid 2.1 per cent annualized rate in the fourth quarter, matching estimates for no revision of the initially reported rate, Commerce Department data showed Thursday. 
 But consumer spending, which makes up about two-thirds of the economy, was revised down to a 1.7 per cent increase from 1.8 per cent, also matching forecasts. Nonresidential fixed investment was revised lower to a 2.3 per cent drop, representing the third straight decrease and matching the biggest decline since 2015. 
 The report suggests the record-long U.S. expansion is more vulnerable to weakening than previously thought, and it may remain below President Donald Trump's target of three per cent growth as he seeks re-election. Global stocks have been walloped this week and Treasury yields have declined to record lows as the coronavirus spreads and investors fret about its impact on world commerce. 
 Earlier this month, economists had forecast that U.S. growth would slow to 1.5 per cent in the first quarter, amid weaker gains in government spending and only a slight increase in private investment. The record-long expansion is reliant on consumers continuing to open their wallets, particularly as businesses already whipsawed by the U.S.-China trade war start to contend with the coronavirus. 
 While most U.S. data have yet to reflect an impact from the virus, some indicators point to a potential hit to GDP: An IHS Markit output gauge for February fell to the lowest since 2013, led by concern at factories and service providers about lower new orders and demand, and severed supply chains. 
 Brighter Data 
 Another data set from the Commerce Department on Thursday was brighter. Orders for commercial equipment excluding aircraft -- a proxy for business investment -- rose 1.1 per cent in January after an upwardly revised 0.5 per cent decrease. Even so, the coronavirus will test demand as well as supply chains. 
 A key measure of underlying demand -- final sales to domestic purchasers -- rose an annualized 1.5 per cent in the fourth quarter, revised from an initially reported 1.6 per cent and the weakest in a year. 
 Net exports contributed an upwardly revised 1.53 percentage points to fourth-quarter GDP growth, while inventories dragged down the headline figure by 0.98 point, less than initially reported. 
 A separate report from the Labor Department Thursday showed filings for unemployment benefits rose for a third week, though they remain low by historical standards. Jobless claims increased to 219,000 in the week ended Feb. 22, above economist forecasts. The four-week average, a less-volatile measure, edged up to 209,750. 
 The claims figures tend to be more volatile around holidays. Last week included the Presidents Day holiday. 
 The fourth-quarter GDP figures will be revised for a third and final time in March as additional data are compiled. GDP for the January-to-March period will be released in April. 
 --With assistance from Kristy Scheuble.",,,,
77,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vildana Hajric and Claire Ballentine,Stocks plunge after CDC warns Americans to prepare for coronavirus outbreak in U.S.,Dow down 880 points as virus spreads further around the world and officials describe it as 'a rapidly escalating epidemic',-1,hurt financial sector contribution to gdp?,-1,,2/25/2020,https://business.financialpost.com/investing/market-moves/stock-drop-accelerates-after-cdc-warns-americans-to-prepare-for-coronavirus-outbreak?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/02/coronavirus-markets.jpg,"U.S. stocks tumbled to an almost 12-week low and bond yields plunged to records on rising concern the coronavirus will upend global supply chains critical to economic growth.The S&P 500’s four-day rout reached almost 7.6 per cent, with losses accelerating Tuesday after the U.S. Centers for Disease Control and Prevention warned Americans to prepare for a coronavirus outbreak at home. That follows a rapid increase in cases from Italy to Iran and Japan, with a growing list of companies warning that profits will suffer as economies around the world suffer. The S&P, Dow Jones Industrial Average and Nasdaq Composite indexes all set record highs this month.Wall Street’s three major stock indexes fell 3 per cent as the coronavirus spread further around the world and officials described it as “a rapidly escalating epidemic,” a day after the S&P 500 and the Dow Industrials’ biggest daily decline in two years. The 10-year U.S. Treasury yield fell to a record low of 1.3055 per cent as investors sought shelter from the virus’s impact on the outlook for growth. All 11 sectors in the S&P 500 fell with energy, material and financial shares leading the declines. Volatility spiked, sending the Cboe’s measure of equity gyrations surging past 30 for the first time since 2018.“The market is pricing in a significant slowdown in GDP and a 10 per cent impact on earnings,” said Zhiwei Ren, portfolio manager at Penn Mutual Asset Management. “And since no one knows how bad the infection will be, it is hard to make a bet on economy.”U.S. central bankers are closely monitoring the spreading coronavirus, but it is “still too soon” to say whether it will result a material change to the outlook, Federal Reserve Vice Chairman Richard Clarida said.Based on the latest available data, the Dow Jones Industrial Average fell 880.79 points, or 3.15 per cent, to 27,080.01, the S&P 500 lost 97.59 points, or 3.03 per cent, to 3,128.3 and the Nasdaq Composite dropped 255.67 points, or 2.77 per cent, to 8,965.61.The TSX fell 385.37 points, or 2.19 per cent to 17,177.37.Elsewhere, European stocks closed in the red, while bonds from the region were mixed. Crude oil slumped again after Monday’s slide of nearly 4 per cent.Japanese shares tumbled more than 3 per cent as traders returned after a holiday. Stocks fell in China and Australia and pushed higher in South Korea and Hong Kong. The yen strengthened against the dollar for a third day.Erratic market moves suggest investors remain on edge over the economic impact of the virus. The World Health Organization has held off from declaring a global pandemic even as cases surged in South Korea, Italy and Japan.“The markets are pricing in the what ifs of the coronavirus, not necessarily exactly what is,” said Brent Schutte, chief investment strategist at Northwestern Mutual Wealth Management Co.Analysts at Oxford Economics Ltd. said the epidemic could wipe more than US$1 trillion from global domestic product, while the International Monetary Fund lowered its growth forecasts for the world economy.Bloomberg.com, with files from Reuters",,,,
