Column1,source,author,title,description,title_desc_sent_1,sent_1_note,title_desc_sent_2,sent_2_note,publishedAt,url,urlToImage,content
67,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Katherine Burton, Melissa Karsh and Sophie Alexander",'Stocks are overvalued': Wall Street heavyweights sound the alarm about markets,"Legendary investors Stan Druckenmiller and David Tepper the latest to weigh in, saying risk-reward of holding shares worst they've seen in years",-1,,-1,,5/14/2020,https://business.financialpost.com/investing/stocks-are-overvalued-wall-street-heavyweights-sound-the-alarm-about-markets?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/nyse-1.jpg,"The biggest names in finance are coming around to a view that seemed unlikely a few weeks ago: Stocks are vastly overvalued.Legendary investors Stan Druckenmiller and David Tepper were the latest to weigh in after a historic market rebound, saying the risk-reward of holding shares is the worst they’ve encountered in years. Druckenmiller on Tuesday called a V-shaped recovery — the idea the economy will quickly snap back as the coronavirus pandemic eases — a “fantasy.” Tepper said Wednesday that next to 1999, equities are overvalued the most he’s ever seen.It’s a notion catching on among Wall Street money managers. And it’s coming as investors start to suspect that the Federal Reserve’s support, as well as US$3 trillion in Treasury stimulus, may not be enough to compensate for soaring unemployment, a wave of bankruptcies and no end in sight to the pandemic. Managers including Bill Miller, Paul Singer and Paul Tudor Jones have all voiced doubts about markets or the economy.Such bearishness starkly contrasts with the optimism that pushed the S&P 500 Index up 26 per cent from its March low. And the warnings have caught the attention of President Donald Trump, who’s facing re-election and has seen his plans to run on a booming economy shredded by the virus. Trump attacked “so-called ‘rich guys’” in a tweet Wednesday.“You must always remember that some are betting big against it, and make a lot of money if it goes down,” Trump wrote about the stock market. “Then they go positive, get big publicity, and make it going up. They get you both ways.”When the so-called “rich guys” speak negatively about the market, you must always remember that some are betting big against it, and make a lot of money if it goes down. Then they go positive, get big publicity, and make it going up. They get you both ways. Barely legal?His criticism is unlikely to sway Wall Street professionals. The S&P 500 Index is down 3.8 per cent this week, and investors and economists are forecasting further declines amid a prolonged struggle to right the economy.Federal Reserve Chair Jerome Powell, Trump’s pick for the job, outlined a doom-laden scenario with mass bankruptcies and unemployment in a speech delivered around the same time as the president’s tweet. Powell said policymakers may have to do more to prevent long-term damage to the economy.Tepper’s comments were a change from late March, when he said he was “nibbling” at stocks, buying into companies focused on technology or hospitals and health care. Tepper, who runs the US$13-billion Appaloosa hedge fund, told CNBC on Wednesday that valuations are “nuts” for some individual stocks on the Nasdaq. He also highlighted banks and airlines as difficult areas in which to invest right now.Druckenmiller said Tuesday at the Economic Club of New York that his analysis showed liquidity that drove markets higher will soon shrink as Treasury borrowing crowds out the private economy and even overwhelms Fed purchases. The 66-year-old said he’s never seen a time when the risk of owning stocks so outweighed the potential gain.When reached by phone on Wednesday, billionaire Leon Cooperman pointed to an email he wrote in late April that predicted the government’s actions to combat the pandemic will lead to higher taxes and more regulation. He estimated the S&P 500 should be trading lower — somewhere between 2,200 to 2,800 — which suggests stocks could fall as much as 22 per cent.“I’m 77 years old and I’ve never seen this level of uncertainty,” Cooperman said in the phone interview. “This cycle is different than the other seven bear market cycles I lived through because this is the only one where we had a broad scale shut down of the economy, which I view as a mistake.”I'm 77 years old and I've never seen this level of uncertaintyCooperman warned that the longer the economy remains shut, the greater the risk of a depression.Other marquee investors also have taken more defensive stances recently. Tudor Jones, who runs Tudor Investment Corp., told clients in early May he was investing in gold and had even put a small percentage of his firm’s assets in Bitcoin as he looked for havens. Meanwhile, Carl Icahn said in late April that he wasn’t buying stocks. Instead, he was hoarding cash and shorting commercial real estate.Stock-picker Miller said in an email he’s changed his mind about the market’s prospects for the near future.“The buying opportunity I talked about on CNBC on March 18 did not last as long as I thought it would,” Miller said. “After being up about 30 per cent from the low on March 23, I would think a pause and some consolidation is in order.” He predicted the S&P 500 could fall 4 per cent or 5 per cent from its current level.A few of the more bearish hedge fund managers already sounded the alarm earlier this year. Crispin Odey told clients in a March update that “nothing is immune from the slowdown.”“By all means buy your favourite shares, I am not going to put you off,” he wrote. “But know that from here on you are now on the wrong side of history.”Singer, the founder of Elliott Management, who on Feb. 1 told his staff to prepare for quarantines, told clients in mid-April — while stocks were soaring — that the outlook for equities was dire. Global stock markets could fall 50 per cent or more from their February top, he said.It’s not just fund managers. Billionaire Mark Cuban, who is part of a group chosen by Trump last month to help advise on reopening the economy, said he agreed with Druckenmiller about equities.“Stocks are overvalued and the risk-reward isn’t there till we see a cohesive plan for testing from the government,” Cuban said in an email.Bloomberg.com"
71,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Todd White and Vildana Hajric,"Stocks are falling today as investors worry rise in China, U.S. tensions will derail rebound",U.S. and China in spat over origin of the coronavirus,-1,,-1,,5/4/2020,https://business.financialpost.com/investing/stocks-drop-on-u-s-china-tensions-pmi-shows-economies-in-freefall-in-april?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/bear.jpg,"U.S. equities followed stocks in most of the world lower, signalling the risk-off move that hit markets at the start of this month may have further to run. The dollar strengthened.All three main American equity indexes opened lower, with Delta Air Lines Inc., American Airlines Group Inc. and United Airlines Holdings Inc. among the decliners. Warren Buffett said over the weekend Berkshire Hathaway Inc. sold out of the four top U.S. airlines, opining that the business has “changed in a very major way.”Markets are also nervous about growing U.S.-China tensions about the origins of the coronavirus outbreak.The Dow Jones Industrial Average fell 142.14 points, or 0.60 per cent, at the open to 23,581.55.The S&P 500 opened lower by 15.70 points, or 0.55 per cent, at 2,815.01. The Nasdaq Composite dropped 49.63 points, or 0.58 per cent, to 8,555.32 at the opening bell.Canada’s main stock index opened lower on Monday, weighed down by escalating tensions between the United States and China regarding the origin of the novel coronavirus.The Toronto Stock Exchange’s S&P/TSX composite index was down 87.87 points, or 0.6 per cent, at 14,532.47.“When the economy gets back to normal is very uncertain right now,” Tom Essaye, a former Merrill Lynch trader who founded “The Sevens Report” newsletter, wrote in a note. “And given that uncertainty, we can expect markets to be volatile in the near term as investors try and determine when exactly that happens.”In Europe, the Stoxx Europe 600 slumped, with all 19 industry sectors in the red and Ireland’s Ryanair Holdings Plc sinking as much as 14 per cent. Euro-area bonds declined with Treasuries. West Texas oil futures dropped, halting a three-day 60 per cent rally, though they pared most of their decline.Global stocks begin the week declining for a third straight session, a streak not seen in almost two months, as U.S.-China discord flared again and President Donald Trump prodded the nation to reopen for business. Investors are weighing fears of a second wave of infections and a steady stream of bad economic data against efforts by many countries to start easing lockdown restrictions. Earnings roll on this week, with firms including Walt Disney Co., BMW, and Air France-KLM scheduled to report.In other coronavirus news, Italy began to reopen its economy after two months, but the premier’s plan was criticized for being too cautious. Russia reported more than 10,000 new infections for a second day. New Zealand had no new cases for the first time since March and Hong Kong may soon reopen cinemas and gyms.Equities in Hong Kong saw the bulk of losses in Asia, as traders caught up after a long weekend. China and Japan were closed for their own holidays. The Chinese yuan held most of Friday’s slide in offshore trading amid concern tensions with the U.S. would increase.Bloomberg.com"
72,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Claire Ballentine,So much for this week’s rally: U.S. stocks erase gain on profit warnings,'Earnings continued to be a minefield',-1,,-1,,5/1/2020,https://business.financialpost.com/investing/u-s-stocks-erase-weekly-gain-on-profit-warnings-markets-wrap?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/nyse.jpg,"U.S. stocks dropped as investors began May pondering profit warnings tied to the coronavirus and a ratcheting up of tension with China. The dollar rose as a risk-off mood prevailed.The S&P 500 Index fell almost 3 per cent, leaving it a tad lower for the week, after sobering comments from Amazon.com Inc. and Apple Inc. about the pandemic’s impact. Exxon Mobil Corp. slumped after posting its first quarterly loss in at least 32 years. The dollar posted its first increase since last week.The Dow Jones Industrial Average fell 617.09 points, or 2.53 per cent, to 23,728.63, the S&P 500 lost 81.13 points, or 2.79 per cent, to 2,831.3 and the Nasdaq Composite dropped 284.60 points, or 3.2 per cent, to 8,604.95. The TSX was down 160 point at 14,620.Equities also retreated in the U.K., one of the few open markets in Europe as other countries celebrated May Day, and the pound gave back some of this week’s gains as Prime Minister Boris Johnson pledged a “comprehensive plan” to lift the country’s lockdown, with details due next week.While the S&P 500 posted its best month since 1987 in April — spurred by a slowdown in coronavirus infections and $8 trillion in promised stimulus initiatives globally — earnings reports and economic data are serving a reminder of lasting pain. Amazon warned of a possible second-quarter loss, while Apple omitted an earnings forecast for the first time in more than a decade. Federal Reserve Bank of Dallas President Robert Kaplan warned of a “severe” contraction from the effects of coronavirus.“Earnings continued to be a minefield,” said Bryce Doty, portfolio manager at Sit Investment Associates Inc. “You don’t really know what is going to happen because there is so little clarity.”The advance in the dollar followed U.S. President Donald Trump reviving an attack on China, speculating it could have spread the coronavirus and threatening trade tariffs. Trump is exploring blocking a government retirement fund from investing in Chinese equities considered a national security risk, a person familiar with the internal deliberations said.Elsewhere, West Texas oil posted its first weekly gain in about a month as global production cuts began to take effect.Stocks slumped in Tokyo and Sydney. Most Asian markets didn’t trade.Bloomberg.com"
78,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Divya Balji,Shopify pushes past TD to become Canada's second-biggest stock,"Shopify's shares jumped as much as 7.8 per cent, pushing its market value over the $100 billion mark",1,,1,,4/20/2020,https://business.financialpost.com/investing/shopify-becomes-canadas-second-biggest-stock,https://financialpostcom.files.wordpress.com/2020/04/shopify-3.jpg,"Shopify Inc. skyrocketed again Monday, putting it in a tight race with one of Canada’s largest banks to become the second-most valuable company on the nation’s stock market.The e-commerce company’s shares jumped as much as 7.8 per cent, pushing its market value over the $100 billion (US$71 billion) mark. Toronto-Dominion Bank, which was second to Royal Bank of Canada on Friday, has a market cap of about $101.6 billion.Investors piled into the tech stock last week after its Chief Technology Officer Jean-Michel Lemieux said the Ottawa-based company was seeing U.S. Black Friday-type of traffic as it brings “thousands” of businesses online during the COVID-19 pandemic.Chief Executive Office Tobi Lutke said Monday he wasn’t watching the move.“I never look or care about stock price,” Lutke said in a Twitter post. “I work on the real market value of the company. Totally different.”i never look or care about stock price. I work on the real market value of the company. Totally different.Shopify has jumped for an eighth straight day, its longest winning streak since 2017. It’s the best performing stock on the S&P/TSX Composite Index this year, making it more valuable than Brookfield Asset Management Inc., pipeline giant Enbridge Inc., Canadian National Railway Co. and Bank of Nova Scotia.“Despite the likely overall negative impact on discretionary retail from the pandemic, with so much physical commerce closed, Shopify merchants should be able to take share during this period, even if of a smaller pie,” said Wedbush analyst Ygal Arounian said in a report published Monday.Still the analyst added the shares were already pricing in both short and long-term benefits from the pandemic.Shopify will begin providing cash advances directly to online merchants in Canada, chief operating officer Harley Finkelstein said in an interview with the Financial Post. Previously, Shopify Capital was only available in the U.S. and U.K.Bloomberg.com"
81,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Jacqueline Thorpe,Shopify just leapfrogged Brookfield to become the third-largest company in Canada,Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily,1,,1,,4/17/2020,https://business.financialpost.com/investing/shopify-surges-after-cto-touts-black-friday-level-traffic?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/shopify-1.jpg,"A furious rally in Shopify Inc. has vaulted the e-commerce retailer to the third-largest company in Canada — underscoring the value of the virtual world in the time of the coronavirus.Shopify soared as much as 10 per cent to a record on Friday after its Chief Technology Officer Jean-Michel Lemieux said in a tweet that the Ottawa-based company was handling “Black Friday level traffic every day!” as it brings “thousands” of businesses online.The move extended a seven-day surge to almost 50 per cent, giving it a market value of about $92 billion (US$66 billion) and making it the best-performing stock on the S&P/TSX Composite index so far this year. That put Shopify, which provides tools for companies to sell over the internet, behind only Royal Bank of Canada and Toronto-Dominion Bank as the biggest companies in Canada’s stock market.After downgrading the stock earlier this month, Raymond James analyst Brian Peterson said he was “dead wrong” as Shopify’s stock has gone “parabolic” since then.“What we seemingly missed in this dynamic is how quickly COVID-19 may push new merchants to the Shopify Platform,” he said in a report published Friday. “Many businesses needed to establish an ecommerce presence, and SHOP was the primary beneficiary of that.” He has a market perform rating on Shopify.Investors now see more value in Shopify than Canadian companies that have been around for decades: Brookfield Asset Management Inc. with its billions of dollars worth of real estate, infrastructure and renewable power across the world, as well as pipeline giant Enbridge Inc., Canadian National Railway Co. and Bank of Nova Scotia.With more consumers shifting online, Shopify is getting a leg up while the value of retail malls and office towers are being questioned, even in a post-viral world.Bloomberg.com"
82,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Todd White,Stocks surge higher on report that Gilead drug is helping COVID-19 patients,The week is ending on an upbeat note after the White House set guidelines to reopen the economy,1,,1,,4/17/2020,https://business.financialpost.com/investing/futures-jump-with-stocks-amid-u-s-reopening-plans-markets-wrap?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/gilead.jpg,"U.S. stocks jumped on Friday following President Donald Trump’s new guidelines to reopen the economy and on a report of a drug to potentially treat COVID-19, while Boeing headed higher on plans to resume production.The Dow Jones Industrial Average rose 279.47 points, or 1.19 per cent, at the open to 23,817.15. The S&P 500 opened higher by 42.88 points, or 1.53 per cent, at 2,842.43, while the Nasdaq Composite gained 135.12 points, or 1.58 per cent, to 8,667.48 at the opening bell.Canada’s main stock index also rose. The Toronto Stock Exchange’s S&P/TSX composite index was up 235.86 points, or 1.7 per cent, at 14,135.18.The week is ending on an upbeat note after the White House set guidelines to reopen the economy regardless of whether widespread testing will be available. The president is under pressure, with 22 million Americans applying for jobless benefits in a month, erasing a decade worth of job creation. At the same time, infection surged in Russia, Germany and Singapore, while China conceded it had 40 per cent more deaths than previously reported.“The market is a bit optimistic right now,” David Bailin, chief investment officer at Citi Private Bank, said on Bloomberg TV. “Ultimately we have to have really great coordination in order to see any real improvement in the economy.”Traders largely shrugged off data showing China’s gross domestic product shrank 6.8 per cent in the first quarter from a year ago, the worst performance since at least 1992 and below the consensus forecast of a 6 per cent drop. The yuan rose offshore along with Chinese shares.Elsewhere, the Australian dollar climbed. Shares rallied in India as the central bank pledged to boost liquidity and expand bank credit.With files from ReutersBloomberg.com"
97,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Saleha Mohsin,"U.S. plans to keep markets open, but considering shorter trading hours",Top regulators and executives of exchange firms have come out in favour of keeping markets open,0,,0,,3/17/2020,https://business.financialpost.com/investing/u-s-plans-to-keep-markets-open-but-considering-shorter-trading-hours,https://financialpostcom.files.wordpress.com/2020/03/trader-11.jpg,"The Trump administration plans to keep U.S. stock markets open despite volatility, though trading hours may be shortened, Treasury Secretary Steven Mnuchin said.“We absolutely believe in keeping the markets open,” Mnuchin said at a Tuesday news conference at the White House. “Americans need to know they have access to their money.”Mnuchin said he has spoken to banks and the New York Stock Exchange, and they agree on the need to keep markets operating.Wild swings in equity markets and thousands in the financial industry working from home have led to questions about whether stock exchanges should remain open. But top regulators and executives of exchange firms have come out in favour of keeping markets open.U.S. indexes climbed on Tuesday, a day after declines triggered circuit breakers that halted trading before the major indexes plunged to their biggest drop since 1987.Jim Toes, chief executive officer of the Security Traders Association, an industry group, said on Tuesday that markets need to remain open to “deal with the economy.”“They can’t close the markets,” Toes said. “They’re functioning, they’re working. Unless something breaks, why?”Spokespeople for the Securities and Exchange Commission, the Commodity Futures Trading Commission and the Financial Industry Regulatory Authority — the main U.S. market regulators — didn’t immediately respond to e-mailed requests for comment on Mnuchin’s remarks.They can't close the markets. They're functioning, they're working. Unless something breaks, why?SEC Chairman Jay Clayton said Monday that stock markets should continue to operate. Clayton said the current environment differs from previous market shocks, such as the 2008 credit crisis or the terrorist attacks of September 11, 2001, partly because of steps that have been taken to bolster the financial industry since then.“I think our banks are in a much stronger position today than they were then,” Clayton said on CNBC. “This is a demand and supply shock,” he said, adding that he’s concerned businesses might not have access to all the credit they need.Exchanges have largely held up amid surges in volume. That has helped most exchange operators’ stocks outperform the broader market amid the declines.In a Bloomberg Television interview, Nasdaq Inc. CEO Adena Friedman said trading should continue for the sake of investors and to allow companies to raise needed capital. Closing the markets could “create other pent-up issues,” she said in an interview with Bloomberg’s Erik Schatzker.Terrence Duffy, the CEO of CME Group Inc., the world’s largest futures exchange, said Monday on Bloomberg Television that shutting markets could be “a very large mistake.”“This is not a financial crisis,” Duffy said. “This is a medical crisis.”Closing markets would create more market anxiety, said Stacey Cunningham, president of the New York Stock Exchange, in a tweet on Monday.Bloomberg.com"
4,Bloomberg News,Michael Bellusci,Another 10% plunge sends Canada stocks to lowest since 2016,Canadian stocks plunged about 10 per cent as measures to curb the spread of the coronavirus only intensified concerns the economy is heading into a recession.,-1,,-1,,3/16/2020,https://www.bnnbloomberg.ca/another-10-plunge-sends-canada-stocks-to-lowest-since-2016-1.1406777,,"Canadian stocks plunged about 10 per cent as measures to curb the spread of the coronavirus only intensified concerns the economy is heading into a recession. 
 Prime Minister Justin Trudeau said the government will restrict the entry of all non-residents into Canada except Americans, while U.S. President Donald Trump urged social distancing and schools and restaurant services across North American will shut down to fight the pandemic. 
 The S&P/TSX Composite Index dropped 9.9 per cent to the lowest level since February, 2016, bringing its losses to 31 per cent from the Feb. 20 peak. U.S. stocks plunged the most since 1987 after Trump warned the economic disruption from the virus could last into summer. 
 Ten of eleven sectors fell on the Canada benchmark, while materials closed in the green. Air Canada, shares fell 28 per cent today alone on the government travel ban and is now down 62 per cent this year. 
 Dramatic rate cuts from global central banks, including the Fed on Sunday and the Bank of Canada on Friday, appear to have done little to calm investors who see global growth virtually grinding to a halt. Royal Bank of Canada was the first to cut its prime rate to 2.95 per cent from 3.45 per cent, matching the Canadian central bank’s cut. 
 Oil’s spectacular collapse deepened, with West Texas Intermediate futures settling under US$29 per barrel in New York as widening global efforts to fight the spread of the coronavirus looked set to trigger the most severe contraction in annual demand in history. 
 Gold extended losses after its worst week in almost four decades, with investors “selling whatever they can” as the widening economic impact of the coronavirus spurred panic across markets. Gold and silver equities however, defied slumps in their respective commodities, led by a jump in levered ETFs, which saw massive weakness and volatility last week. 
 The Bank of Canada will likely take the overnight rate to 0.25 per cent from 0.75 per cent ahead of the next scheduled decision on April 15, according economists from Bloomberg Intelligence. 
 Given the extent of pandemic-driven unknowns, the central bank may want to pull a page from the Fed’s emergency playbook and jettison the forecasting exercise over the near term. 
 “We continue to recommend investors refrain from buying the dips, and carrying above-average exposure to gold equities, even amid recent weakness in the commodity,” Canadian Imperial Bank of Commerce portfolio strategists including Ian de Verteuil wrote in a note to clients early Monday. 
 CIBC is among banks calling for a recession this year domestically along with in the United States. Royal Bank of Canada thinks the country will fall into a recession this year after taking a double hit from falling oil prices and the global impact of coronavirus on economic activity. Meanwhile, Bank of America said Friday Canada will experience negative GDP growth during the second and third quarters of this year."
113,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Kristine Owram and Michael Bellusci,TSX snaps six-day losing streak as global stocks rally on central bank hopes,Boost comes from news that finance ministers and bankers to hold teleconference on coronavirus response Tuesday,1,,1,,3/2/2020,https://business.financialpost.com/investing/rate-cut-hopes-fuel-tentative-rebound-in-canadian-stocks?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/tsx.jpg,"Canadian stocks clawed their way into the green, snapping a six-day losing streak as expectations mounted central banks would cut interest rates to flight the growing impact of the coronavirus.The S&P/TSX Composite Index rose about 0.8 per cent to 16,382.02 at 11:21 a.m. in Toronto, buoyed by gains in telcos, utilities and real estate. BCE Inc. gained about 1.1 per cent and Brookfield Renewable Partners added 3.3 per cent. Energy stocks fell despite oil rebounding from its worst week since 2008.The S&P 500 pushed to session highs after news that Group of Seven finance ministers and bankers plan to hold a teleconference Tuesday to discuss how to respond to the outbreak. Tech shares led gains after central banks from Japan to England earlier joined the Federal Reserve in promising action as warranted. The two-year Treasury yield sank through its 2016 lows and 10-year rates fell below 1.10 per cent. Oil rallied on expectations that the OPEC+ alliance will deepen output cuts.You can't turn off the second largest economy in the world, the fastest growing one, and not have some ramificationGroup of Seven finance ministers plan to hold a teleconference on Tuesday to discuss their response to the threat posed by the outbreak, according to people familiar with the matter, who spoke on condition of anonymity. The nations’ central bankers will also join the call. Meanwhile speculation is growing the Bank of Canada will cut interest rates at its announcement on Wednesday, and perhaps by 50 basis points.“You can’t turn off the second largest economy in the world, the fastest growing one, and not have some ramification,” John Zechner, president of J. Zechner Associates in Toronto. Positioning in the market was very bullish, so when the virus began to spread and earnings warnings came, the market started to experience some impact, he said.Zechner said he’s been net short the company’s hedge fund for a while, with valuations high and driven by a low-interest rate environment. However, he said he did some buying this morning.Meanwhile, there’s “still too many bulls” in the market, National Bank of Canada’s technical analyst Dennis Mark said in a note to clients. “Strong downside momentum in this market suggests that it will take time to exhaust and play out.”The rally follows an 8.9 per cent drop in the benchmark last week, marking the worst week for Canadian stocks since the financial crisis in late 2008. Bloomberg.com"
115,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Aoyon Ashraf,TSX ready for opening bell after early close yesterday over technical issue,Heavy selling may have contributed to the technical problem,0,,0,,2/28/2020,https://business.financialpost.com/investing/canada-stock-bourse-says-ready-for-friday-open-after-early-close,https://financialpostcom.files.wordpress.com/2020/02/tsx-1.jpg,"Canada’s main stock exchanges said all systems are ready for the start of business on Friday after halting trading for hours due to a technical issue.The Toronto Stock Exchange said interruption was caused by a system capacity issue within the messaging technology component of TMX Group Ltd.’s trading engine. The bourse said it has undertaken necessary measures to mitigate the risk of recurrence and that the incident was not the result of a cyber-security attack.Exchanges operated by TMX stopped trading shortly before 2 p.m. Eastern time Thursday and did not re-open. The S&P/TSX Composite Index was down 1.9 per cent at the time. Major U.S. benchmarks dropped more than 4 per cent after falling sharply in the last hour of trading.TMX Group will be left with a “black eye,” Thomas Caldwell, chairman of Caldwell Securities Ltd. and chairman of the rival Canadian Securities Exchange, said in a phone interview. “It’s a terrible thing to happen, particularly in a cataclysmic market that we’re currently experiencing this week that people either want to trade, need to trade, want to get out or want to get in.”Toronto-based TMX had said in a series of tweets that clients were not able to enter, modify or cancel any open orders on the Toronto Stock Exchange or the TSX Venture and TSX Alpha exchanges. At about 3:20 p.m. the company said its markets would remain closed for the rest of the day, leaving traders scrambling for alternatives. The three exchanges had seen 660 million shares traded up to that point, according to TMX Group’s website.High VolumeThe halt comes in the midst of a week-long dive in global markets as anxiety over the spread of the coronavirus weighs on equities. Heavy selling may have contributed to the technical problem.In the first three days of the week, investors traded an average of 305 million shares a day in TSX Composite stocks, according to Bloomberg data. That is 41 per cent higher than the average daily volume in the three months ended Feb. 26.“I don’t know the inside of what happened at the TSX. What I can tell you is in the last couple of days we have seen a substantial increase in order flow, in our market also,” said Jos Schmitt, President and Chief Executive Officer of Aequitas NEO Exchange Inc., a competing exchange in Toronto. Schmitt made the comments in an interview on BNN Bloomberg television.TMX Group had also halted trading in all equity derivatives on the Montreal Exchange.To be sure, Canadian traders have the ability to divert some of their trades to rival exchanges such as Nasdaq Inc. and NEO Exchange. “Volume does, when it can, move away from our primary market, the TSX, into alternative markets and they can trade,” Diana Avigdor, head of trading at Barometer Capital Management, said on BNN Bloomberg. Volumes can decline due to technical issues “but it’s not impossible to trade,” she added.TMX Group has been hit by outages before. In April 2018, the TSX and its derivatives market shut down for more than two hours on a Friday afternoon. TMX said that failure was the result of a defective storage module.Caldwell said he thinks the event will raise hard questions for TMX Group. “Rest assured the commission are not going to give them a pass on this,” he said, referring to the Ontario Securities Commission. TMX will likely be asked what measures are being put in place so it doesn’t happen again, he added. Bloomberg.com"
