,source,author,title,description,title_desc_sent_1,sent_1_note,title_desc_sent_2,sent_2_note,publishedAt,url,urlToImage,content
0,Bloomberg News,Katia Dmitrieva,"Goldman Sachs now sees U.S. jobless rate peaking at 25%, not 15%","Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic.",,,,,2020-05-13,https://www.bnnbloomberg.ca/goldman-sachs-now-sees-u-s-jobless-rate-peaking-at-25-not-15-1.1435930,,"Goldman Sachs Group Inc. economists revised their forecasts to reflect a gloomier outlook for the U.S. labor market, though also the potential for a faster recovery from the coronavirus pandemic. 
 Analysts David Mericle and Ronnie Walker estimate that the unemployment rate will peak at 25 per cent, up from a previous forecast of 15 per cent, as “more workers will lose their jobs and a larger share of them will be classiﬁed as unemployed,” according to a research note late Tuesday. The rate would then remain near 10 per cent at year-end, near the highs of the last recession, they wrote. 
 Goldman Sachs revised the figures following last week’s monthly jobs report showing a record contraction in payrolls in April and a 14.7 per cent unemployment rate, the highest since the Great Depression era. A jobless rate of 25 per cent would be in line with estimates of the peak during the Depression. 
 Despite expectations for a bigger hit to the labor market, the analysts see relief in sight for the world’s largest economy, as some indicators point to a slow resumption of activity and companies are starting to ease back to business. Reopening still presents one of the largest risks, though, with second waves of infections possible along with a renewed tightening of restrictions, they said. 
 The new forecast also includes a deeper hit to quarterly gross domestic product, with an annualized second-quarter decline of 39 per cent instead of 34 per cent. 
 But the recovery is also seen as faster than before with a 29 per cent gain in the third quarter, suggesting a more “V-shaped” or immediate recovery path for the economy. They had previously estimated a 19 per cent jump. 
"
22,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Matthew Boesler and Craig Torres,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,,,,,2020-05-13,https://business.financialpost.com/news/economy/powell-says-virus-poses-lasting-harm-more-may-need-to-be-done,https://financialpostcom.files.wordpress.com/2020/05/jerome-powell.jpg,"The U.S. economy faces unprecedented downside risks that could do lasting damage to households and businesses if fiscal and monetary policy makers don’t rise to the challenge, Federal Reserve Chair Jerome Powell said.“The recovery may take some time to gather momentum, and the passage of time can turn liquidity problems into solvency problems,” Powell said Wednesday in remarks prepared for a virtual event hosted by the Peterson Institute for International Economics in Washington. “Additional fiscal support could be costly, but worth it if it helps avoid long-term economic damage and leaves us with a stronger recovery.”Powell and his colleagues on the policy-setting Federal Open Market Committee have taken dramatic measures to shelter the U.S. economy during the coronavirus pandemic. They have cut their benchmark interest rate to nearly zero, engaged in open-ended bond buying and begun rolling out emergency lending programs as U.S. unemployment has soared to levels not seen since the 1930s Great Depression.Treasury yields and the Bloomberg dollar index fell to their lows of the day following the release of Powell’s prepared remarks, while S&P 500 futures pared their gains.Almost 40 per cent of Americans in households making less than US$40,000 a year had lost a job in MarchThe Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment while asserting that policy makers may have to do more to prevent it from coming to pass. He said the Fed would publish a survey Thursday showing almost 40 per cent of Americans in households making less than US$40,000 a year had lost a job in March.“Long stretches of unemployment can damage or end workers’ careers as their skills lose value and professional networks dry up, and leave families in greater debt,” Powell said. “The loss of thousands of small- and medium-sized businesses across the country would destroy the life’s work and family legacy of many business and community leaders and limit the strength of the recovery when it comes.”While the economic response has been both timely and appropriately large, it may not be the final chapter, given that the path ahead is both highly uncertain and subject to significant downside risksCongressional lawmakers and President Donald Trump’s administration have passed almost US$3 trillion in economic relief measures, including US$454 billion to serve as a backstop for the central bank’s emergency programs. Democrats and Republicans are currently talking about another round of aid, including measures to shore up state and local governments whose tax revenues have been decimated by stay-at-home orders that have shuttered entire sectors of the economy.“While the economic response has been both timely and appropriately large, it may not be the final chapter, given that the path ahead is both highly uncertain and subject to significant downside risks,” Powell said.In an unprecedented step, the Fed this week also began buying exchange-traded funds invested in corporate debt to support liquidity in the market where large companies borrow.Powell added that the central bank would “continue to use our tools to their fullest until the crisis has passed and the economic recovery is well under way,” but cautioned that it could only make loans and not spend money.“When this crisis is behind us, we will put these emergency tools away,” he said.Bloomberg.com"
23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Rita Nazareth,Stocks tumble after double whammy of warnings from Fauci and Fed over pandemic economy,Central bank officials cited risk of the potential for massive bankruptcies that could create a lasting scar,,,,,2020-05-12,https://business.financialpost.com/investing/european-stocks-gain-while-u-s-futures-edge-lower-markets-wrap?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/05/fearless-girl.jpg,"Stocks tumbled after a U.S. official warned against a premature reopening of the economy amid a dire outlook from Federal Reserve regional chiefs. Treasuries and the dollar climbed.The S&P 500 extended losses as Anthony Fauci, the nation’s top infectious disease official, said states reopening too quickly could “set you back on the road on trying to get economic recovery.” Traders also assessed comments from central bank officials, who cited the risk of potential of massive bankruptcies that could create a lasting scar. The Fed could curtail Wall Street banks’ ability to pay dividends by cranking up the amount of capital they need to maintain due to the coronavirus crisis, Governor Randal Quarles said Tuesday.“You will get business failures on a grand scale and you will be taking risks that you would go into depression” if shutdowns persist, Federal Reserve Bank of St. Louis President James Bullard said in a video speech from that city Tuesday. Minneapolis Fed President Neel Kashkari warned of a “gradual, muted recovery” from the outbreak, while Dallas Fed President Robert Kaplan said the economy will need more fiscal stimulus if the jobless rate continues to rise.Wall Street’s three major averages closed around their session lows. The Dow Jones Industrial Average fell 457.21 points, or 1.89 per cent, to 23,764.78, the S&P 500 lost 60.2 points, or 2.05 per cent, to 2,870.12 and the Nasdaq Composite dropped 189.79 points, or 2.06 per cent, to 9,002.55. The TSX was down 222 points at 14,881.The disastrous fallout of business closures and stay-at-home orders caused an unprecedented 20.5 million job losses in April, tripling the unemployment rate to 14.7 per cent, the highest since the Great Depression era of the 1930s. A key measure of U.S. consumer prices declined last month by the most on record. A sustained trend of declining prices would spur worries about deflation, exacerbating concern that the recovery from the deep economic downturn will be very slow.Buyers of U.S. stocks after the economy shrank in the first quarter have history on their side, according to Keith Lerner, chief market strategist at SunTrust Private Wealth Management. Gross domestic product contracted at an annual rate of 4.8 per cent, marking the 13th quarterly decline of more than 4 per cent since 1949, according to data compiled by Bloomberg. After each previous instance, the S&P 500 gained more than 10 per cent during the next 12 months.Bloomberg.com"
36,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Grant Smith, Javier Blas and Salma El Wardany",Oil price war ends with historic OPEC+ deal for biggest output cut ever of 9.7 million barrels a day,The question now for the oil market is whether the cuts will be enough to throw a floor under prices as demand for energy craters,,,,,2020-04-12,https://business.financialpost.com/commodities/energy/opec-agrees-largest-ever-oil-output-cut-of-9-7-mln-bpd-sources?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/opec-1.jpg,"The world’s top oil producers pulled off a historic deal to cut global crude output and put an end to a devastating price war.After a week-long marathon of bilateral talks and four days of video conferences with government ministers from around the world, an agreement finally emerged to tackle the impact of the global pandemic on demand.The talks almost fell apart because of resistance from Mexico, but came back from the brink after a weekend of urgent diplomacy — with the clock ticking down to the market open.OPEC+ will cut 9.7 million barrels a day — just below the initial plan of 10 million. Mexico appeared to have won a diplomatic victory as it will only be required to cut 100,000 barrels — less than its pro-rated share.With the virus paralyzing air and ground travel, demand for gasoline is collapsing and crude prices have plunged to 18-year lows. That threatened the future of the U.S. shale industry and the stability of oil-dependent states, while piling more challenges onto central banks fighting the fallout from the pandemic.The question now for the oil market is whether the cuts will be enough to throw a floor under prices as demand for energy craters. With countries around the world extending their lockdowns, the death toll mounting in New York, and unemployment exploding in America, the oil market is now far more worried about consumption than supply. OPEC itself acknowledged the challenge, with its chief warning ministers demand fundamentals were “horrifying.”West Texas Intermediate crude plunged more than 9 per cent on Thursday as traders anticipated the cuts wouldn’t go far enough. Oil markets were closed on Friday for Easter.For the deal to be clinched, U.S. President Donald Trump had to intervene, after Mexican President Andres Manuel Lopez Obrador, a leftwing populist who has pledged to bolster Mexico’s oil-production prowess, balked at the terms. Bilateral talks between Saudi Arabia and Mexico continued through the weekend.OPEC+ was also seeking 5 million barrels a day of output reductions from producers in the Group of 20. The group, however, didn’t mention any curbs in its communique following a meeting on Friday, only saying it would take measures to ensure stability.Bloomberg.com"
37,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Claire Ballentine,TSX see biggest weekly gain since 2009 on Fed aid,U.S. stocks posted the biggest weekly gain since 1974,,,,,2020-04-09,https://business.financialpost.com/investing/stocks-gain-after-fed-steps-up-help-oil-gains-markets-wrap?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/tsx-1.jpg,"U.S. stocks posted the biggest weekly gain since 1974 as investors looked past staggering jobless numbers when the Federal Reserve released new measures to cushion the fallout from the coronavirus. Oil fell as investors saw a supply-curb proposal as insufficient.The S&P 500 Index rallied for the third time in four days, bringing this week’s increase to 12 per cent. The Fed announced another series of sweeping steps to provide as much as US$2.3 trillion in additional aid just as data showed the number of claims for unemployment benefits surged for a third week. Anthony Fauci, director of the U.S. National Institute of Allergy and Infectious Diseases, said U.S. fatalities from COVID-19 may be far fewer than earlier projections.Canada’s main stock index ended its best week in more than a decade as a massive intervention by the U.S. Federal Reserve offset weak employment numbers on both sides of the border.The S&P/TSX composite index closed up 240.92 points at 14,166.63, the highest closing in nearly a month. Markets are closed for Good Friday.In New York, the Dow Jones industrial average was up 285.80 points at 23,719,37. The S&P 500 index was up 39.84 points at 2,789.82, while the Nasdaq composite was up 62.67 points at 8,153.58.“The Fed news is really bullish (along with global fiscal news) if we have confidence on ways to deal with the COVID bounce-back and ultimate vaccine solution,” said Dennis DeBusschere, head of portfolio strategy at Evercore ISI. “So positive outcomes on that front lead to fair value estimates going up, improving the risk reward from this level.”Oil slipped, reversing earlier gains, as investors saw OPEC+ supply-curb proposal as insufficient to offset estimates for demand destruction from the Covid-19 outbreak. The producer group, which includes Saudi Arabia and Russia, is set to cut 10 million barrels a day of its oil output for two months.Fed Chairman Jerome Powell reiterated that the U.S. central bank was committed to using all its powers to help the country recover.The Fed will wade into the municipal-bond market to an unprecedented degree, can now purchase “fallen angel” bonds from companies that have recently lost their investment-grade ratings, and has expanded its Term Asset-Backed Securities Loan Facility to include top-rated commercial mortgage-backed securities and collateralized loan obligations.The surprise pledge from the Fed to buy recently downgraded corporate bonds boosted some of the biggest ETFs tracking the securities. The US$14.8 billion iShares iBoxx High Yield Corporate Bond ETF surged the most since January 2009.Gold closed at the highest since late 2012 as investors sought insurance against the possibility of further economic slowing.Elsewhere, the Stoxx Europe 600 Index rose. Government bonds in the region gained amid reports that Italy, Spain and the U.K. may extend lockdowns to combat the coronavirus outbreak. Most Asian stocks rose, though Japanese shares retreated.Bloomberg.com"
43,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vildana Hajric and Jeremy Herron,Stocks suffer weekly loss after dismal jobs report,'A lot of the bad news is already built into the market',,,,,2020-04-02,https://business.financialpost.com/investing/asian-stocks-set-to-open-higher-oil-surges-markets-wrap?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/04/stocks.jpg,"U.S. stocks slumped for the week and the dollar gained after a plunge in hiring last month hinted at the extent of the pandemic’s toll on the world’s largest economy. Oil rallied on expected output curbs.The S&P 500 fell for the third time in four days as investors digested the abysmal jobs report that captured data in the period largely before government-mandated shutdowns went into widespread effect. As with record claims for unemployment, the latest numbers bear little information on the current state of the economy, making it difficult for investors to value financial assets.“No one has ever experienced anything like this,” Bruce Bittles, chief investment strategist at Baird, said by phone. “We’re getting the shock numbers out and the markets tend to front-run bad news. In other words, a lot of the bad news is already built into the market.”The S&P 500 fell 2.1 per cent for the week, largely holding a rally that propelled it 18 per cent higher in three days last week. That came after the fastest 30 per cent plunge on record as the pandemic forced the economy into a virtual standstill. While volatility has eased somewhat, stocks are still regularly notching daily moves that until recently would have been considered huge.Oil surged following reports large producers are ready to cut output. Crude jumped another 13 per cent Friday after a record jump on news the OPEC+ coalition will hold a virtual meeting on Monday and that Russia is ready to cut production. Trump held a meeting with U.S. energy company executives Friday.In Europe, data showing an unprecedented slump in the region’s economy last month pushed the Stoxx 600 Index lower, though it also trimmed its retreat. Asian equities saw modest losses in most markets to cap a third weekly decline in four. The yen weakened alongside the euro, pound and Swiss franc. Treasuries drifted.With lockdowns for many economies around the world expected to go on for longer, data are showing the severity of the impact. Nearly 10 million people in the U.S. have lost their jobs in the past two weeks, while the virus continues to pressure corporate balance sheets. American Airlines Group Inc. will slash international flying as far out as the end of August as the pandemic batters travel demand through the normally busy summer season.“We are not going to have the real recovery in the market until what we think is the peak in the amount of infections and deaths,” Stephen Dover, head of equities at Franklin Templeton, said on Bloomberg TV. “We are going to continue to have very wide volatility until we can get over this uncertainty.”Bloomberg.com"
49,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Josh Wingrove, Laura Litvan and Steven T. Dennis","White House, senators strike deal on America's biggest rescue package ever — $2 trillion in spending and tax breaks","Spending, including direct payments to individuals, dwarfs the $800 billion Obama stimulus that passed five months after the 2008 financial crash",,,,,2020-03-25,https://business.financialpost.com/news/economy/white-house-senators-strike-deal-on-massive-stimulus-package,https://financialpostcom.files.wordpress.com/2020/03/washington.jpg,"The Trump administration struck a deal with Senate Democrats and Republicans on an historic rescue package that tees up more than US$2 trillion in spending and tax breaks to bolster the hobbled U.S. economy and fund a nationwide effort to stem the coronavirus.“At last we have a deal,” Senate Majority Leader Mitch McConnell said early Wednesday on the chamber’s floor. “I’m thrilled that we’re finally going to deliver to the country.”Senate Democratic leader Chuck Schumer called it an “outstanding agreement.”The legislation was still being drafted but McConnell said the Senate would vote on it Wednesday. It would still have to pass in the House before it gets to President Donald Trump’s desk. House Speaker Nancy Pelosi had consulted with Schumer throughout his negotiations with Treasury Secretary Steven Mnuchin.The plan includes about US$500 billion that can be used to back loans and assistance to companies, including US$50 billion for loans to U.S. airlines, as well as state and local governments. It also has more than US$350 billion to aid small businesses. Then there is US$150 billion for hospitals and other health-care providers for equipment and supplies.For individuals the package provides direct payments to lower- and middle-income Americans of US$1,200 for each adult, as well as US$500 for each child. Unemployment insurance would be extended to four months, the benefits would be bolstered by US$600 weekly and eligibility would be expanded to cover more workers.Democrats demanded and won a series of restraints on corporations that would benefit from loans or investments from the Treasury Department, as well as an oversight mechanism for who gets money.Any company receiving a government loan would be subject to a ban on stock buybacks through the term of the loan plus one additional year. They also would have to limit executive bonuses and take steps to protect workers. The Treasury Department would have to disclose the terms of loans or other aid to companies and a new Treasury inspector general would oversee the lending program.Notably, Democrats won language that would bar any business owned by Trump or his family from getting loans from Treasury. Businesses owned by members of Congress, heads of executive departments and Vice President Mike Pence also would be blocked.With the prospect that Congress was closing in on a deal Tuesday, the Dow Jones Industrial Average rose more than 11% in its biggest advance since 1933, and the S&P 500 rebounded with the biggest one-day gain since October 2008 after starting the week with a rout. In Asia markets, U.S. futures pared early losses after news of the deal.In a letter to his fellow Democrats, Schumer highlighted a series of transparency measures that would prevent keeping loans secret and create a new inspector general to oversee the program.Schumer also said that hundreds of billions would be spent on Democratic priorities, including the expansion of unemployment benefits, money for hospitals as well as more funding for cities and transportation.Democrats also rejected the US$3 billion sought by the Trump administration to buy oil to fill the Strategic Petroleum Reserve.Pelosi said on Tuesday that the House could quickly approve a Senate-passed coronavirus stimulus with a voice vote that doesn’t require members to travel to Washington — as long as the bill does not have any “poison pills” Democrats object to.That would also require the unanimous consent of all House Republicans. The second-ranking House Republican, Representative Steve Scalise of Louisiana, told his vote-counting team during a conference call Tuesday night that the best option is to accept a Senate-passed economic stimulus bill, according to Scalise spokeswoman Lauren Fine.Eric Ueland, the White House legislative affairs director, said after the agreement was reached that the “the president and his team look forward to swift action for urgently needed assistance to the American people and powerful aid to the nation’s economy as we work through this crisis.”The size of the stimulus package is unprecedented, dwarfing the approximately US$800 billion Obama stimulus that passed five months after the 2008 financial crash.Together with Fed intervention, the proposed legislation amounted to a US$6 trillion stimulus, according to White House economic adviser Larry Kudlow, or about 30% of annual GDP.The package will likely more than double a U.S budget deficit that was already set to hit US$1 trillion this year before the outbreak. It also may not be the last infusion of government spending in response to the spread of the virus.Lawmakers universally expressed a sense of urgency as the nation’s economy deteriorates and the health outlook grows more dire. The World Health Organization said the U.S. has the potential to become the new epicenter of the global pandemic as the number of known infections soars.The proposal is the third — and biggest — plan by Congress to confront the coronavirus crisis as the disease spreads.An initial US$8 billion plan passed by Congress March 5 is funding emergency health care needs stemming from the coronavirus, and a second plan enacted last week will provide many Americans with paid sick leave, food assistance and free coronavirus testing. It also will send tens of billions in fresh aid to states.Bloomberg.com"
5,Bloomberg News,Kait Bolongaro,"Canada received over 500,000 EI applications this week","Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",,,,,2020-03-20,https://www.bnnbloomberg.ca/canada-received-over-500-000-ei-applications-this-week-1.1409633,,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession. 
 Speaking outside his residence in Ottawa, Trudeau said Service Canada has received more than 500,000 applications this week, 20 times the number recorded in the same week a year ago. The Minister of Families, Children and Social Development’s office confirmed Trudeau was referring to applications for unemployment insurance. 
 The speed of the meltdown in the labor market has no precedent. The largest number of jobless claims for a whole month was 499,200 in 1957, according to Statistics Canada data. 
 “This is of course an unprecedented situation and it is putting a lot of pressure on our system but we’re on it,” Trudeau told reporters Friday at Rideau Cottage, where he is governing from home after his wife tested positive for coronavirus. 
 The number highlights just how quickly economic activity has come to a halt as Canadians stay home and governments tell businesses to close to control the spread of the coronavirus pandemic. It also indicates the depth of the contraction may be worse than even the most pessimistic analysts had feared. 
 ‘Depression of 2020’ 
 “There are going to be large contractions in economic activity, that’s unavoidable when you’re shutting down portions of the economy,” said Beata Caranci, chief economist at Toronto Dominion Bank. “What you’re ultimately hoping for is you don’t get the negative dynamic on duration.” 
 In Canada’s case, the economy is facing a double whammy of the pandemic and tanking oil prices, devastating an energy sector that still accounts for about one-tenth of output. 
 “This is going to be the depression of 2020,” said David Rosenberg, founder of Rosenberg Research and Associates Inc. 
 The extent of the slowdown also suggests policy makers will need to have a bigger response to keep companies afloat and avoid a long downturn, Rosenberg said. Trudeau’s government has announced an aid package worth CUS$82 billion (US$57 billion), which is mostly temporary tax deferrals. The Bank of Canada has cut its policy rate by a full percentage point, but still has its benchmark above other countries. 
 “It’s one thing to have everybody filing for claims but if they have no job to go back to, it’s going to compound things,” he said. 
   
"
57,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Craig Torres,Fed cuts rate half point over coronavirus in first emergency move since the financial crisis,Decision to cut rates before scheduled meeting reflects the urgency Fed feels to fend off threat of coronavirus,,,,,2020-03-03,https://business.financialpost.com/news/economy/in-an-emergency-move-u-s-federal-reserve-cuts-interest-rates-to-battle-coronavirus-2?video_autoplay=true,https://financialpostcom.files.wordpress.com/2020/03/jerome-powell.jpg,"Federal Reserve Chairman Jerome Powell said the coronavirus outbreak had increased risks to the U.S. outlook causing the central bank to deliver an emergency half-percentage point interest rate cut to protect the country’s record economic expansion.”My colleagues and I took this action to help the U.S. economy keep strong in the face of new risks to the economic outlook,” he told a hastily convened press conference in Washington on Tuesday. “The spread of the coronavirus has brought new challenges and risks.”U.S. stocks initially advanced after the announcement before sliding into losses, while the 10-year Treasury yield neared 1 per cent. Fed funds futures are pricing more than a percentage point of central bank rate reductions for 2020, including another quarter-point cut in the first half of the year.The central bank said in its statement that it was “closely monitoring developments and their implications for the economic outlook and will use its tools and act as appropriate to support the economy.”Powell, in response to a reporter question about the scope for further moves, said “we do like our current policy stance,” before repeating the Fed’s reference to taking action if needed.The Fed’s decision could presage a wave of easing from other central banks around the world although those in the euro-area and Japan have less scope to follow with rates already in negative territory. It came hours after Powell and finance chiefs from the Group of Seven nations said they would “use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks.”The vote for the emergency cut to a range of 1 per cent to 1.25 per cent was unanimous. The Fed also said in the statement that the “fundamentals of the U.S. economy remain strong.”The decision came amid public pressure for a cut by President Donald Trump, whose stewardship of the economy is central to his reelection campaign this year. Following today’s shift he called for more, demanding in a tweet that the Fed “must further ease and, most importantly, come into line with other countries/competitors. We are not playing on a level field. Not fair to USA.”The Federal Reserve is cutting but must further ease and, most importantly, come into line with other countries/competitors. We are not playing on a level field. Not fair to USA. It is finally time for the Federal Reserve to LEAD. More easing and cutting!U.S. central bankers were scheduled to gather March 17-18 in Washington. Tuesday’s decision was the first time it had cut by more than 25 basis points since 2008.The reduction marks a stark shift for Powell and his colleagues. They had previously projected no change in rates during 2020, remaining on the sidelines during the election year, after lowering their benchmark three times in 2019 to a range of 1.5 per cent to 1.75 per cent.As recently as last week, some officials, including Vice Chairman Richard Clarida, had indicated they thought it was too soon to respond to the virus. They pledged to monitor the situation, but argued monetary policy was already easy and the fundamentals of the economy strong with unemployment near a 50-year low.But as the number of reported cases of the virus rose around the world in recent days and the U.S. reported its first fatality, traders increasingly bet the Fed would step in. Powell seemed to cement that view with a promise on Friday to “act as appropriate,” which lent some support to stocks.Lower rates do little for factories lacking needed materials from abroad and are unlikely to spur consumers to shop if they’re scared of infection. But they should support consumer and business sentiment as well as ease financial conditions by making debt payments easier to manage and by calming market volatility.Powell has staked his chairmanship on sustaining the expansion, words he has used to describe the essential mission of the Federal Open Market Committee, the Fed’s rate-setting panel. Despite the limited ability of monetary policy to ease the impact of a public health emergency, the rate cut could support consumer and business sentiment. Lawmakers are working on a $7.5 billion virus response bill, another reminder that critical fiscal policy can take weeks to move through Congress.One lesson Fed officials will take away from this moment is how rapidly their policy space is used up in a crisis.Total cuts of one percentage point this year, which several Wall Street firms are forecasting, would bring the bottom range of the Fed policy rate down to 0.5 per cent. If the virus impact is worse than expected, or if the economy is hit by a separate shock, the policy rate could strike zero.At that point, Fed officials are left with unconventional tools, such as purchases of longer-dated Treasuries — known as quantitative easing. The effectiveness of such tools when longer-term rates are already low remains to be seen.The Fed is in the midst of a review of its tool kit to achieve its goal of maximum employment and stable prices. They are considering policies such as outcome-based forward guidance, where a policy change would be linked to some tangible metric such as achieving an inflation rate, and yield curve caps.Wherever the discussion lands, the virus has highlighted the need for better fiscal and monetary policy coordination in a time of exceptionally low interest rates, says Julia Coronado, the president of MacroPolicy Perspectives.The Fed is “carrying the domestic burden and the global burden” because they are one of the few central banks in developed economies that still has rates to some degree above zero, Coronado said. “The fiscal policy response has been lacking. There are people that are going to be struggling to pay their bills and certain workers are going to lose incomes. This is the shock that needs to be insured and we are really behind the curve.”With assistance from Sophie Caronello, Alexandra Harris and Alister BullBloomberg.com"
7,Bloomberg News,Shelly Hagan,Healthy labour market is providing wage relief in Canada,"Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market.",,,,,2020-02-13,https://www.bnnbloomberg.ca/healthy-labour-market-is-providing-wage-relief-in-canada-1.1389701,,"Canadians have become more confident in the prospect of wage hikes if they leave their job, another sign of health for the country’s labour market. 
 The share of workers who say switching jobs would leave them better off financially has jumped sharply since 2018, according to a Nanos Research Group poll conducted for Bloomberg. Almost two in 10 respondents said their wages would increase if they lost their jobs or chose to find a new one. That’s an improvement from prior surveys, including one in December 2018, when as few as 12 per cent said they would be able to find a job that pays more. 
 The results are broadly consistent with a strong labour market over the past year, and appear to reflect confidence that the economy can sustain recent wage gains. Stronger wage expectations would be good news if they encourage labour churn, whereby workers feel free to leave their jobs to find something more suitable. 
 It’s a process Bank of Canada Governor Stephen Poloz has said is worth nurturing because it’s an important source of productivity gains. In December, Poloz said labour churn has picked up recently, indicating workers have the confidence to leave their positions for new ones. 
 “The average wage increase of people who switch jobs is very high, in the 10 per cent to 12 per cent range, because people are finding the right matches,” Poloz told reporters Dec. 12 in Toronto. “Those matches inevitably bring higher productivity.” 
 
 The Nanos poll results are in line with findings published by the Bank of Canada in its fourth quarter survey of consumer expectations, which found rising probabilities of Canadians voluntarily leaving their jobs. The pick up in wage expectations largely reflects improved sentiment among younger workers, the data show. 
 Last year, the nation’s economy added almost 300,000 jobs, the unemployment rate hovered near four-decade lows and wages rose near the fastest pace since the recession. The strength of the labour market, in part, allowed the Bank of Canada to keep interest rates on hold, even as its counterparts in other countries lowered rates due to slowing economic growth. 
 “We’re now several years into having unemployment in the six per cent to below six per cent range,” said Brendon Bernard, an economist at Indeed Canada. “That’s going to help build confidence in the job market overall.” 
 It’s clear the labour market boon hasn’t been equally distributed across Canada. Residents in the Prairies are most pessimistic about job pay, with only 14 per cent expecting higher pay if they left their job. That region is also the only one where more than half of respondents expect they would get paid less if they had to find a new job. Confidence in Quebec was highest of all provinces, with 26.2 per cent saying they would get paid more in a new position. 
 The poll, a hybrid telephone and online random survey of 1,000 people, was taken between Jan. 27 and Jan. 29. The survey has a margin of error of 3.1 percentage points. 
"
