,description,publishedAt,title,title_desc_sent_1,title_desc
50,"In New York, Dow Jones industrial average up 42.32 points to 28,164",2019-11-27,North American markets reach new record highs on stronger U.S. economic growth,1,"North American markets reach new record highs on stronger U.S. economic growth. In New York, Dow Jones industrial average up 42.32 points to 28,164"
107,"Canadian gross domestic product grew at the fastest pace in five months on a lift from manufacturing, giving the economy fresh momentum to open the fourth quarter.",2018-12-21,"Canada's GDP grows at fastest pace in 5 months, boosted by factories",1,"Canada's GDP grows at fastest pace in 5 months, boosted by factories. Canadian gross domestic product grew at the fastest pace in five months on a lift from manufacturing, giving the economy fresh momentum to open the fourth quarter."
123,"U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.",2018-07-27,Trump predicts data will show U.S. economy in ‘terrific’ shape,1,"Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014."
80,Canadian firms among many investing billions in extraterrestrial ventures,2019-07-17,Companies look to cash in on out-of-this-world profits in new space economy,1,Companies look to cash in on out-of-this-world profits in new space economy. Canadian firms among many investing billions in extraterrestrial ventures
61,"That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats",2019-09-30,"Liberals promises new spending and four more years of deficits, each above $20 billion",1,"Liberals promises new spending and four more years of deficits, each above $20 billion. That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats"
54,"Gross domestic product edged up slightly, but fell short of expectations",2019-10-31,"Canada's economy grew 0.1% in August, Statistics Canada reports",1,"Canada's economy grew 0.1% in August, Statistics Canada reports. Gross domestic product edged up slightly, but fell short of expectations"
123,"U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.",2018-07-27,Trump predicts data will show U.S. economy in ‘terrific’ shape,1,"Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014."
108,Factories lead fastest economic growth in five months,2018-12-21,Canada’s economy grows faster than expected,1,Canada’s economy grows faster than expected. Factories lead fastest economic growth in five months
50,"In New York, Dow Jones industrial average up 42.32 points to 28,164",2019-11-27,North American markets reach new record highs on stronger U.S. economic growth,1,"North American markets reach new record highs on stronger U.S. economic growth. In New York, Dow Jones industrial average up 42.32 points to 28,164"
119,"Canada’s economy grew at the fastest pace in a year in the second quarter as exports surged, though a slowdown in business investment may cast some clouds over the brighter economic picture.",2018-08-30,Canadian economy surges in second quarter on higher exports,1,"Canadian economy surges in second quarter on higher exports. Canada’s economy grew at the fastest pace in a year in the second quarter as exports surged, though a slowdown in business investment may cast some clouds over the brighter economic picture."
101,"The U.S. economy cooled by less than expected last quarter as business investment picked up, suggesting growth could be stronger for longer as the Federal Reserve takes a patient approach to interest rates.",2019-02-28,U.S. GDP grows above-forecast 2.6% as business spending picks up,1,"U.S. GDP grows above-forecast 2.6% as business spending picks up. The U.S. economy cooled by less than expected last quarter as business investment picked up, suggesting growth could be stronger for longer as the Federal Reserve takes a patient approach to interest rates."
113,"Canada’s economy grew for a seventh consecutive month in August, led by crude oil and financial services, keeping the momentum going for higher interest rates.",2018-10-31,Canadian economy expands for seventh month on oil extraction,1,"Canadian economy expands for seventh month on oil extraction. Canada’s economy grew for a seventh consecutive month in August, led by crude oil and financial services, keeping the momentum going for higher interest rates."
61,"That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats",2019-09-30,"Liberals promises new spending and four more years of deficits, each above $20 billion",1,"Liberals promises new spending and four more years of deficits, each above $20 billion. That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats"
61,"That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats",2019-09-30,"Liberals promises new spending and four more years of deficits, each above $20 billion",1,"Liberals promises new spending and four more years of deficits, each above $20 billion. That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats"
116,"The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.",2018-09-27,U.S. economy grew at unrevised 4.2% pace in second quarter,1,"U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday."
108,Factories lead fastest economic growth in five months,2018-12-21,Canada’s economy grows faster than expected,1,Canada’s economy grows faster than expected. Factories lead fastest economic growth in five months
40,Flood of immigrants and non-permanent residents to levels not seen in a century a main driver supporting Canada's economic expansion,2019-12-20,Forget interest rate decisions. Loonie traders are banking on immigration to Canada,1,Forget interest rate decisions. Loonie traders are banking on immigration to Canada. Flood of immigrants and non-permanent residents to levels not seen in a century a main driver supporting Canada's economic expansion
54,"Gross domestic product edged up slightly, but fell short of expectations",2019-10-31,"Canada's economy grew 0.1% in August, Statistics Canada reports",1,"Canada's economy grew 0.1% in August, Statistics Canada reports. Gross domestic product edged up slightly, but fell short of expectations"
116,"The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.",2018-09-27,U.S. economy grew at unrevised 4.2% pace in second quarter,1,"U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday."
