,description,publishedAt,title,title_desc_sent_1,title_desc
53,"Canada’s economy grew slower than forecast in August after a lull in the prior month, reinforcing the view the nation’s economy is showing signs of decelerating into the second half of the year.",2019-10-31,Canada's economy grew at a slower-than-expected pace in August,-1,"Canada's economy grew at a slower-than-expected pace in August. Canada’s economy grew slower than forecast in August after a lull in the prior month, reinforcing the view the nation’s economy is showing signs of decelerating into the second half of the year."
123,"U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.",2018-07-27,Trump predicts data will show U.S. economy in ‘terrific’ shape,1,"Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014."
97,Investors now see a strong chance of a cut by the Bank of Canada over the next 12 months,2019-04-01,Bank of Canada’s Stephen Poloz gets chance today to put rate cut speculation on ice,-1,Bank of Canada’s Stephen Poloz gets chance today to put rate cut speculation on ice. Investors now see a strong chance of a cut by the Bank of Canada over the next 12 months
122,"Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat.",2018-07-31,Oil drives Canada's fastest economic growth spurt in a year,1,"Oil drives Canada's fastest economic growth spurt in a year. Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat."
57,Kenney government reveals 'ambitious' plan for economic growth,2019-10-25,Alberta looks to private sector and pipelines to deliver better times,1,Alberta looks to private sector and pipelines to deliver better times. Kenney government reveals 'ambitious' plan for economic growth
17,UN chief also calling for worldwide ceasefire and focus on 'true fight of our lives',2020-03-23,"IMF says coronavirus recession will be worse than 2008, as UN appeals for aid for poorest economies",-1,"IMF says coronavirus recession will be worse than 2008, as UN appeals for aid for poorest economies. UN chief also calling for worldwide ceasefire and focus on 'true fight of our lives'"
8,This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season',2020-04-23,P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions,0,P.E.I. announces $4.7M to tackle potato surplus related to COVID-19 market conditions. This will help to ensure no product is lost so that farmers are in good position for the 2020 growing season'
42,"Update shows deficits for next 5 years, with no sign of a planned return to balance",2019-12-16,"Canada's economy 'sound and growing,' says Morneau as he unveils fiscal update",1,"Canada's economy 'sound and growing,' says Morneau as he unveils fiscal update. Update shows deficits for next 5 years, with no sign of a planned return to balance"
44,"Trudeau met with Latvian President Egils Levits, Prince Charles earlier Tuesday",2019-12-04,"Canada 'slightly delinquent' on defence spending, Trump says at NATO gathering",0,"Canada 'slightly delinquent' on defence spending, Trump says at NATO gathering. Trudeau met with Latvian President Egils Levits, Prince Charles earlier Tuesday"
58,"Still few signs of Canadian recession, but this week's data may tell us more",2019-10-08,All eyes on Canadian jobs numbers as election heads into 5th week: Don Pittis,0,"All eyes on Canadian jobs numbers as election heads into 5th week: Don Pittis. Still few signs of Canadian recession, but this week's data may tell us more"
96,Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon,2019-04-01,"Stephen Poloz confident slowdown is temporary, but low rates still needed",-1,"Stephen Poloz confident slowdown is temporary, but low rates still needed. Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon"
86,Current sanctions have already sent the country spiralling into a deep recession,2019-06-24,Trump is threatening Iran with more sanctions — but what's left to target?,0,Trump is threatening Iran with more sanctions — but what's left to target?. Current sanctions have already sent the country spiralling into a deep recession
72,"Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth",2019-08-23,The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June,1,"The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June. Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth"
48,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
34,"China’s economy stabilized last quarter after slowing to the weakest pace in almost three decades, with the first acceleration in investment since June signaling that a firmer recovery could be underway.",2020-01-16,China's economy grew 6% in fourth quarter as demand stabilized,1,"China's economy grew 6% in fourth quarter as demand stabilized. China’s economy stabilized last quarter after slowing to the weakest pace in almost three decades, with the first acceleration in investment since June signaling that a firmer recovery could be underway."
63,"Goal isn't to come up with something politically palatable, it's to secure future: May",2019-09-27,"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May",0,"Canadian industry is 'addicted to fossil fuels,' but the Green Party can change that, says Elizabeth May. Goal isn't to come up with something politically palatable, it's to secure future: May"
15,Federal Reserve removes limits on how much debt it will take on from banks as collateral,2020-03-23,Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes',-1,Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes'. Federal Reserve removes limits on how much debt it will take on from banks as collateral
100,"Canada’s sluggish economic data opens the door for Finance Minister Bill Morneau to spend more in his pre-election budget, according to Bank of Nova Scotia.",2019-03-01,Weak Canadian GDP data opens door for stimulus budget: Scotiabank,-1,"Weak Canadian GDP data opens door for stimulus budget: Scotiabank. Canada’s sluggish economic data opens the door for Finance Minister Bill Morneau to spend more in his pre-election budget, according to Bank of Nova Scotia."
113,"Canada’s economy grew for a seventh consecutive month in August, led by crude oil and financial services, keeping the momentum going for higher interest rates.",2018-10-31,Canadian economy expands for seventh month on oil extraction,1,"Canadian economy expands for seventh month on oil extraction. Canada’s economy grew for a seventh consecutive month in August, led by crude oil and financial services, keeping the momentum going for higher interest rates."
13,"Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain",2020-03-31,Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy,-1,"Canada ekes out meagre growth in January before COVID-19 pandemic shut down economy. Gross domestic product rose 0.1 per cent from December, missing economist estimates for a 0.2 per cent gain"
67,"In a policy statement due at 10 a.m., economists expect Poloz to underline his unease with the global trade outlook and signal a willingness to cut rates",2019-09-04,It's getting harder for the Bank of Canada to ignore the trade war,-1,"It's getting harder for the Bank of Canada to ignore the trade war. In a policy statement due at 10 a.m., economists expect Poloz to underline his unease with the global trade outlook and signal a willingness to cut rates"
123,"U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.",2018-07-27,Trump predicts data will show U.S. economy in ‘terrific’ shape,1,"Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014."
34,"China’s economy stabilized last quarter after slowing to the weakest pace in almost three decades, with the first acceleration in investment since June signaling that a firmer recovery could be underway.",2020-01-16,China's economy grew 6% in fourth quarter as demand stabilized,1,"China's economy grew 6% in fourth quarter as demand stabilized. China’s economy stabilized last quarter after slowing to the weakest pace in almost three decades, with the first acceleration in investment since June signaling that a firmer recovery could be underway."
32,Weak consumer demand and U.S. tariffs being blamed,2020-01-17,China's economic growth sinks to lowest level in decades,-1,China's economic growth sinks to lowest level in decades. Weak consumer demand and U.S. tariffs being blamed
12,"‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin",2020-04-06,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn",0,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn. ‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin"
84,"Canada recorded a second strong month of growth in April, driven by rebounding oil output that is returning the nation’s economy to a more solid footing.",2019-06-28,Oil rebound drives Canada's best two-month GDP gain since 2017,1,"Oil rebound drives Canada's best two-month GDP gain since 2017. Canada recorded a second strong month of growth in April, driven by rebounding oil output that is returning the nation’s economy to a more solid footing."
125,Canada’s economy showed unexpected strength in April with output edging higher on a sharp pick up in manufacturing and a rebounding real estate sector.,2018-06-29,"'It's a go for a July rate hike' after April GDP gain, says economist",1,"'It's a go for a July rate hike' after April GDP gain, says economist. Canada’s economy showed unexpected strength in April with output edging higher on a sharp pick up in manufacturing and a rebounding real estate sector."
61,"That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats",2019-09-30,"Liberals promises new spending and four more years of deficits, each above $20 billion",1,"Liberals promises new spending and four more years of deficits, each above $20 billion. That’s despite new revenues including 3% tax on digital giants and luxury tax on $100,000 plus cars and boats"
111,Turmoil in Canada’s two largest export sectors threatens to undermine the country’s so-far-so-good economic expansion.,2018-11-29,Auto and oil woes cast pall over Canada’s economic expansion,0,Auto and oil woes cast pall over Canada’s economic expansion. Turmoil in Canada’s two largest export sectors threatens to undermine the country’s so-far-so-good economic expansion.
72,"Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth",2019-08-23,The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June,1,"The Toronto Raptors' NBA playoff run helped boost retail sales in Canada in June. Canadian retail sales beat forecasts in June, keeping the economy on track for what's anticipated to have been a strong second quarter of growth"
26,"Containers sitting idle at major import hubs of Vancouver, Montreal and Halifax",2020-02-21,Rail blockades causing containers to pile up at Canadian ports,0,"Rail blockades causing containers to pile up at Canadian ports. Containers sitting idle at major import hubs of Vancouver, Montreal and Halifax"
129,The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year.,2018-03-02,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss",-1,"Loonie set for steepest weekly drop in a year on trade worries, GDP miss. The Canadian dollar is heading for its worst week in a year amid worries that U.S. metal tariffs will further weaken economic growth that came in below expectations for the second half of last year."
16,Federal Reserve removes limits on how much debt it will take on from banks as collateral,2020-03-23,Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes',-1,Stock markets lose ground again Monday despite U.S. central bank pledge to do 'whatever it takes'. Federal Reserve removes limits on how much debt it will take on from banks as collateral
101,"The U.S. economy cooled by less than expected last quarter as business investment picked up, suggesting growth could be stronger for longer as the Federal Reserve takes a patient approach to interest rates.",2019-02-28,U.S. GDP grows above-forecast 2.6% as business spending picks up,1,"U.S. GDP grows above-forecast 2.6% as business spending picks up. The U.S. economy cooled by less than expected last quarter as business investment picked up, suggesting growth could be stronger for longer as the Federal Reserve takes a patient approach to interest rates."
99,"The global economy’s sharp loss of speed through 2018 has left the pace of expansion the weakest since the global financial crisis a decade ago, according to Bloomberg Economics.",2019-03-11,Global economy hits its weakest spell since financial crisis,-1,"Global economy hits its weakest spell since financial crisis. The global economy’s sharp loss of speed through 2018 has left the pace of expansion the weakest since the global financial crisis a decade ago, according to Bloomberg Economics."
74,"It's the fastest the city has ever hit $1B, according to officials",2019-08-20,Hamilton hits $1B in building permits in just 8 months,0,"Hamilton hits $1B in building permits in just 8 months. It's the fastest the city has ever hit $1B, according to officials"
50,"In New York, Dow Jones industrial average up 42.32 points to 28,164",2019-11-27,North American markets reach new record highs on stronger U.S. economic growth,1,"North American markets reach new record highs on stronger U.S. economic growth. In New York, Dow Jones industrial average up 42.32 points to 28,164"
89,"Local councillor says while project is on schedule, police are ticketing for 'dumb driving behaviour'",2019-06-14,Two more months of traffic pain until CN finishes rail bridge replacement,0,"Two more months of traffic pain until CN finishes rail bridge replacement. Local councillor says while project is on schedule, police are ticketing for 'dumb driving behaviour'"
95,No strong case to move in either direction,2019-05-22,Fed signals patience on rate moves ‘for some time’,0,Fed signals patience on rate moves ‘for some time’. No strong case to move in either direction
11,"In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both",2020-04-14,‘Crisis like no other’: IMF warns ‘Great Lockdown’ recession will be worst in almost 100 years,-1,"‘Crisis like no other’: IMF warns ‘Great Lockdown’ recession will be worst in almost 100 years. In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both"
122,"Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat.",2018-07-31,Oil drives Canada's fastest economic growth spurt in a year,1,"Oil drives Canada's fastest economic growth spurt in a year. Canada’s economy grew at the fastest pace in a year, further evidence of a solid expansion even as trade tensions with the U.S. remain a threat."
28,"The government may focus on mental health, climate change and housing, says Jennifer Moss",2020-02-09,What a 'well-being budget' could look like in Canada,0,"What a 'well-being budget' could look like in Canada. The government may focus on mental health, climate change and housing, says Jennifer Moss"
127,"Canada’s economy rebounded more than economists forecast in February, as idled oil and auto production came back on line.",2018-05-01,Canadian economy rebounds as oil and auto production ramps up,1,"Canadian economy rebounds as oil and auto production ramps up. Canada’s economy rebounded more than economists forecast in February, as idled oil and auto production came back on line."
120,"The U.S. economy expanded in the second quarter at a slightly faster pace than previously estimated on revisions to imports and software spending, bolstering the strongest period of growth since 2014, according to Commerce Department data released Wednesday.",2018-08-29,"U.S. second-quarter growth revised up to 4.2% on software, trade",1,"U.S. second-quarter growth revised up to 4.2% on software, trade. The U.S. economy expanded in the second quarter at a slightly faster pace than previously estimated on revisions to imports and software spending, bolstering the strongest period of growth since 2014, according to Commerce Department data released Wednesday."
27,"Changes likely to impact service, farming and health-care industries, among others",2020-02-19,British immigration overhaul takes aim at 'cheap labour from Europe',0,"British immigration overhaul takes aim at 'cheap labour from Europe'. Changes likely to impact service, farming and health-care industries, among others"
124,"President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years.",2018-07-27,Trump claims victory as GDP grows at fastest pace since 2014,1,"Trump claims victory as GDP grows at fastest pace since 2014. President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years."
116,"The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday.",2018-09-27,U.S. economy grew at unrevised 4.2% pace in second quarter,1,"U.S. economy grew at unrevised 4.2% pace in second quarter. The U.S. economy grew in the second quarter at an unrevised 4.2 per cent pace, the fastest since late 2014, indicating a solid foundation for this quarter, Commerce Department data showed Thursday."
