,description,publishedAt,source,title,title_desc_sent_1
0,The federal deficit could rise close to $400 billion as the government extends emergency programs to buffer impact of shutdowns,2020-05-13,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada's soaring deficit may jeopardize its AAA rating, Macquarie says",0
1,(Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,2020-05-05,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund,0
2,Quebec is urging its population to buy from local firms through an online directory of retailers called Le Panier Bleu,2020-04-25,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",A fight against Amazon becomes a state matter in Quebec,0
3,Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.,2020-04-15,Bloomberg News,"Once safer than gold, Canadian real estate braces for reckoning",-1
4,"Average selling price basically unchanged from February, but sales were way down",2020-04-15,CBC,"Home sales fell 14% in March as COVID-19 settled in, CREA says",-1
5,Millennials who coped with previous economic downturns share tips on surviving,2020-04-14,CBC,What it's like being 30 and going through the 3rd recession of your adult life,-1
6,"In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek",2020-04-09,CBC,Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?,0
7,Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,CBC,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?,-1
8,This is an unprecedented time with a significant amount of uncertainty',2020-04-06,CBC,"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show",-1
9,"Real estate listings are drying up, open houses have been cancelled, and buyers are staying home",2020-04-02,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","'This is freezing the market': Once roaring, Canadian home sales brace for 30% drop from coronavirus",-1
10,"COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,CBC,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak",-1
11,How to choose among economic forecasts in a time of record uncertainty,2020-03-30,CBC,7 potential lingering effects of COVID-19 on the economy: Don Pittis,0
12,"Child welfare an essential service, but it's not being handled like others during this pandemic, advocate says",2020-03-29,CBC,There isn't consistency': COVID-19 response varies for children in care,0
13,"CMHC announced Thursday it will buy up to $150 billion of mortgages from banks, triple the amount announced two weeks ago",2020-03-26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada ramps up asset buying to backstop coronavirus-slammed economy,-1
14,"33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26,CBC,Social distancing is important. But what if you live in an apartment tower with shared spaces?,0
15,It was a relief for everybody. At least we can just focus on one thing now: our kids',2020-03-23,CBC,"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues",0
16,This includes $27 billion in direct support for individuals and companies and $55 billion in tax deferrals for both households and businesses,2020-03-17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Trudeau unveils financial aid worth $82 billion to help Canadians weather coronavirus,0
17,Rates for 30-year U.S. mortgages tumbled to the lowest on record as fears of a blow to the economy from the coronavirus sent investors rushing to the safety of Treasuries.,2020-03-05,Bloomberg News,U.S. mortgage rates sink to a record low on COVID-19 fears,0
18,"Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,CBC,Montreal tenants are swapping apartments to avoid rising rents,1
19,"Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,CBC,We are not in a crisis': New N.W.T. government delivers $1.9B budget,1
20,"Residential starts slipped 3.6 per cent to a 1.57 million annualized rate, still the second-fastest pace of the expansion, after an upwardly revised 1.63 million pace in the prior month, according to government figures released Wednesday. January starts exceeded the median estimate in a Bloomberg survey of economists. Permits, a proxy for future construction, advanced 9.2 per cent to a 1.55 million rate, the highest since March 2007.",2020-02-19,Bloomberg News,"U.S. housing starts fall from 13-year high, while permits surge",0
21,A request for a Conestoga Hut pilot project will be put forward to a city committee today,2020-02-19,CBC,Councillor pushes for micro-structure homeless solution,1
22,Utility to spend millions on 100 solar-powered houses in Halls Creek area of Moncton,2020-02-19,CBC,Details scarce on NB Power plan to begin building solar-powered neighbourhood this year,0
23,Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,2020-02-18,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living,-1
24,Also: The biggest players in battery storage,2020-02-14,CBC,How produce stickers contribute to climate change,0
25,Canadian builders began 2020 with a strong rebound in housing starts that is good news for the nation’s increasingly tight real estate markets.,2020-02-10,Bloomberg News,Condo gains push Canadian housing starts to a 4-month high,1
26,"Representatives of churches, charities, shelters and aid agencies met to cook up ideas for the cause",2020-01-29,CBC,"As London's homeless problem grows, so do attempts to find solutions",0
27,America's priciest home is finally getting its finishing touches.,2020-01-29,Bloomberg News,This could be America's priciest home ever — if it can find a buyer,0
28,"Metro Vancouver's affordability crisis pushing professionals out to homes in Okanagan, Vancouver Island",2020-01-17,CBC,This paramedic commutes 6 hours to work in Vancouver because he can't afford to live there,-1
29,"Canadian home sales dropped in December, but prices continued to rise as demand outstripped a dwindling supply of units available for purchase, particularly in Toronto.",2020-01-15,Bloomberg News,Dwindling Toronto supply drags Canadian home sales lower,1
30,"I am 9 years old and I want to make a change,' the child writes to Mayor Ed Holder",2020-01-10,CBC,Dear Mr Mayor' 9-year-old makes handwritten pitch to solve London's housing crisis,0
31,"The Montreal area housing market continued to heat up in the last month of 2019, as sales and prices marched higher.",2020-01-08,BNN Bloomberg,Montreal home sales jump 26% in December to end ‘exceptional year’,1
32,Condos saw the biggest price gains through 2019,2020-01-07,CBC,"Toronto home sales jump 17.4% in December, average price up 12%",1
33,"It's been a long and strange trip,' says urban planning professor Andy Yan",2020-01-01,CBC,Looking back at a decade of Vancouver real estate,0
