,description,publishedAt,source,title,title_desc_sent_1
0,"Like all provinces, Manitoba has been hit by rising health-care costs, drop in tax revenues during pandemic",2020-05-16,CBC,"Manitoba premier cites high debt load, uncertainty for workforce cuts",-1
1,Central bank says number of people falling behind on mortgages could almost quadruple,2020-05-14,CBC,"Mortgage arrears rate could spike to double what it was in 2009, Bank of Canada says",-1
2,"Federal Reserve Chairman Jerome Powell pushed back against the prospect the central bank would deploy negative interest rates in the U.S., though he didn’t fully rule out the option as a potential tool in the future.",2020-05-13,Bloomberg News,"Powell not weighing negative rates now, but leaves them on table",0
3,"(Bloomberg) — HSBC Holdings Plc, one of the largest players in the gold market, was caught out in March as lockdowns disrupted physical shipments of bullion and caused prices to ...",2020-05-06,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",HSBC Reveals It Was Caught Out as Lockdowns Snarled Gold Market,0
4,"With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-05-05,BNN Bloomberg,"CERB, CESB and negative interest rates: Ask BNN Bloomberg answers your personal finance questions",-1
5,"The minister of education is not the boss of the council of commissioners,' QESBA says",2020-05-04,CBC,"English schools want flexibility about when to reopen, but Quebec government says no",0
6,"GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun,-1
7,But Bank of Canada governor tells MPs full recovery could take a year under 'best-case' scenario,2020-04-17,CBC,Poloz sees parts of Canadian economy beginning to restart in 'late May',1
8,"In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both",2020-04-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",‘Crisis like no other’: IMF warns ‘Great Lockdown’ recession will be worst in almost 100 years,-1
9,Question for governments is how much to spend now to avert potential disaster later,2020-04-10,CBC,Poor planning for COVID-19 rings economic warning bell for climate: Don Pittis,0
10,Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm,-1
