,description,publishedAt,source,title,title_desc_sent_1
0,"Most chip manufacturers rely on equipment produced in U.S., including Apple and Qualcomm supplier",2020-05-15,CBC,New U.S. rule aimed at Huawei's influence focuses on semiconductor suppliers,0
1,"Legendary investors Stan Druckenmiller and David Tepper the latest to weigh in, saying risk-reward of holding shares worst they've seen in years",2020-05-14,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",'Stocks are overvalued': Wall Street heavyweights sound the alarm about markets,-1
2,PM promises help for long-term care facilities after pandemic exposed vulnerabilities,2020-05-13,CBC,Seniors to receive up to $500 in a one-time payment to offset added costs due to COVID-19,0
3,Expect pre-appointment telephone screening and sparsely furnished waiting rooms,2020-05-09,CBC,This is what a trip to the dentist could look like in B.C. when offices reopen,0
4,Canada isn't running out of food ‚Äî but some producers may be running out of time,2020-05-06,CBC,The pandemic is creating a season of anxiety in hard-hit farm sectors,0
5,U.S. and China in spat over origin of the coronavirus,2020-05-04,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stocks are falling today as investors worry rise in China, U.S. tensions will derail rebound",-1
6,'Earnings continued to be a minefield',2020-05-01,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",So much for this week’s rally: U.S. stocks erase gain on profit warnings,-1
7,"From food and drink to working out, nearly everything has changed because of the pandemic",2020-04-21,CBC,How Sask. businesses are 'navigating the unknown' and adapting to stay afloat during COVID-19,0
8,"Shopify's shares jumped as much as 7.8 per cent, pushing its market value over the $100 billion mark",2020-04-20,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shopify pushes past TD to become Canada's second-biggest stock,1
9,The week is ending on an upbeat note after the White House set guidelines to reopen the economy,2020-04-17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Stocks surge higher on report that Gilead drug is helping COVID-19 patients,1
10,Shares surge to a record after CTO says company is doing 'Black Friday level traffic' daily,2020-04-17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Shopify just leapfrogged Brookfield to become the third-largest company in Canada,1
11,"Poll suggests Albertans support energy transition, but it‚Äôs complicated",2020-04-16,CBC,CBC News poll: Why the economic crisis could speed up transition to renewable energy,0
12,All the bad sleep habits that we have can be exacerbated by this',2020-04-15,CBC,Struggling with nightmares and sleepless nights? Don't let pandemic stress ruin your rest,0
13,Canada had more than 100 confirmed cases on March 11 when pandemic declared,2020-04-11,CBC,What's happened in Canada since WHO declared COVID-19 a pandemic,0
14,"‚ÄòThis is one thing they should take off their list to worry about,‚Äô says Mark Machin",2020-04-06,CBC,"Canada Pension Plan board president says the retirement fund is safe, despite economic downturn",0
15,Research firm says Western Canada will need to cut oil production by more than 10%,2020-03-27,CBC,Alberta's economic decline will be the 'most severe' the province has ever seen: RBC,-1
16,Some stores are seeing more traffic as people prep for the COVID-19 pandemic,2020-03-24,CBC,"More than just groceries: Calgarians stock up on guns, water filters, cannabis and home gym equipment",0
17,The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23,CBC,Coronavirus puts a spotlight on the moral compass of America,0
18,Top regulators and executives of exchange firms have come out in favour of keeping markets open,2020-03-17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","U.S. plans to keep markets open, but considering shorter trading hours",0
19,Canadian stocks plunged about 10 per cent as measures to curb the spread of the coronavirus only intensified concerns the economy is heading into a recession.,2020-03-16,Bloomberg News,Another 10% plunge sends Canada stocks to lowest since 2016,-1
20,"This is one of the biggest shocks we've seen in the last 40 years,' analyst says",2020-03-12,CBC,"Crude price plummet raises spectre of spending cuts, job losses in Canadian oilpatch",-1
21,Current plan is for construction of mine to start in 2021 and to open in 2024,2020-03-02,CBC,"Ring of Fire was 'overhyped,' but still 'worth the effort' says Noront Resources",0
