,source,title_desc,publishedAt,title_desc_sent_1
0,CBC,"Manitoba premier cites high debt load, uncertainty for workforce cuts. Like all provinces, Manitoba has been hit by rising health-care costs, drop in tax revenues during pandemic",2020-05-16,-1
1,CBC,"Mortgage arrears rate could spike to double what it was in 2009, Bank of Canada says. Central bank says number of people falling behind on mortgages could almost quadruple",2020-05-14,-1
2,Bloomberg News,"Powell not weighing negative rates now, but leaves them on table. Federal Reserve Chairman Jerome Powell pushed back against the prospect the central bank would deploy negative interest rates in the U.S., though he didn’t fully rule out the option as a potential tool in the future.",2020-05-13,0
3,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","HSBC Reveals It Was Caught Out as Lockdowns Snarled Gold Market. (Bloomberg) — HSBC Holdings Plc, one of the largest players in the gold market, was caught out in March as lockdowns disrupted physical shipments of bullion and caused prices to ...",2020-05-06,0
4,BNN Bloomberg,"CERB, CESB and negative interest rates: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-05-05,-1
5,CBC,"English schools want flexibility about when to reopen, but Quebec government says no. The minister of education is not the boss of the council of commissioners,' QESBA says",2020-05-04,0
6,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","America’s longest economic expansion is over — and the deepest recession in at least eight decades has begun. GPD falls 4.8%, consumer spending down most since 1980, business investment plummets to 11-year low",2020-04-29,-1
7,CBC,Poloz sees parts of Canadian economy beginning to restart in 'late May'. But Bank of Canada governor tells MPs full recovery could take a year under 'best-case' scenario,2020-04-17,1
8,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","‘Crisis like no other’: IMF warns ‘Great Lockdown’ recession will be worst in almost 100 years. In a further sign of pessimism, the IMF sketched out three alternative scenarios in which the virus lasted longer than expected, returned in 2021 or both",2020-04-14,-1
9,CBC,Poor planning for COVID-19 rings economic warning bell for climate: Don Pittis. Question for governments is how much to spend now to avert potential disaster later,2020-04-10,0
10,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,-1
11,CBC,"Pallister repeats call for Ottawa to borrow on behalf of provinces. Provinces need help to keep costs of COVID-19 down, Manitoba premier says",2020-04-06,0
12,CBC,"Coronavirus: What's happening in Canada and around the world on April 3. Ontario projects between 3,000 and 15,000 deaths over 18-24 months of pandemic",2020-04-04,0
13,CBC,"Canada's airline, tourism sectors facing 'catastrophic' decline due to COVID-19 pandemic. Airline lobby group warns that, without aid, companies will fold and thousands more will be laid off",2020-04-01,-1
14,CBC,"As COVID-19 hits the economy, bailouts are a fresh reminder why governments matter: Don Pittis. When this is all over, will penny-pinchers remember the value of governments?",2020-03-20,0
15,Bloomberg News,BOE cuts rate in second emergency move to combat virus shock. The Bank of England cut interest rates to a record-low 0.1 per cent and added 200 billion pounds (US$230 billion) to its asset-purchase program in its latest emergency action to mitigate the economic impact of the coronavirus pandemic.,2020-03-19,-1
16,CBC,"TSX and Dow Jones lose another 10% as coronavirus sell-off continues. When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16,-1
17,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","IMF ready to mobilize $1 trillion in loans to help countries counter coronavirus outbreak. 'As the virus spreads, the case for a coordinated and synchronized global fiscal stimulus is becoming stronger by the hour'",2020-03-16,-1
18,CBC,"An unrepentant Ed Martin goes on the attack in response to Muskrat Falls inquiry report. Kathy Dunderdale, premier at time of project's sanctioning, says it's 'difficult' to read report",2020-03-11,0
19,CBC,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta. Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs",2020-03-10,-1
20,CBC,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets. Wide sector of industries affected — from manufacturing to tourism,2020-03-05,-1
21,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Central banks vow to act as OECD warns world economy faces ‘greatest danger’ since the financial crisis. Chance Fed could make emergency cut before March meeting,2020-03-02,-1
22,BNN Bloomberg,Ex-Fed official urges coordinated rate cuts as virus spreads. Former U.S. Federal Reserve governor ​Kevin Warsh is making the case for the U.S. central bank to lead coordinated interest rate cuts in order to support the global economy amid the rapid spread of coronavirus.,2020-02-27,-1
23,CBC,Ottawa formally asks Alberta to enact cap on oilsands emissions as Teck Frontier decision looms. Annual 100-megatonne cap was introduced by Alberta's previous NDP government,2020-02-19,0
24,CBC,Dwight Ball stepping down as Newfoundland and Labrador premier. Ball says in statement he plans to spend time with family as House besieged by scandal,2020-02-17,0
25,CBC,Nova Scotia Power tells regulators why paper mill should be given discount. Hearings into a rate application to offer cheaper power to Port Hawkesbury Paper opened on Tuesday,2020-02-12,0
26,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada’s once-loved bank stocks are being left behind for a new favourite: Life insurers. In 2019, shares of the banks gained 14 per cent; life insurers, on the other hand, enjoyed a 40 per cent surge",2020-02-06,0
27,CBC,Inuvik council approves lower dump fees for contractor working on remediation project. EGT Northwind Ltd. had requested a 50% discount on dumping fees for Imperial Oil project in Tuktoyaktuk,2020-02-05,0
28,BNN Bloomberg,"Canaccord downgrades Canadian banks amid 'toxic mix' of risks. Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,-1
29,CBC,How coronavirus fears could impact your investment portfolio. Finance columnist Mark Ting expects more short term volatility with further drops in the Chinese stock markets,2020-02-02,-1
30,CBC,Patriotic Millionaires urge the rich to pay 'higher and fairer taxes'. At least 121 wealthy people have signed letter titled Millionaires Against Pitchforks,2020-01-22,0
31,CBC,NB Power's smart meter plan gets major boost with critical endorsements. Stakeholders make final arguments for and against $92M plan before EUB,2020-01-22,0
32,Bloomberg News,"Bank of Canada opens door to rate cut on persistent slowdown. Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists.",2020-01-22,-1
33,Bloomberg News,Stephen Poloz enters home stretch hawkish on rates. Stephen Poloz is heading into the final few months of his term as Bank of Canada governor showing few signs of giving up his status as one of the industrialized world’s most hawkish central bankers.,2020-01-21,-1
34,CBC,"Nearly half of Canadians are concerned about vaccine safety. Here's why.. Last year, WHO named vaccine hesitancy a Top 10 threat to global health",2020-01-20,0
35,CBC,"Alberta post-secondary funding will be tied to performance. Details to be worked out, but government wants targets to determine grant allocation",2020-01-20,0
36,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Global debt-to-GDP ratio has now hit an all-time high of 322%. Debt from all sectors — ranging from household to government to corporate bonds — has surged,2020-01-13,0
37,CBC,NB Power could energize electric car sales for $20M. Consultant’s report says long-term revenue much higher than upfront infrastructure costs,2020-01-07,0
38,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Boeing CEO ousted as 737 Max crisis deepens. Company said board of directors thought a change of leadership would help re-establish confidence in Boeing,2019-12-23,0
39,CBC,"Let there be light': Solar power means church no longer pays a power bill. Woodlawn United Church in Darmouth, N.S., ends year with $131 credit, rather than $9K power bill",2019-12-20,0
