,source,title_desc,publishedAt,title_desc_sent_1
0,CBC,"Hamilton economy in 'extraordinary pain' but will see strong comeback next year: report. Hamilton has lost roughly 8,500 jobs during the pandemic but all of them will likely return in 2021",2020-05-13,-1
1,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund. (Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,2020-05-05,0
2,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Elon Musk puts two homes up for sale after vow to sell most possessions. He's seeking a combined US$39.5 million for the Bel Air properties, including one that was previously owned by the late Gene Wilder",2020-05-04,0
3,CBC,"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market. A surge in listings, fewer renters means more competition for landlords",2020-05-01,-1
4,CBC,U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy. Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29,0
5,BNN Bloomberg,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-04-28,0
6,CBC,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,-1
7,CBC,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?",2020-04-15,-1
8,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Mortgage relief requests ease up as homeowners 'catch their breath' and take stock of finances. Initial demand may have been fuelled by unwarranted homeowner fears that the relief program was a 'first-come, first-serve' limited-time offer",2020-04-13,-1
9,CBC,"Unprecedented times' could mean unprecedented options on the table to aid provinces. Academics, think-tanks believe federal government may need to do more",2020-04-12,0
10,CBC,Canadian real estate markets hit hard by pandemic. Tough times are forecast after COVID-19 measures slow sales,2020-04-09,-1
11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,-1
12,CBC,P.E.I. government seeks ban on enforcement of evictions amid COVID-19 emergency. Government says it's necessary to protect health and safety of tenants and sheriffs,2020-03-30,0
13,BNN Bloomberg,"Mortgage market sees flurry of activity amid low rates, virus uncertainty. A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive.",2020-03-27,-1
14,CBC,"Social distancing is important. But what if you live in an apartment tower with shared spaces?. 33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26,0
15,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Royal Bank of Canada sued by REIT over commercial mortgage-backed securities margin calls. RBC using the coronavirus pandemic to seize a large portfolio of assets at rock-bottom prices, a New York real estate investment trust claims",2020-03-25,0
16,CBC,"Coronavirus: Here's what's happening in Canada and around the world on March 20. Provinces ramp up restrictions as number of COVID-19 cases in Canada passes 1,000",2020-03-21,0
17,Bloomberg News,OSFI unleashes $300B in lending capacity. Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.,2020-03-13,-1
18,CBC,"Oil plunge, coronavirus fears prompt panic selling on stock markets. Oil prices fall as much as 30 per cent; stock markets halted and bond yields plunge",2020-03-09,-1
19,CBC,How the coronavirus has thrown interest rate plans out the window. 40 banks around the world have already cut interest rates — and Canada could be next,2020-03-01,-1
20,Bloomberg News,RBC widens mortgage lead amid signs of Canadian housing revival. Royal Bank of Canada has widened its lead in mortgages against rival lenders as the nation’s housing market shows signs of renewed vigor.,2020-02-28,0
21,CBC,Coronavirus could be the global shock that economists have feared: Don Pittis. But avoiding panic over the disease's economic impact will prevent a worse result,2020-02-26,0
22,CBC,"Albertans still make the most money, but other provinces are catching up. Median income in the province decreased by 3.3% over the past few years, compared to 4.1% growth across Canada",2020-02-25,0
23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Easier mortgage rules won't fix Canada’s housing crisis. Economists at two of Canada's largest banks say the solution lies in housing supply,2020-02-25,0
24,Bloomberg News,"TD markets first RMBS from a top-six Canadian bank. A unit of Toronto-Dominion Bank is moving ahead with what would be the first widely-marketed Canadian private-label residential mortgage-backed securities deal from one of the country’s six largest banks, according DBRS Morningstar.",2020-02-13,0
