,description,publishedAt,title,title_desc_sent_1,title_desc
83,"Trains, trucks deliver pipes to Alberta and B.C. for delayed pipeline project",2019-06-17,We're anxious to get it in the ground': Pipe yards fill ahead of federal decision on Trans Mountain expansion,0,"We're anxious to get it in the ground': Pipe yards fill ahead of federal decision on Trans Mountain expansion. Trains, trucks deliver pipes to Alberta and B.C. for delayed pipeline project"
4,"Average selling price basically unchanged from February, but sales were way down",2020-04-15,"Home sales fell 14% in March as COVID-19 settled in, CREA says",-1,"Home sales fell 14% in March as COVID-19 settled in, CREA says. Average selling price basically unchanged from February, but sales were way down"
42,"Canadians living in the North should receive higher rebates to compensate for federal carbon tax, he says",2019-11-28,Nunavut premier calls for bigger carbon tax rebates in the North,0,"Nunavut premier calls for bigger carbon tax rebates in the North. Canadians living in the North should receive higher rebates to compensate for federal carbon tax, he says"
40,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
10,"COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak",-1,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak. COVID-19 outbreak leaves both tenants, landlords in precarious financial situation"
47,"Shelters are full, wait lists are long and market rents are too high for most single mothers",2019-11-12,She fled domestic abuse. Now she and her daughter are victims of the housing crisis,1,"She fled domestic abuse. Now she and her daughter are victims of the housing crisis. Shelters are full, wait lists are long and market rents are too high for most single mothers"
110,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
36,"Sales of new U.S. homes increased in November, capping the best three months for demand since 2007 and reflecting sustained momentum in a residential real estate market that’s helping to underpin the economy.",2019-12-23,"New home sales rise in U.S., cap best three months since 2007",0,"New home sales rise in U.S., cap best three months since 2007. Sales of new U.S. homes increased in November, capping the best three months for demand since 2007 and reflecting sustained momentum in a residential real estate market that’s helping to underpin the economy."
70,Already owns about 51 per cent of Canfor's shares,2019-08-12,Canfor soars 70% on billionaire Jim Pattison’s bid to take it private,0,Canfor soars 70% on billionaire Jim Pattison’s bid to take it private. Already owns about 51 per cent of Canfor's shares
11,How to choose among economic forecasts in a time of record uncertainty,2020-03-30,7 potential lingering effects of COVID-19 on the economy: Don Pittis,0,7 potential lingering effects of COVID-19 on the economy: Don Pittis. How to choose among economic forecasts in a time of record uncertainty
