,description,publishedAt,title,title_desc_sent_1,title_desc
7,Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?,-1,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others
23,Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes,2020-02-18,Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living,-1,Vancouver’s 1 per cent face hefty tax hike as B.C. seeks to quell outrage over the sky-high cost of living. Vancouver is one of the continent's most unaffordable housing markets with San Francisco-like home prices on Omaha-level incomes
79,Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,Canadian and U.S. economies are converging but danger lurks: Don Pittis,-1,Canadian and U.S. economies are converging but danger lurks: Don Pittis. Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix
3,Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.,2020-04-15,"Once safer than gold, Canadian real estate braces for reckoning",-1,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold."
113,Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market,2018-11-30,"Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say",-1,"Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say. Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market"
86,"Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime",2019-06-10,Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money,-1,"Another misstep as B.C. fails to prove this tycoon's idyllic estate was bought with embezzled money. Salt Spring Island laundering claim by B.C. government had tenuous link to the Indian owner, who had purchased years before alleged crime"
7,Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?,-1,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others
107,Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check,2019-01-28,Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes,-1,Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes. Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check
71,"But 'residential construction activity remains rock solid,' BMO economist says",2019-08-09,Canadian housing starts decline 9.6% in July on multi-unit drop,-1,"Canadian housing starts decline 9.6% in July on multi-unit drop. But 'residential construction activity remains rock solid,' BMO economist says"
3,Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold.,2020-04-15,"Once safer than gold, Canadian real estate braces for reckoning",-1,"Once safer than gold, Canadian real estate braces for reckoning. Canadian housing once seemed so infallible that the head of the world’s biggest asset manager in 2015 described Vancouver condos as a better store of wealth than gold."
