,description,publishedAt,title,title_desc_sent_1,title_desc
28,"Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,Canaccord downgrades Canadian banks amid 'toxic mix' of risks,-1,"Canaccord downgrades Canadian banks amid 'toxic mix' of risks. Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group."
75,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,Chinese yuan falls to 11-year low amid trade tensions,-1,"Chinese yuan falls to 11-year low amid trade tensions. After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs"
20,Wide sector of industries affected — from manufacturing to tourism,2020-03-05,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets,-1,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets. Wide sector of industries affected — from manufacturing to tourism
100,It's the third time the IMF has downgraded its outlook in six months,2019-04-09,IMF cuts global outlook to lowest since the financial crisis,-1,IMF cuts global outlook to lowest since the financial crisis. It's the third time the IMF has downgraded its outlook in six months
96,"Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,Province not prepared to ease policies as housing market sputters,-1,"Province not prepared to ease policies as housing market sputters. Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability"
16,"When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16,TSX and Dow Jones lose another 10% as coronavirus sell-off continues,-1,"TSX and Dow Jones lose another 10% as coronavirus sell-off continues. When stock markets go down by 7%, automatic trading halts kick in to calm the situation"
20,Wide sector of industries affected — from manufacturing to tourism,2020-03-05,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets,-1,Businesses in B.C. 'feeling the pinch' of coronavirus outbreak on global markets. Wide sector of industries affected — from manufacturing to tourism
32,"Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists.",2020-01-22,Bank of Canada opens door to rate cut on persistent slowdown,-1,"Bank of Canada opens door to rate cut on persistent slowdown. Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists."
28,"Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,Canaccord downgrades Canadian banks amid 'toxic mix' of risks,-1,"Canaccord downgrades Canadian banks amid 'toxic mix' of risks. Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group."
99,Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’,2019-04-15,"Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher",-1,"Trump is slamming the Fed again, saying stocks should be 5,000-10,000 higher. Policy makers gathered for IMF meeting worry about central bank independence ‘in the most important jurisdiction in the world’"
57,'The world economy faces difficult headwinds',2019-10-15,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade,-1,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade. 'The world economy faces difficult headwinds'
103,Former adviser to Bank of Canada is not the only one bearish on the loonie,2019-03-18,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf",-1,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf. Former adviser to Bank of Canada is not the only one bearish on the loonie"
96,"Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,Province not prepared to ease policies as housing market sputters,-1,"Province not prepared to ease policies as housing market sputters. Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability"
96,"Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability",2019-05-23,Province not prepared to ease policies as housing market sputters,-1,"Province not prepared to ease policies as housing market sputters. Vancouver homeowners cite rising taxes, falling equity; NDP argues moderation is improving affordability"
