source,title_desc,publishedAt
CBC,"Canada's economy was slowing down even before COVID-19 hit, February GDP numbers suggest. Rail blockades and Ontario teacher strikes helped wiped out growth",2020-04-30
CBC,"Canada's economy was slowing even before COVID-19 hit, January GDP numbers show. Transportation, retail and oil and gas sector were contracting",2020-03-31
CBC,Canada's economy rebounded with 0.1% GDP increase in November. October contraction reversed by slight expansion in November,2020-01-31
CBC,A crisis like no other: Canada's finances could take years to recover from the pandemic recession. No one knows for sure what the post-pandemic economy will look like — or which businesses will live to see it,2020-05-16
CBC,England tiptoes out of lockdown as economy dives. U.K. economy contracted by a record 5.8 per cent in March from February,2020-05-13
CBC,"It's official — Canada's economy is in a recession, C.D. Howe says. Influential business group declares that slowdown meets bar to declare a recession",2020-05-01
CBC,"Rowing against the tide of history: Pallister's pandemic response could do lasting damage to Manitoba economy. Wherever and whenever it has been tried, austerity has failed as an economic strategy, say U of M professors",2020-04-25
CBC,"Economy could contract by 25% in second quarter, deficit could soar to $112.7B: PBO report. PBO predicts that the economy will contract by 5.1% in 2020-21 — the biggest drop since 1962",2020-03-27
CBC,"How bad will Canada's COVID-19 recession be?. 2 million jobs could be at stake, and the economy could shrink by more than it did in 2009",2020-03-27
CBC,Stampede cancellation will rip about $500M from Alberta economy. 10-day celebration impacts everyone from cab drivers to restaurants to hotels,2020-04-24
CBC,"Alberta economy on track for most severe annual decline on record, national report predicts. 'The provincial government is in a tight spot,' says Conference Board of Canada",2020-04-15
CBC,"Quebec unemployment rate soars to 17%, highest ever recorded. The province's economy lost an estimated 821,000 jobs in April",2020-05-09
CBC,"How a year without concerts, festivals and conferences could hit B.C.'s economy. Events generate hundreds of millions of dollars in communities across province every year",2020-05-08
CBC,"Edmonton economy to improve only slightly in 2020, city's chief economist says. Capital city can expect ‘very modest’ growth, John Rose says",2020-01-02
CBC,"Alberta economy to improve ever so slightly after tough 2019, according to ATB. The latest economic outloook doesn't anticipate big changes as headwinds continue to blow",2019-12-12
CBC,"Toronto Raptors helped spike Canada's economy in May, StatsCan says. GDP expanded by 0.2% in month and 1.4% annual pace",2019-08-01
CBC,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?",2020-04-15
CBC,China says misleading to suggest it needs trade deal due to slowing economy. Economic growth in China cooled to 6.2% in the 2nd quarter,2019-07-16
CBC,"Kenney's claim carbon tax damaged Alberta economy is refuted in court documents. NDP’s Climate Leadership Plan had marginal effect on GDP growth, analysis shows ",2019-12-16
CBC,"Path of COVID-19 economy even harder to predict than that of virus itself: Don Pittis. Economic bounce-back depends not just on what virus does but how governments, businesses, people react",2020-05-04
