title,description
TSX and NYSE closed for Good Friday but Asian stock markets rise,Oil loses ground again after producing nations still can't agree on production cuts,2020-04-10,CBC
TSX and Dow make gains Thursday but coronavirus volatility continues,Canadian dollar fell to lowest level since 2003 on Wednesday,2020-03-19,CBC
TSX takes holiday break near 2009 high,,2009-12-24,CBC
"TSX and Dow plunge back into the red Friday, capping bleak week for stock markets",Canadian dollar below 70 cents US,2020-03-20,CBC
TSX edges up; loonie closes at 10-year high,,2003-12-03,CBC
TSX and Dow Jones bounce back somewhat after massive Monday sell-off,Monday was one of the bleakest days ever on the stock exchanges,2020-03-17,CBC
TSX and Dow Jones lose another 10% as coronavirus sell-off continues,"When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16,CBC
TSX moves higher on Friday as stock market roller-coaster continues,TSX follows up the worst day in its history with gains ,2020-03-13,CBC
TSX and Dow close higher Monday on tentative signs of progress in COVID-19 battle,,2020-04-06,CBC
TSX operator mulls merger with London exchange,,2011-02-09,CBC
TSX and Dow Jones down by 20% since sell-off began last week,Another down day brings rolling total of losses close to definition of a bear market,2020-03-11,CBC
Stock market seesaw continues as TSX and Dow Jones sell off Thursday,Markets paralyzed by indecision as fear of the unknown settles in,2020-03-05,CBC
TSX shut down for 'technical halt' as stock markets sell off,Company that owns and operates exchange says systems will be ready for Friday,2020-02-28,CBC
Sask. CEO one of few women leading TSX-listed companies,Sample of 641 businesses on TSX shows about only 4% of them are led by women,2020-02-19,CBC
"TSX falls by 12%, now back to where it was in 2016",Circuit breaker rules designed to calm panicky markets triggered in Toronto and New York exchanges,2020-03-13,CBC
TSX ends down after wild swings in markets,Dow see-saws 400 points in less than an hour,2011-08-06,CBC
"Canadian dollar hits 14-month high, TSX lifts on energy-sector gains","Loonie traded at 77.10 cents US, up from 76.99 cents Friday",2020-01-06,CBC
"Why the TSX lost 1,500 points in just one week and what coronavirus has to do with it",China could set example for what happens after an economic pause due to COVID-19,2020-02-29,CBC
CannTrust's TSX listing is under review over missing financial statements,Troubled cannabis company has been in hot water with Health Canada over unlicensed growing rooms,2019-11-27,CBC
TSX moves lower after Friday's steep slide,Dow and tech stocks fall in New York,2019-03-25,CBC
TSX closes at record high as oil rally continues,Strength of banks and oil companies driving recent gains,2019-09-20,CBC
"TSX closes above 16,000 for first time, led by energy companies","Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31,CBC
Royal Bank and BMO profit cut in half as loan loss provisions spike by 500%,"Both banks made money, but earnings reflect underlying devastation of coronavirus",2020-05-27,CBC
"Oil prices tumble, TSX retreats",U.S. oil production rose last week,2017-05-04,CBC
TSX slumps despite pot stocks soaring toward legalization,Gold and cannabis stocks traded up  on S&P/TSX composite index,2018-10-15,CBC
"TSX falls from record high after a week of gains, U.S. markets mixed","'I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23,CBC
TSX advances to highest point of 2016,"Loonie rises, gold jumps ahead and oil remains at $34 US a barrel",2016-03-03,CBC
"TSX finishes above 14,000 for first time since August",,2016-05-25,CBC
"TSX closes above 16,000 for first time, led by energy companies","Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31,CBC
"TSX, S&P 500 hit new closing highs on Tuesday","Oil prices help push up stocks, but strong earnings numbers helped too",2019-04-23,CBC
Markets mixed at close as financial stocks fall,Toronto and New York markets rally off lows as oil price rebounds,2016-02-24,CBC
TSX closes at record high as bull market continues,Toronto stocks up 15.8% in 2019 while S&P is also at a high,2019-04-18,CBC
"Loonie soars above 82 cents US, TSX down",,2017-09-07,CBC
Canadian tech unicorn Lightspeed stock jumps after TSX IPO,"Company valued at $1.4 billion based on IPO price, and has risen since then",2019-03-08,CBC
Leamington medical pot producer Aphria hits TSX,Aphria public shares moved from Toronto Venture Exchange to the TSX on Wednesday,2017-03-23,CBC
"Canadian stocks stage 'surprise' comeback, jumping 12% this year","It's been quite a turnaround for the Canadian market, which lost almost 12% last year",2019-02-25,CBC
"Oil prices, TSX rise after OPEC extends production cuts to June","Energy shares buoy Toronto stocks, but Dow hit by drop in tech shares",2019-03-18,CBC
Falling oil prices drive down TSX again,"Market correcting record highs reached in September, traders say",2014-10-02,CBC
"TSX, Canadian dollar slip as investors await Bank of Canada economic outlook",New York stocks fall amid uncertainty over deal to end trade spat between U.S. and China,2019-03-04,CBC
"Dow, S&P drop 2.4% amid escalating China-U.S. trade war","TSX falls more modestly as oil prices rise after attack on oil vessels, then fall on fears of slowdown",2019-05-13,CBC
