,source,title_desc,publishedAt
0,CBC,TSX and NYSE closed for Good Friday but Asian stock markets rise. Oil loses ground again after producing nations still can't agree on production cuts,2020-04-10
1,CBC,TSX and Dow make gains Thursday but coronavirus volatility continues. Canadian dollar fell to lowest level since 2003 on Wednesday,2020-03-19
2,CBC,"TSX and Dow plunge back into the red Friday, capping bleak week for stock markets. Canadian dollar below 70 cents US",2020-03-20
3,CBC,TSX and Dow Jones bounce back somewhat after massive Monday sell-off. Monday was one of the bleakest days ever on the stock exchanges,2020-03-17
4,CBC,"TSX and Dow Jones lose another 10% as coronavirus sell-off continues. When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16
5,CBC,TSX moves higher on Friday as stock market roller-coaster continues. TSX follows up the worst day in its history with gains ,2020-03-13
6,CBC,TSX and Dow Jones down by 20% since sell-off began last week. Another down day brings rolling total of losses close to definition of a bear market,2020-03-11
7,CBC,Stock market seesaw continues as TSX and Dow Jones sell off Thursday. Markets paralyzed by indecision as fear of the unknown settles in,2020-03-05
8,CBC,TSX shut down for 'technical halt' as stock markets sell off. Company that owns and operates exchange says systems will be ready for Friday,2020-02-28
9,CBC,Sask. CEO one of few women leading TSX-listed companies. Sample of 641 businesses on TSX shows about only 4% of them are led by women,2020-02-19
10,CBC,"TSX falls by 12%, now back to where it was in 2016. Circuit breaker rules designed to calm panicky markets triggered in Toronto and New York exchanges",2020-03-13
11,CBC,TSX ends down after wild swings in markets. Dow see-saws 400 points in less than an hour,2011-08-06
12,CBC,"Canadian dollar hits 14-month high, TSX lifts on energy-sector gains. Loonie traded at 77.10 cents US, up from 76.99 cents Friday",2020-01-06
13,CBC,"Why the TSX lost 1,500 points in just one week and what coronavirus has to do with it. China could set example for what happens after an economic pause due to COVID-19",2020-02-29
14,CBC,CannTrust's TSX listing is under review over missing financial statements. Troubled cannabis company has been in hot water with Health Canada over unlicensed growing rooms,2019-11-27
15,CBC,TSX moves lower after Friday's steep slide. Dow and tech stocks fall in New York,2019-03-25
17,CBC,"TSX closes above 16,000 for first time, led by energy companies. Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31
18,CBC,"Royal Bank and BMO profit cut in half as loan loss provisions spike by 500%. Both banks made money, but earnings reflect underlying devastation of coronavirus",2020-05-27
19,CBC,"Oil prices tumble, TSX retreats. U.S. oil production rose last week",2017-05-04
20,CBC,TSX slumps despite pot stocks soaring toward legalization. Gold and cannabis stocks traded up  on S&P/TSX composite index,2018-10-15
21,CBC,"TSX falls from record high after a week of gains, U.S. markets mixed. 'I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23
22,CBC,"TSX advances to highest point of 2016. Loonie rises, gold jumps ahead and oil remains at $34 US a barrel",2016-03-03
23,CBC,"TSX closes above 16,000 for first time, led by energy companies. Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31
24,CBC,"TSX, S&P 500 hit new closing highs on Tuesday. Oil prices help push up stocks, but strong earnings numbers helped too",2019-04-23
25,CBC,Markets mixed at close as financial stocks fall. Toronto and New York markets rally off lows as oil price rebounds,2016-02-24
26,CBC,TSX closes at record high as bull market continues. Toronto stocks up 15.8% in 2019 while S&P is also at a high,2019-04-18
27,CBC,"Canadian tech unicorn Lightspeed stock jumps after TSX IPO. Company valued at $1.4 billion based on IPO price, and has risen since then",2019-03-08
28,CBC,Leamington medical pot producer Aphria hits TSX. Aphria public shares moved from Toronto Venture Exchange to the TSX on Wednesday,2017-03-23
29,CBC,"Canadian stocks stage 'surprise' comeback, jumping 12% this year. It's been quite a turnaround for the Canadian market, which lost almost 12% last year",2019-02-25
30,CBC,"Oil prices, TSX rise after OPEC extends production cuts to June. Energy shares buoy Toronto stocks, but Dow hit by drop in tech shares",2019-03-18
31,CBC,"Falling oil prices drive down TSX again. Market correcting record highs reached in September, traders say",2014-10-02
32,CBC,"TSX, Canadian dollar slip as investors await Bank of Canada economic outlook. New York stocks fall amid uncertainty over deal to end trade spat between U.S. and China",2019-03-04
33,CBC,"Dow, S&P drop 2.4% amid escalating China-U.S. trade war. TSX falls more modestly as oil prices rise after attack on oil vessels, then fall on fears of slowdown",2019-05-13
34,CBC,"TSX at 2-year low, Dow loses another 500 points. Oil falls below $50 US as investors await Fed announcement",2018-12-17
35,CBC,"TSX rallies, while New York stocks head lower before late-day bounce. Canadian and U.S. markets both lost ground this year amid political uncertainty",2018-12-27
36,CBC,"TSX hits 2016 high. Shares in bank stocks and energy companies higher, moving stock market up with them",2016-05-24
37,CBC,"TSX down, loonie up in wake of interest rate hike. Canada's main stock index posted its worst day in more than 3 years",2018-10-24
38,CBC,TSX closes higher on final day of difficult year for the market. The S&P/TSX composite index declined 12% overall in 2018,2018-12-31
39,CBC,"TSX drops 11% in 2011. Lost nearly 1,500 points over the year",2011-12-30
