title,description
"Despite bleak job losses, Manitoba possesses Canada's sunniest pandemic employment picture","COVID-19 is hammering Manitoba, but effective unemployment is worse in every other province",2020-05-12,CBC
"Province's employment numbers dropped 25,000 in first impact of COVID-19",'The health-care problem is one side of this. The economic problem is going to have its own victims',2020-04-10,CBC
Employment minister outlines N.W.T.'s changes to income support during pandemic,"One-time allowance, changes to program introduced as part of territory's COVID-19 relief package",2020-04-02,CBC
Sask. students feeling summer employment crunch due to COVID-19,University of Regina's depleted emergency fund calls for donations while students search for jobs,2020-04-01,CBC
"Federal government flooded with 500,000 applications for employment insurance",Coronavirus crisis appears to have prompted EI application numbers to explode,2020-03-20,CBC
"Job action: Edmonton MP, city councillor team up to run employment fair","Matt Jeneroux, Tim Cartmell aim to pair employers with workers at Friday event",2020-03-06,CBC
Mayor playing 'incredibly juvenile game' over past Nygard employment to distract from budget: councillor,Brian Bowman said he was surprised to learn Winnipeg police board chair Kevin Klein had worked for Nygard,2020-03-05,CBC
Alberta budget targets 'full employment' by 2023 despite economic volatility,"Finance minister says 2020 could be ""turnaround year"" for the provincial economy, but critics have doubts",2020-02-28,CBC
How Project Search prepares young adults with intellectual disabilities for employment,Program offers a combination of classroom learning and on-the-job training,2020-02-29,CBC
"Employment picture worsens in Edmonton, brightens in Calgary",Premier Jason Kenney 'disturbed' by job-loss numbers,2019-12-06,CBC
"Government rebranding employment offices, reformatting services",Government will continue to spend $120 million on its employment programs,2019-11-26,CBC
"Group to study barriers to employment in Clareview, other northeast neighbourhoods",Project aims to learn more about job seekers and how to help them find work,2020-02-26,CBC
Hamilton-Niagara part of government pilot project to contract out employment services,"Province says new programs will mean 'seamless' service, but NDP fears cuts",2020-02-19,CBC
"Employment held steady in October, Statistics Canada says","Economy lost 1,800 jobs, a number low enough that unemployment rate is unchanged",2019-11-08,CBC
Eliminated summer employment program a surprise for students,Alberta gov't sympathizes with employers looking for ‘free money’ as STEP program is cut,2019-10-28,CBC
"Trump touts economy, strong employment in state of the union",Trump did not mention his impeachment focusing instead on why he should be re-elected,2020-02-05,CBC
