title,description
"Expect housing prices to continue to rise in 2020, realtors say","Prices driven by lack of supply, says real estate association president",2020-01-07,CBC
"Hamilton housing sales down since September, prices up from last year: RAHB","Sales down for apartments, which increased in price by 23.2 per cent",2019-12-03,CBC
Soaring rents and house prices in Canadian cities make housing a key election issue,Federal parties roll out their strategies to help urban Canadians keep housing costs in check,2019-09-24,CBC
"Toronto area housing sales up 24.3% in July, prices rise due to tighter supply","Overall average selling price for properties in GTA was $806,755",2019-08-09,CBC
"St. John's housing prices will lead country in growth, according to Moody's","Economist says below-trend prices, drop in unemployment rate leading to predicted increase",2019-05-26,CBC
"Metro Vancouver housing market to see modest price growth in 2020 and 2021, predicts CMHC",Buyers and renters can expect price increases due in part to continuing population growth across the region,2019-10-24,CBC
"Canadian home sales had their worst April in 36 years, but prices holding steady for now","Sales are in free fall, but prices don't seem to be doing the same yet",2020-05-15,CBC
Time to buy? What the pandemic means for Vancouver's real estate market,"Mark Ting, On the Coast's finance columnist, on what lies ahead for buyers and sellers amid COVID-19",2020-05-10,CBC
"U of Regina selling 'mansion' that presidents lived in, rent-free",Former student union president says news is being met with support and shock,2020-05-15,CBC
Flood and pandemic exacerbate housing crunch in Fort Vermilion,Province considering emergency housing as majority of residents can’t return home,2020-05-13,CBC
Potential buyers staying home: April real estate stats in Edmonton show 55% drop in sales,'With the outbreak of COVID-19 ... this type of market decline is not surprising',2020-05-04,CBC
"Pandemic or not, Canada still faces a climate crisis — and the clock is ticking",COVID-19 presents an unprecedented threat — and a unique opportunity to build a cleaner economy,2020-05-13,CBC
How should Ottawa grow? What councillors heard over 19 hours,The urban boundary debate will continue for a third day on May 19,2020-05-12,CBC
"Following Fort McMurray flood, mayor calls for additional financial aid","Damages to residences alone could top $100 million, Don Scott says",2020-05-04,CBC
Métis raise flag above newly purchased Bank of Montreal building at Portage and Main,'It's like retracing and actually capturing a lot of our history': Manitoba Metis Federation president,2020-05-12,CBC
"Ottawa has 80,000 more suburban houses in its future. Here's what that could look like","City staff, planners and some politicians want a denser city, but what will it take to shift the culture?",2020-05-01,CBC
Sask. not seeing same COVID-19 impacts on housing market as rest of country,'We were seeing a lot of buyer confidence in the beginning of the year': realtor,2020-04-16,CBC
The economy with a capital 'E',"We dive into the markets, energy and housing to find out the COVID-19",2020-04-24,CBC
Competition for new N.S. RCMP dispatch centre 'falsely stacked' against First Nation's bid: chief,Millbrook First Nation wants re-do of site selection process,2020-05-06,CBC
"Ottawa's hot housing market cooled, but not frozen, by COVID-19","Sales down 70% but some buyers, sellers forge ahead",2020-04-25,CBC
Soup for you! Corner Brook store donating bowls of soup,Owner says COVID-19 pandemic has led to increased need for people,2020-04-03,CBC
"Rents in Regina, Saskatoon expected to increase slightly in 2020: report",Vacancy rates in both cities have been declining according to CMHC,2020-01-21,CBC
"Real estate association says Hamilton home sales crashed, local realtors disagree",The national realtors association says market should have seen 25 per cent more sales,2020-04-21,CBC
"Average Canadian house price hit $504,350 last month, up 11% in past year","Best January for home sales since 2008, Canadian Real Estate Association data shows",2020-02-14,CBC
"Homeless population in Red Lake, Ont. declines; hopes to be model for Kenora",Goal is to eradicate homelessness from northwestern Ontario town in just a couple of years,2020-04-23,CBC
"Average Canadian house price rose to $540,000 last month, up 15% in past year","Outside of Toronto and Vancouver, average price was $410,000",2020-03-16,CBC
"The urban boundary debate is vitally important, so should it happen online?",Monday's virtual committee meeting a test of untried process at city hall,2020-05-09,CBC
"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show",'This is an unprecedented time with a significant amount of uncertainty',2020-04-06,CBC
Canadian real estate markets hit hard by pandemic,Tough times are forecast after COVID-19 measures slow sales,2020-04-09,CBC
"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market","A surge in listings, fewer renters means more competition for landlords",2020-05-01,CBC
Tenants facing renoviction worry about becoming homeless,"Residents of the Pinecrest Townhouses in Prince Rupert were served eviction notices on Feb, 26.   ",2020-03-06,CBC
New Westminster offers $4M worth of free land for affordable housing,Advocates say sky high land prices are major barriers to building low-cost housing,2020-01-22,CBC
"Home sales fell 14% in March as COVID-19 settled in, CREA says","Average selling price basically unchanged from February, but sales were way down",2020-04-15,CBC
"Metro Vancouver still a seller's market despite housing downturn, latest numbers show","Sales down compared to 10-year average, but climbed from Feb. 2019 to Feb. 2020",2020-03-03,CBC
B.C. Supreme Court judge rejects injunction sought by homeowners against speculation tax,Homeowners allege paying the tax would cause them 'irreparable harm',2020-04-19,CBC
Yellowknife transitional housing on ice after N.W.T. housing corporation refuses to back project,The conversion of the Arnica Inn would have created 42 new housing units for vulnerable residents,2020-02-21,CBC
Banff Centre lays off 400 staff to weather 'extreme' COVID-19 financial blow,Employees told in email school 'has never faced a crisis of this magnitude',2020-03-20,CBC
Grandfathering a key question for short-term rentals in Charlottetown,‘We want to return long-term housing units’,2020-03-11,CBC
"Calgary housing market still weighed down by oversupply, CREA says",'Achieving more stable conditions will take time',2019-12-16,CBC
Hamilton housing sales up compared to January 2019 — but only for 'detached' homes,"Average sale price of residential properties up 11.9 per cent to $617,496",2020-02-07,CBC
Buyer's market in Regina as average home price drops to $253K,Prices up nationally due to greater Vancouver and Toronto areas,2020-02-17,CBC
Singapore migrant workers deal with anxiety as living quarters become COVID-19 cluster,"S11 dorm is home to labourers from India, Bangladesh and China",2020-04-21,CBC
Councillors to consider affordable housing proposals for city-owned land in Riverdale,Four of five options require the city to sell the land for a dollar,2020-01-08,CBC
The cost of housing in Canada and what it could mean for the economy,What rising real estate prices mean for the country and for Canadians who just want a home,2020-02-14,CBC
It's a buyers market for Regina housing: Royal LePage,The aggregate home price in Regina dropped 3.5% compared to same time last year,2019-07-11,CBC
"December home sales up 22.7% from a year ago, CREA report finds","The Canadian Real Estate Association says sales were slightly lower than November, but way up year-over-year",2020-01-15,CBC
CMHC expects housing market to recover in next 2 years after declines,"After sales, new builds declined this year and last, housing agency expects prices to exceed 2017 peak by 2021",2019-10-24,CBC
Old Embassy Hotel site poised to become 72 affordable housing units,Indwell submits planning application to build rental units at 744 Dundas St.,2020-02-28,CBC
Calgary realtors bracing for a 'double whammy',"Price declines already predicted for 2020, now COVID-19 brings more uncertainty",2020-03-19,CBC
Calgary realtors bracing for a 'double whammy',"Price declines already predicted for 2020, now COVID-19 brings more uncertainty",2020-03-19,CBC
"What you need to know about COVID-19 in B.C. on April 29, 2020",2 more poultry plant outbreaks; B.C. extends provincial state of emergency by two weeks,2020-04-30,CBC
"Changes to mortgage stress test rules good news for young home buyers, says P.E.I. broker",Broker says wiggle room will make a difference for people carrying extra debt,2020-02-23,CBC
