source,title_desc,publishedAt
CBC,TSX and NYSE closed for Good Friday but Asian stock markets rise. Oil loses ground again after producing nations still can't agree on production cuts,2020-04-10
CBC,TSX and Dow make gains Thursday but coronavirus volatility continues. Canadian dollar fell to lowest level since 2003 on Wednesday,2020-03-19
CBC,"TSX and Dow plunge back into the red Friday, capping bleak week for stock markets. Canadian dollar below 70 cents US",2020-03-20
CBC,TSX and Dow Jones bounce back somewhat after massive Monday sell-off. Monday was one of the bleakest days ever on the stock exchanges,2020-03-17
CBC,"TSX and Dow Jones lose another 10% as coronavirus sell-off continues. When stock markets go down by 7%, automatic trading halts kick in to calm the situation",2020-03-16
CBC,TSX moves higher on Friday as stock market roller-coaster continues. TSX follows up the worst day in its history with gains ,2020-03-13
CBC,TSX and Dow Jones down by 20% since sell-off began last week. Another down day brings rolling total of losses close to definition of a bear market,2020-03-11
CBC,Stock market seesaw continues as TSX and Dow Jones sell off Thursday. Markets paralyzed by indecision as fear of the unknown settles in,2020-03-05
CBC,TSX shut down for 'technical halt' as stock markets sell off. Company that owns and operates exchange says systems will be ready for Friday,2020-02-28
CBC,Sask. CEO one of few women leading TSX-listed companies. Sample of 641 businesses on TSX shows about only 4% of them are led by women,2020-02-19
CBC,"TSX falls by 12%, now back to where it was in 2016. Circuit breaker rules designed to calm panicky markets triggered in Toronto and New York exchanges",2020-03-13
CBC,TSX ends down after wild swings in markets. Dow see-saws 400 points in less than an hour,2011-08-06
CBC,"Canadian dollar hits 14-month high, TSX lifts on energy-sector gains. Loonie traded at 77.10 cents US, up from 76.99 cents Friday",2020-01-06
CBC,"Why the TSX lost 1,500 points in just one week and what coronavirus has to do with it. China could set example for what happens after an economic pause due to COVID-19",2020-02-29
CBC,CannTrust's TSX listing is under review over missing financial statements. Troubled cannabis company has been in hot water with Health Canada over unlicensed growing rooms,2019-11-27
CBC,TSX moves lower after Friday's steep slide. Dow and tech stocks fall in New York,2019-03-25
CBC,"TSX closes above 16,000 for first time, led by energy companies. Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31
CBC,"Oil prices tumble, TSX retreats. U.S. oil production rose last week",2017-05-04
CBC,TSX slumps despite pot stocks soaring toward legalization. Gold and cannabis stocks traded up  on S&P/TSX composite index,2018-10-15
CBC,"TSX falls from record high after a week of gains, U.S. markets mixed. 'I think this kind of a catch-your-breath moment for the markets, analyst said",2019-09-23
CBC,"TSX advances to highest point of 2016. Loonie rises, gold jumps ahead and oil remains at $34 US a barrel",2016-03-03
CBC,"TSX closes above 16,000 for first time, led by energy companies. Canada's stock market up about 5% since the start of year, yet lagging most others",2017-10-31
CBC,"TSX, S&P 500 hit new closing highs on Tuesday. Oil prices help push up stocks, but strong earnings numbers helped too",2019-04-23
CBC,TSX closes at record high as bull market continues. Toronto stocks up 15.8% in 2019 while S&P is also at a high,2019-04-18
CBC,"Canadian tech unicorn Lightspeed stock jumps after TSX IPO. Company valued at $1.4 billion based on IPO price, and has risen since then",2019-03-08
CBC,Leamington medical pot producer Aphria hits TSX. Aphria public shares moved from Toronto Venture Exchange to the TSX on Wednesday,2017-03-23
CBC,"Oil prices, TSX rise after OPEC extends production cuts to June. Energy shares buoy Toronto stocks, but Dow hit by drop in tech shares",2019-03-18
CBC,"Falling oil prices drive down TSX again. Market correcting record highs reached in September, traders say",2014-10-02
CBC,"TSX, Canadian dollar slip as investors await Bank of Canada economic outlook. New York stocks fall amid uncertainty over deal to end trade spat between U.S. and China",2019-03-04
CBC,"Dow, S&P drop 2.4% amid escalating China-U.S. trade war. TSX falls more modestly as oil prices rise after attack on oil vessels, then fall on fears of slowdown",2019-05-13
CBC,"TSX at 2-year low, Dow loses another 500 points. Oil falls below $50 US as investors await Fed announcement",2018-12-17
CBC,"TSX rallies, while New York stocks head lower before late-day bounce. Canadian and U.S. markets both lost ground this year amid political uncertainty",2018-12-27
CBC,"TSX hits 2016 high. Shares in bank stocks and energy companies higher, moving stock market up with them",2016-05-24
CBC,"TSX down, loonie up in wake of interest rate hike. Canada's main stock index posted its worst day in more than 3 years",2018-10-24
CBC,TSX closes higher on final day of difficult year for the market. The S&P/TSX composite index declined 12% overall in 2018,2018-12-31
CBC,"TSX drops 11% in 2011. Lost nearly 1,500 points over the year",2011-12-30
CBC,"Biggest marijuana ETF on TSX adds 9 new cannabis companies, including Tilray. Horizons ETF now has 49 different companies in it",2018-09-26
CBC,"S&P/TSX composite index hits record closing high. Benchmark Index closed up 104.42 points at 16,420.95 on Wednesday",2018-06-20
CBC,"Canadian dollar moves above 71 cents as oil recovers. TSX has 3 days of gains, but is still down 3% on the year",2016-01-28
CBC,Canadian dollar up more than a penny after uptick in oil prices. Stocks shake off downturn in Asia with TSX and Dow moving higher,2016-01-26
CBC,TSX drops on dismal oil forecast. Markets await impact of end of Fed's bond-buying program,2014-10-28
CBC,"Stock markets fall after APEC summit highlights China-U.S. trade tension. Plunging tech stocks pull Dow down 1.9%, with TSX falling over energy woes",2018-11-19
CBC,"Global stocks beat 2008 highs, TSX lags behind. Stocks in Germany, Japan hit record highs while Toronto's gains more muted",2013-11-28
CBC,"'Hardware failure' caused TSX shutdown, trading to resume Monday as usual. Technical issues weren't caused by cybersecurity attack, operator of exchanges says ",2018-04-28
CBC,"TSX up on strong bank results, Dow sets record. Canadian dollar rises above 80 cents as oil moves higher",2015-02-25
CBC,TSX gains 30.7% in 2009. Biggest 1-year advance in 26 years,2009-12-31
CBC,"TSX posts best day in 6 months despite pullback in cannabis shares. S&P/TSX composite index closes up 170.27 points, Canadian dollar trades higher",2018-10-16
CBC,TSX closes at highest level since 2008. Canada's benchmark stock index now near level it was before recession,2014-04-17
CBC,"TSX, Montreal Exchange shut down unexpectedly for unspecified trading issue. Market operator says it expects to resume regular trading on Monday",2018-04-27
CBC,"TSX poised to eke out gains in 2018, despite uncertainty over NAFTA and oil. Canadian stock performance tends to depend on the commodity cycle, which is in a relative lull right now",2018-01-01
CBC,Mercer International to give up TSX listing following loss at NAFTA tribunal. The U.S.-based forest products company had mounted a $250-million claim against the Canadian government,2018-05-25
CBC,Shares of several Canadian cannabis companies temporarily halted on TSX. Cannabis stocks end the day mixed,2017-12-29
CBC,"TSX closes up 7.4% on year, Dow up 7.5%. Toronto market is off its September high because of falling oil prices",2014-12-31
CBC,"TSX ends down along with U.S. markets, Canadian dollar makes slight gains. Declines in energy and base metals weigh on TSX",2018-03-19
CBC,"TSX climbs to record high close of 15,953.51. Toronto Stock Exchange's benchmark index tops previous record set back in February",2017-10-27
CBC,"TSX down 206, Dow loses 335 points in stock market sell-off. Price of oil hits an 18-month low",2014-10-09
CBC,"TSX continues record climb on Tim Hortons deal. S&P 500 closes above 2,000 as U.S. consumer confidence improves",2014-08-26
CBC,"What crisis? TSX sets record, Dow heads higher. A day after the Malaysian Airlines MH17 disaster, markets throw off concerns over geopolitics",2014-07-18
CBC,Price of oil cruises past $60 US as TSX retreats from record-setting pace. Price for benchmark U.S. crude contract hits highest level since late June 2015,2017-12-30
CBC,Marijuana company Aphria met with TSX about guidance regarding U.S. business. TMX Group has warned companies U.S. federal pot laws will take precedence over state rules,2017-10-23
CBC,TSX and NYSE stocks rally as North Korean fears wane. Analyst says markets stabilizing after worst day in months for stocks last week,2017-08-14
CBC,"TSX hits another high as pot stocks fall; Dow tops 25,000. Dow Jones industrials closes above 25,000 for the first time",2018-01-04
CBC,"Rising price of oil helps TSX, U.S. markets climb higher. Health-care stocks also gave the TSX a boost, with shares of licensed marijuana producers closing up",2018-01-03
CBC,"TSX closes at a new record high. Energy, materials and financial stocks lead the way for benchmark Canadian index",2017-02-10
CBC,TSX in biggest slide of 2013 so far. Dow drops 111,2013-04-04
CBC,"Bay Street firms pitch TSX rival stock market. Royal Bank, mutual fund firms say new stock market will be fairer, cheaper for investors",2013-06-26
CBC,"Canadian retailer Roots files for IPO, plans to list on TSX under ROOT. Price the shares will be issued at has not been disclosed",2017-09-14
CBC,"Dollar back above 80 cents US, S&P/TSX composite index makes gains. S&P/TSX composite index rises 78.74 points",2017-08-31
CBC,GM closes at $34.01 on TSX. Initial investors paid $33 ,2010-11-19
CBC,Energy stocks weigh on TSX as crude oil prices hit 7-month low. Toronto Stock Exchange's S&P/TSX composite index loses 116.44 points,2017-06-20
CBC,TSX posts worst day of the year with 247-point loss. Financial and energy stocks drag Toronto Stock Exchange lower,2017-02-24
CBC,S&P/TSX sheds 269 points as stocks plunge amid uncertainty around Trump. Price of gold jumps more than $22 US an ounce,2017-05-18
CBC,Crude prices snap winning streak. Gold stocks offset energy sector losses on the TSX,2017-07-06
CBC,TSX closes at lowest for 2010. U.S. markets closed for Independence Day holiday,2010-07-05
CBC,"TSX and Dow give up recent gains as Trump rally runs out of steam. U.S. travel ban spreads concern in markets about isolationism, analysts say",2017-01-30
