title,description
U.S. Fed chair rules out negative interest rates even as Trump trumpets them,U.S. president goes negative on Jerome Powell for rejection of below-zero interest rates,2020-05-13,CBC
Scotiabank profit falls 40% as bad loans more than double amid COVID-19,1st of big Canadian banks to report in pandemic shows loan loss provisions spiking,2020-05-26,CBC
Interest rates are plunging — so why aren't mortgage rates?,"Bond yields and central bank rates have never been lower, but not all the savings are filtering down",2020-04-04,CBC
"Why high interest rates were a problem for '80s renters, too","They didn't have mortgages, but their landlords did",2020-04-03,CBC
Canada's big banks cut credit card interest rates to ease coronavirus impact,Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04,CBC
Canada's big banks cut credit card interest rates to ease coronavirus impact,Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04,CBC
Bank of Canada makes another emergency cut to interest rate,Bank has made an emergency rate cut twice in 2 weeks in response to damage of COVID-19 pandemic,2020-03-27,CBC
Bank of Canada holds interest rates steady,Central bank holds the overnight rate steady at 1.75%,2020-01-22,CBC
Bank of Canada makes emergency interest rate cut,Move comes on top of previous 50-point cut last week,2020-03-15,CBC
Bank of Canada holds interest rates steady,Holds benchmark interest rate at 1.75 per cent,2019-12-04,CBC
Mortgages that pay you and savings accounts that don't — the new rules of low rates,,2020-02-15,CBC
"Fed stands pat, keeps benchmark U.S. interest rate steady",,2020-01-29,CBC
U.S. Federal Reserve cuts benchmark interest rate by half-point to offset coronavirus impact,Rate cut is biggest since 2008 financial crisis,2020-03-03,CBC
"Slashed interest rates, getting a piece of the electric car pie, and a happy 'Jobs Friday' to all!",Plus how do Canadian events plan ahead in the wake of COVID-19 fears?,2020-03-09,CBC
"Bank of Canada's Poloz says global growth to remain slow, low global interest rates",Central bank kept key interest rate on hold last week at 1.75 per cent,2019-12-12,CBC
Interest rates made home buyers look beyond their comfort zone in 1979,Interest rate of almost 15 per cent drove property seekers to less desirable districts,2019-11-02,CBC
U.S. Federal Reserve cuts interest rates for 3rd time this year,The target range for the federal funds is now 1.5 to 1.75%,2019-10-30,CBC
"Bank of Canada holds interest rate at 1.75%, wary of global slowdown",Central bank says outlook for global economy 'has weakened further' since July,2019-10-30,CBC
Fed takes action to control short-term interest rates,U.S. Federal Reserve Bank of New York carried out $53 billion US in transactions known as repurchase agreement,2019-09-17,CBC
Court fight over pawned accordion highlights how many brokers' interest rates are illegal,Agassiz pawnbrokers dinged over 25% monthly loan rate they say is standard in B.C.,2019-09-13,CBC
Bank of Canada resists pressure to cut its interest rate — for now,"Central bank leaves key rate at 1.75%, but appears ready to adjust lower",2019-09-04,CBC
