,source,title_desc,publishedAt
0,CBC,U.S. Fed chair rules out negative interest rates even as Trump trumpets them. U.S. president goes negative on Jerome Powell for rejection of below-zero interest rates,2020-05-13
1,CBC,Scotiabank profit falls 40% as bad loans more than double amid COVID-19. 1st of big Canadian banks to report in pandemic shows loan loss provisions spiking,2020-05-26
2,CBC,"Interest rates are plunging — so why aren't mortgage rates?. Bond yields and central bank rates have never been lower, but not all the savings are filtering down",2020-04-04
3,CBC,"Why high interest rates were a problem for '80s renters, too. They didn't have mortgages, but their landlords did",2020-04-03
4,CBC,Canada's big banks cut credit card interest rates to ease coronavirus impact. Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04
5,CBC,Canada's big banks cut credit card interest rates to ease coronavirus impact. Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04
6,CBC,Bank of Canada makes another emergency cut to interest rate. Bank has made an emergency rate cut twice in 2 weeks in response to damage of COVID-19 pandemic,2020-03-27
7,CBC,Bank of Canada holds interest rates steady. Central bank holds the overnight rate steady at 1.75%,2020-01-22
8,CBC,Bank of Canada makes emergency interest rate cut. Move comes on top of previous 50-point cut last week,2020-03-15
9,CBC,Bank of Canada holds interest rates steady. Holds benchmark interest rate at 1.75 per cent,2019-12-04
10,CBC,U.S. Federal Reserve cuts benchmark interest rate by half-point to offset coronavirus impact. Rate cut is biggest since 2008 financial crisis,2020-03-03
11,CBC,"Slashed interest rates, getting a piece of the electric car pie, and a happy 'Jobs Friday' to all!. Plus how do Canadian events plan ahead in the wake of COVID-19 fears?",2020-03-09
13,CBC,Interest rates made home buyers look beyond their comfort zone in 1979. Interest rate of almost 15 per cent drove property seekers to less desirable districts,2019-11-02
14,CBC,U.S. Federal Reserve cuts interest rates for 3rd time this year. The target range for the federal funds is now 1.5 to 1.75%,2019-10-30
15,CBC,"Bank of Canada holds interest rate at 1.75%, wary of global slowdown. Central bank says outlook for global economy 'has weakened further' since July",2019-10-30
16,CBC,Fed takes action to control short-term interest rates. U.S. Federal Reserve Bank of New York carried out $53 billion US in transactions known as repurchase agreement,2019-09-17
17,CBC,Court fight over pawned accordion highlights how many brokers' interest rates are illegal. Agassiz pawnbrokers dinged over 25% monthly loan rate they say is standard in B.C.,2019-09-13
18,CBC,"Bank of Canada resists pressure to cut its interest rate — for now. Central bank leaves key rate at 1.75%, but appears ready to adjust lower",2019-09-04
20,CBC,Bank of Canada unlikely to follow any Fed interest rate cut. U.S. central bank expected to drop interbank lending rate by 25 basis points,2019-07-31
21,CBC,"Bank of Canada holds interest rate steady at 1.75%, citing trade tensions. Outlook clouded by trade, central bank says, lowering global growth forecast",2019-07-10
22,CBC,Bank of Canada holds key interest rate steady at 1.75%. Decision in line with what economists were expecting,2019-05-29
23,CBC,U.S. central bank cuts interest rate again — but split on what to do next. Federal Reserve moving to stimulate economy as trade fears mount,2019-09-18
25,CBC,Pandemic drives demands for universal affordable internet and cell plans. Liberal MP calls overage fees 'a tax on poor Canadians',2020-05-25
26,CBC,"Non-profits turn to teen volunteers for help. Young people needed now more than ever, volunteer organizations say",2020-05-25
27,CBC,"If the deficit makes you nervous, what about our other problems?. Austerity is coming — but if it comes too soon, it may hurt more than it helps",2020-05-24
28,CBC,"Edmonton property tax notices in the mail Thursday. Because of COVID-19 pandemic, late-payment penalties won't be charged until Sept. 1",2020-05-20
29,CBC,"To rebuild the economy after COVID-19, we'll need more government, not less: Jim Stanford. 'There's no way that the market economy is going to snap back from this catastrophe'",2020-05-22
30,CBC,Bank of Canada holds rate steady at 0.25% and hints it has no plans to go any lower. Bank expects economic activity to slow by as much as 30% from end of 2019,2020-04-15
31,CBC,"V, W, U or L? Here's what kind of shape Canada's economy will be in coming out of COVID-19. Experts use letter shapes to describe different scenarios of how economies bounce back",2020-05-26
32,CBC,Lump sum credit on electricity bills as soon as July. Low oil prices have left $50M surplus in rate stabilization fund,2020-05-14
33,CBC,Tiff Macklem to lead the Bank of Canada. Stephen Poloz’s term as governor ends in June,2020-05-01
35,CBC,Vancity CEO Tamara Vrooman to head up Vancouver Airport Authority. Vrooman takes over from CEO Craig Richmond as he prepares to retire in June,2020-05-13
36,CBC,Nova Scotia offers $380M in loans to municipalities squeezed by COVID-19. The loan program is meant to bridge the gap until deferred municipal taxes are paid,2020-04-28
38,CBC,"Federal deficit likely to be higher than $252 billion, parliamentary budget officer says. PBO says it's possible federal debt will hit $1 trillion because of pandemic relief spending",2020-05-13
39,CBC,Maritime provinces with few COVID-19 cases float travel bubble but public health experts urge caution. People would be screened but would not need to go through quarantine period after arrival,2020-05-21
40,CBC,"Ozone layer deal may have led to new contaminant problem, researchers say. Replacements for ozone-eating CFCs break down in atmosphere into new contaminants ",2020-05-15
41,CBC,"$1K bonus coming for essential workers, says province. Islanders also asked to forgo waving good luck to fishing boats from wharfs on first day of season",2020-05-07
42,CBC,CMHC to take more mortgages off banks' books to free up cash for loans amid COVID-19 crisis. Government had similar program in place during 2009 financial crisis,2020-03-26
43,CBC,"Group calls on P.E.I. to reduce highest allowable payday loan rates in country. In midst of economic crisis, worries high cost of borrowing could further sink households into debt",2020-04-16
44,CBC,CBRM to make paying property taxes a little easier this year. Those whose income has taken a hit due to COVID-19 may qualify for property tax financing over 30 months,2020-05-05
45,CBC,"New U.K. tariff list ramps up urgency of Canada-U.K. trade talks. Only half of U.K.'s imports will enter tariff-free after Jan.1, with trade under CETA set to expire",2020-05-20
