source,title_desc,publishedAt
CBC,"Mortgage arrears rate could spike to double what it was in 2009, Bank of Canada says. Central bank says number of people falling behind on mortgages could almost quadruple",2020-05-14
CBC,"Interest rates are plunging — so why aren't mortgage rates?. Bond yields and central bank rates have never been lower, but not all the savings are filtering down",2020-04-04
CBC,"Why worries about the coronavirus are pushing mortgage rates down. Fear has pushed investors to buy up bonds, which is causing cheaper borrowing for home buyers",2020-01-29
CBC,U.S. Fed chair rules out negative interest rates even as Trump trumpets them. U.S. president goes negative on Jerome Powell for rejection of below-zero interest rates,2020-05-13
CBC,'Pretty cheap money': Canadian mortgage rates falling to their lowest level in 2 years. Fixed and variable loans have gotten cheaper because costs for lenders are down too,2019-06-07
CBC,"Housing starts up in some parts of Canada despite COVID-19. Multi-unit housing projects remained strong in some provinces in April, CMHC says",2020-05-08
CBC,CMHC to take more mortgages off banks' books to free up cash for loans amid COVID-19 crisis. Government had similar program in place during 2009 financial crisis,2020-03-26
CBC,Canada's big banks cut credit card interest rates to ease coronavirus impact. Big Six will temporarily reduce credit card interest rates amid COVID-19 pandemic,2020-04-04
CBC,"Why high interest rates were a problem for '80s renters, too. They didn't have mortgages, but their landlords did",2020-04-03
CBC,"Changes to mortgage stress test rules good news for young home buyers, says P.E.I. broker. Broker says wiggle room will make a difference for people carrying extra debt",2020-02-23
CBC,Bank of Canada makes emergency interest rate cut. Move comes on top of previous 50-point cut last week,2020-03-15
CBC,Ottawa unveils new mortgage stress test rules that will make it easier to pass. New rules will be in force as of April,2020-02-20
CBC,"Financially impacted by COVID-19? A personal-finance expert answers your most pressing questions. How to approach issues like cash flow, mortgage deferral, retirement investments and more right now",2020-03-31
CBC,Tenants left homeless after Campbell River apartment fire granted hotel housing until end of May. Nearly 90 residents lost their homes after a low-income apartment building fire on April 8,2020-04-30
CBC,"As COVID-19 bailouts pile up, Canadians ask for relief on credit card rates. Credit cards have much higher interest rates than other forms of debt and so far, are drawing less scrutiny",2020-04-03
CBC,"Low vacancy rates for Saint John apartments could spell trouble for low-income renters. 'Affordability becomes an issue' when vacancy rate outpaces supply, says analyst with CMHC ",2020-01-21
CBC,U.S. Federal Reserve cuts benchmark interest rate by half-point to offset coronavirus impact. Rate cut is biggest since 2008 financial crisis,2020-03-03
CBC,"Strategic Group puts 50 Calgary properties, with $650M in mortgages, under creditor protection. Company cited high vacancy rate, economic conditions as factors",2019-12-12
CBC,"Tight rental market has Dartmouth renters worried over looming 'renoviction'. Tenants can reapply to the building after renovations, but rents will be hundreds of dollars higher",2020-03-12
CBC,"Average rent in Calgary climbs by 1.7% as population, labour force grow. New rental units added to market also tend to demand higher rent, analyst says",2020-01-15
CBC,"Mortgage stress test rules get more lenient for first time. Posted mortgage rates in Canada have inched lower, so stress test benchmark has followed suit",2019-07-19
CBC,Bank of Canada holds interest rates steady. Central bank holds the overnight rate steady at 1.75%,2020-01-22
CBC,"2019 home sales outlook improves, after 5% rise in August. Canadian Real Estate Association says declining mortgage rates luring buyers back",2019-09-16
CBC,"Home sales rise for 5th month in a row in July, prices up 4% in past year. Canada's housing market is showing signs of coming out of stress-test slumber ",2019-08-15
CBC,"'Renoviction' rates soar due to big-city housing crunch. 'It's a way of making outrageous profits in a very short time,' housing advocate says",2019-12-30
CBC,Real estate market hits new heights in Ottawa-Gatineau. Record comes amidst affordable housing shortage,2020-01-06
CBC,Home Capital Group to sell $425M worth of uninsured mortgage-backed securities. Move by alternative mortgage lender is likely to be welcomed by the Bank of Canada,2019-09-24
CBC,"Feds announce $200M for affordable rentals where Honest Ed's once stood. Mirvish Village project will ensure location stays true to roots as low-income hub, Ahmed Hussen says",2020-01-16
CBC,"Fed's Powell sees steady growth, signals pause in rate cuts. Powell's testimony comes a day after Trump attacked the Fed for not cutting interest rates further",2019-11-13
CBC,Vancouver keeps crown as Canadian metropolis with highest rents and lowest vacancies. Property values went down — but average rents increased higher than inflation ,2020-01-15
CBC,"'Less bad' doesn't mean good: What Vancouver's housing market could hold in 2020. For the first time in five years, there were no major surges in any aspect of the market ",2019-12-24
CBC,"Surging rent costs push families to choose between housing and food, says advocate. The Benedict Labre House says there has been a surge in demand for food baskets in the last year",2020-01-27
CBC,"Ottawa-area residents love where they live, but not what they're paying: survey. Capital region renters among least satisfied with housing affordability",2019-11-25
CBC,Bank of Canada holds interest rates steady. Holds benchmark interest rate at 1.75 per cent,2019-12-04
CBC,Sask. Landlord Association sees sharp spike in unpaid rents during COVID-19. Association says survey found 27 per cent of renters haven't paid bills yet,2020-04-03
CBC,"'Now is the time for action,' says Mayor Valérie Plante, as Montreal vacancy rate hits 15-year low. Tenants' advocates worry critical housing shortage will lead to 'renters finding themselves on the streets'",2020-01-16
CBC,"Vacancy rate on the rise in Regina, so why isn't the cost of rent going down?. Some residents struggle to afford rent in Regina despite oversupply",2019-10-08
CBC,Tenants left homeless after apartment fire struggle with Campbell River housing crisis — and a pandemic. Nearly 90 Campbell River residents are struggling to find housing while emergency supports are running out,2020-04-30
CBC,"Big families, small budgets: The challenge of housing for refugees. Valentina Cerka works to overcome barriers and find affordable housing for refugees in Winnipeg",2019-10-24
CBC,"Toronto must be 'brave' and enact bold new zoning laws to confront housing crisis, advocates say. Detached houses are all the city allows on more than a third of residential land",2020-03-15
CBC,"Bank of Canada holds interest rate at 1.75%, wary of global slowdown. Central bank says outlook for global economy 'has weakened further' since July",2019-10-30
CBC,"45 per cent of Hamilton renters living in unaffordable housing, new report says. Average rent in the downtown core, mountain has risen 40 per cent in 8 years",2019-12-01
CBC,Bank of Canada holds key interest rate steady at 1.75%. Decision in line with what economists were expecting,2019-05-29
CBC,"All eyes on Bank of Canada's interest rate decision, view of global economic climate. Governor Stephen Poloz to give 1st policy announcement since early July",2019-09-04
CBC,"Whitehorse residents paint picture of what dismal rental market looks like. Median price for renting in Whitehorse is $1,050 a month, according to Yukon Bureau of Statistics",2019-07-28
