,description,publishedAt,title,title_desc_sent_1,title_desc
124,"President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years.",2018-07-27,Trump claims victory as GDP grows at fastest pace since 2014,1,"Trump claims victory as GDP grows at fastest pace since 2014. President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years."
54,"Gross domestic product edged up slightly, but fell short of expectations",2019-10-31,"Canada's economy grew 0.1% in August, Statistics Canada reports",1,"Canada's economy grew 0.1% in August, Statistics Canada reports. Gross domestic product edged up slightly, but fell short of expectations"
108,Factories lead fastest economic growth in five months,2018-12-21,Canada’s economy grows faster than expected,1,Canada’s economy grows faster than expected. Factories lead fastest economic growth in five months
92,"With housing and oil off the boil, why hasn't the Canadian economy gone into free fall?",2019-05-31,Why the Canadian economy seems divorced from traditional signals: Don Pittis,0,"Why the Canadian economy seems divorced from traditional signals: Don Pittis. With housing and oil off the boil, why hasn't the Canadian economy gone into free fall?"
66,"Patrick Scott, Katrina Nokleby face off for seat vacated by former minister Glen Abernethy",2019-09-17,The candidates: Great Slave,0,"The candidates: Great Slave. Patrick Scott, Katrina Nokleby face off for seat vacated by former minister Glen Abernethy"
32,Weak consumer demand and U.S. tariffs being blamed,2020-01-17,China's economic growth sinks to lowest level in decades,-1,China's economic growth sinks to lowest level in decades. Weak consumer demand and U.S. tariffs being blamed
124,"President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years.",2018-07-27,Trump claims victory as GDP grows at fastest pace since 2014,1,"Trump claims victory as GDP grows at fastest pace since 2014. President Donald Trump said the U.S. economy is on track to reach an annual growth rate of more than 3 per cent, as he celebrated a report Friday that the economy expanded in the second quarter at the fastest pace in four years."
4,The high number of COVID-19 cases in Montreal hospitals caused Premier Francois Legault to postpone store openings by a week,2020-05-04,Setback to Montreal retail reopening shows rocky path to getting economy running again,-1,Setback to Montreal retail reopening shows rocky path to getting economy running again. The high number of COVID-19 cases in Montreal hospitals caused Premier Francois Legault to postpone store openings by a week
70,Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation,2019-08-28,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA,0,Ambrose disagrees with Scheer's assertion that Trudeau caved to Trump on NAFTA. Former Tory interim-leader says Canada made sacrifices to secure gains in NAFTA negotiation
123,"U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014.",2018-07-27,Trump predicts data will show U.S. economy in ‘terrific’ shape,1,"Trump predicts data will show U.S. economy in ‘terrific’ shape. U.S. President Donald Trump predicted data on Friday will show the U.S. economy is in “terrific” shape amid forecasts that growth topped 4 per cent in the second quarter, the fastest since 2014."
