,description,publishedAt,title,title_desc_sent_1,title_desc
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
74,"A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,A Bank of Canada rate cut is looking more likely and the first could come as early as September,-1,"A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says"
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
56,"This will protect jobs now and in the future,' finance minister says",2019-10-25,"Provincial budget cuts could take toll on Edmonton and public sector, critics say",-1,"Provincial budget cuts could take toll on Edmonton and public sector, critics say. This will protect jobs now and in the future,' finance minister says"
40,Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down'
20,It's time for Ottawa to have Alberta's back',2020-03-11,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",-1,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'"
111,"Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in",2018-11-29,"Even if OPEC decides to cut, oil prices could still fall in 2019",-1,"Even if OPEC decides to cut, oil prices could still fall in 2019. Opinion: The group is unable to deliver sustainable reductions alone, and geopolitical forces may see other players unwilling to pitch in"
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
18,"Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession.",2020-03-20,"Canada received over 500,000 EI applications this week",-1,"Canada received over 500,000 EI applications this week. Prime Minister Justin Trudeau said half a million Canadians, or about 2.5 per cent of the labor force, have applied for jobless claims this week, smashing previous records and suggesting the nation is already in a deep recession."
99,"UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter.",2019-04-30,UBS said to tell some managers to only hire when five leave,-1,"UBS said to tell some managers to only hire when five leave. UBS Group AG is telling executives in its large wealth management business to be more selective when hiring bankers as it seeks to cut costs following a challenging first quarter, according to people familiar with the matter."
73,"The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports",2019-08-22,The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector,-1,"The $30-billion exodus: Foreign oil firms keep bailing on Canada's energy sector. The drumbeat of exits, rare for such a stable oil-producing country, adds an extra layer of gloom for an industry that accounts for about a fifth of Canada's exports"
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says"
40,Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down'
40,Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬†15¬†we expected to get a paycheque and instead we got an email saying the company is shut down'
86,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,-1,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
