,description,publishedAt,title,title_desc_sent_1,title_desc
51,Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output,2019-11-08,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs,1,Alberta loosens oil curbs by exempting new conventional wells in hopes it will spur drilling and create jobs. Allowing more non oilsands output could have an outsized effect on employment without resulting in too much additional output
100,"Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market.",2019-04-25,"U.S. jobless claims rise most since 2017, topping estimates",-1,"U.S. jobless claims rise most since 2017, topping estimates. Filings for U.S. unemployment benefits rose the most since late 2017, while still remaining in the range of what’s considered a tight labor market."
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
107,Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019,2019-01-09,The winners and losers of Canada's luxury housing market in 2019,0,The winners and losers of Canada's luxury housing market in 2019. Luxury-home markets across the biggest cities tumbled last year. Here's what Sotheby's expects in 2019
105,A sign of strength in an economy facing several other headwinds,2019-02-08,"Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record",1,"Canada unexpectedly gains almost 67,000 jobs as private-sector hiring hits record. A sign of strength in an economy facing several other headwinds"
78,"Canada's economy lost 24,000 jobs last month",2019-08-09,Unemployment rate jumps to 5.7% in July as more people look for fewer jobs,-1,"Unemployment rate jumps to 5.7% in July as more people look for fewer jobs. Canada's economy lost 24,000 jobs last month"
2,The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment,2020-05-13,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more,-1,Fed’s Jerome Powell warns coronavirus could do lasting damage to economy; policy makers will need to do more. The Fed chair in his speech outlined the worrying scenario posed by mass bankruptcies and unemployment
27,Jobless rate ticks down to 5.5 per cent on surge in full-time work,2020-02-08,"Canada added 35K full-time jobs last month, twice what was expected",1,"Canada added 35K full-time jobs last month, twice what was expected. Jobless rate ticks down to 5.5 per cent on surge in full-time work"
95,Move comes after some federal departments microtargeted Facebook job ads,2019-05-30,Hiring watchdog to step up monitoring of government job ads,0,Hiring watchdog to step up monitoring of government job ads. Move comes after some federal departments microtargeted Facebook job ads
58,"Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings",2019-10-16,Investigation into harassment allegations against Concordia creative writing prof over,0,"Investigation into harassment allegations against Concordia creative writing prof over. Jon Paul Fiorentino no longer works at university, but school won't say if it's connected to findings"
102,Aren’t we supposed to be in a slowdown?,2019-03-08,What gives? Canada’s job market off to its best start in almost 40 years,1,What gives? Canada’s job market off to its best start in almost 40 years. Aren’t we supposed to be in a slowdown?
20,It's time for Ottawa to have Alberta's back',2020-03-11,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'",-1,"Kenney heads to Ottawa to demand urgent help from federal Liberals, warning Alberta faces 'triple whammy'. It's time for Ottawa to have Alberta's back'"
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
5,"Already strained by COVID-19, institutions could be further challenged by lack of new students",2020-05-07,Post-secondary schools face rough autumn if pandemic keeps foreign students away,0,"Post-secondary schools face rough autumn if pandemic keeps foreign students away. Already strained by COVID-19, institutions could be further challenged by lack of new students"
34,RoboHub is a robotics incubator that provides researchers with expertise and equipment,2020-01-24,University of Waterloo's RoboHub to be featured in YouTube AI series,0,University of Waterloo's RoboHub to be featured in YouTube AI series. RoboHub is a robotics incubator that provides researchers with expertise and equipment
114,"Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you.",2018-10-15,Sears posts job openings with bankruptcy filing ink still wet,1,"Sears posts job openings with bankruptcy filing ink still wet. Want to join the payroll of a bankrupt retailer this holiday season? Well, has Sears Holdings Corp. got a job for you."
82,"Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork",2019-07-17,Legally blind woman worried she'll lose benefits over father's will,0,"Legally blind woman worried she'll lose benefits over father's will. Tanya Smith turned down inheritance to avoid benefits problems, but government lost the paperwork"
116,"The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again.",2018-04-19,Number of Canadians receiving EI benefits hits record low,1,"Number of Canadians receiving EI benefits hits record low. The number of people receiving jobless benefits fell to a record low in February, another reflection of diminishing labor market slack as the Bank of Canada weighs when to raise interest rates again."
108,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
113,"Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations.",2018-11-19,Canada 6th in the world at attracting talent,1,"Canada 6th in the world at attracting talent. Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations."
6,"Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan",2020-05-06,Trump clarifies that coronavirus task force will 'continue on indefinitely',0,"Trump clarifies that coronavirus task force will 'continue on indefinitely'. Trump asks Americans to be 'warriors' during pandemic, Pelosi accuses him of having no plan"
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
40,Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down',2019-12-17,Employees shocked after Athlete Factory suddenly shuts its doors,-1,Employees shocked after Athlete Factory suddenly shuts its doors. Dec.¬¨‚Ä†15¬¨‚Ä†we expected to get a paycheque and instead we got an email saying the company is shut down'
43,Canada's unemployment rate is 5.9 per cent,2019-12-06,Windsor's unemployment rate third highest in Canada,-1,Windsor's unemployment rate third highest in Canada. Canada's unemployment rate is 5.9 per cent
88,"The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast",2019-06-26,"Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices",0,"Biggest refinery on U.S. East Coast set to close after huge explosion, driving up fuel prices. The loss of the refinery will likely increase the region's dependence on supplies from Canada, Europe and the Gulf Coast"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
113,"Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations.",2018-11-19,Canada 6th in the world at attracting talent,1,"Canada 6th in the world at attracting talent. Switzerland once again clinched the top spot in a global survey on fostering and attracting talent, in a top 10 list that includes Canada but not the U.S., and no Asian nations."
104,"Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated",2019-02-12,Behind the scenes: What it’s like to work inside Apple’s ‘black site’,0,"Behind the scenes: What it’s like to work inside Apple’s ‘black site’. Six miles from Apple's dazzling new Cupertino campus is an unidentified, non-descript building that could mirror how some workers are treated"
102,Aren’t we supposed to be in a slowdown?,2019-03-08,What gives? Canada’s job market off to its best start in almost 40 years,1,What gives? Canada’s job market off to its best start in almost 40 years. Aren’t we supposed to be in a slowdown?
83,"All parties involved should immediately come to the table to discuss solutions, Jerry Dias says",2019-07-11,Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant,-1,"Unifor wants urgent meeting to discuss pending layoffs at Bombardier Thunder Bay plant. All parties involved should immediately come to the table to discuss solutions, Jerry Dias says"
24,Privacy commissioner's office says it has found 'strong indications of systemic under-reporting',2020-02-14,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies",0,"Personal information belonging to 144,000 Canadians breached by federal departments and agencies. Privacy commissioner's office says it has found 'strong indications of systemic under-reporting'"
36,"Total number of jobs tops 80,000",2020-01-14,P.E.I. sees 'tremendous growth' in jobs in 2019,1,"P.E.I. sees 'tremendous growth' in jobs in 2019. Total number of jobs tops 80,000"
101,Economists had expected a gain,2019-04-05,"Canada loses 7,200 jobs, its first employment drop in seven months",-1,"Canada loses 7,200 jobs, its first employment drop in seven months. Economists had expected a gain"
9,U.S. stocks posted the biggest weekly gain since 1974,2020-04-09,TSX see biggest weekly gain since 2009 on Fed aid,0,TSX see biggest weekly gain since 2009 on Fed aid. U.S. stocks posted the biggest weekly gain since 1974
57,Walkout deemed illegal by New Brunswick Labour and Employment Board,2019-10-18,Hospital laundry workers ordered back to work,0,Hospital laundry workers ordered back to work. Walkout deemed illegal by New Brunswick Labour and Employment Board
16,Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π,2020-03-25,London reeling from the economic impact of COVID-19: deputy mayor,-1,London reeling from the economic impact of COVID-19: deputy mayor. Most downtown businesses are closed and the effect on tourism has been ‚Äö√Ñ√∫devastating‚Äö√Ñ√π
49,Province plans to put $250K into ride-sharing projects in up to 3 rural areas,2019-11-19,Nova Scotia eyes ride sharing to ease rural transportation woes,1,Nova Scotia eyes ride sharing to ease rural transportation woes. Province plans to put $250K into ride-sharing projects in up to 3 rural areas
33,Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission,2020-01-24,Grammys CEO says she was ousted after reporting harassment,0,Grammys CEO says she was ousted after reporting harassment. Lawyers for Deborah Dugan filed a discrimination complaint with the Equal Employment Opportunity Commission
11,‚Äö√Ñ√≤It‚Äö√Ñ√¥s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed‚Äö√Ñ√¥,2020-04-07,P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines,0,P.E.I. residents struggle to apply for EI as COVID-19 claims swamp phone lines. ‚Äö√Ñ√≤It‚Äö√Ñ√¥s virtually impossible to reach out to Service Canada at a time when Service Canada is really needed‚Äö√Ñ√¥
