,description,publishedAt,title,title_desc_sent_1,title_desc
5,Millennials who coped with previous economic downturns share tips on surviving,2020-04-14,What it's like being 30 and going through the 3rd recession of your adult life,-1,What it's like being 30 and going through the 3rd recession of your adult life. Millennials who coped with previous economic downturns share tips on surviving
100,"It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval",-1,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval. It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm"
91,"Move to towns near secondary cities is growing in popularity, real estate agents say",2019-05-26,Homebuyers escape high housing costs by relocating to secondary cities,1,"Homebuyers escape high housing costs by relocating to secondary cities. Move to towns near secondary cities is growing in popularity, real estate agents say"
63,"Liberal Party Leader Justin Trudeau said if re-elected his government would introduce new measures aimed at improving housing affordability, which would include a federal speculation tax on non-residents.",2019-09-12,Trudeau promises new speculation tax on foreign buyers if re-elected,-1,"Trudeau promises new speculation tax on foreign buyers if re-elected. Liberal Party Leader Justin Trudeau said if re-elected his government would introduce new measures aimed at improving housing affordability, which would include a federal speculation tax on non-residents."
109,Many Canadian equity strategists are predicting double-digit gains for 2019,2019-01-02,"Canadian stocks just suffered the worst year in a decade, but analysts say the future looks brighter",0,"Canadian stocks just suffered the worst year in a decade, but analysts say the future looks brighter. Many Canadian equity strategists are predicting double-digit gains for 2019"
7,Some provinces are more vulnerable to the economic shock of the pandemic than others,2020-04-09,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?,-1,COVID-19 expected to bring unemployment of 5% to 85% in some areas — what does that mean for Canada?. Some provinces are more vulnerable to the economic shock of the pandemic than others
80,35 units will available priced at 80 per cent of the local average market rent,2019-07-06,Stratford accepting applications for affordable housing project,1,Stratford accepting applications for affordable housing project. 35 units will available priced at 80 per cent of the local average market rent
25,Canadian builders began 2020 with a strong rebound in housing starts that is good news for the nation’s increasingly tight real estate markets.,2020-02-10,Condo gains push Canadian housing starts to a 4-month high,1,Condo gains push Canadian housing starts to a 4-month high. Canadian builders began 2020 with a strong rebound in housing starts that is good news for the nation’s increasingly tight real estate markets.
14,"33.5% of Canadians live in multi-family dwellings, according to the 2016 census",2020-03-26,Social distancing is important. But what if you live in an apartment tower with shared spaces?,0,"Social distancing is important. But what if you live in an apartment tower with shared spaces?. 33.5% of Canadians live in multi-family dwellings, according to the 2016 census"
49,Investors who bet on the equity version of real estate see massive returns,2019-11-07,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better",1,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better. Investors who bet on the equity version of real estate see massive returns"
63,"Liberal Party Leader Justin Trudeau said if re-elected his government would introduce new measures aimed at improving housing affordability, which would include a federal speculation tax on non-residents.",2019-09-12,Trudeau promises new speculation tax on foreign buyers if re-elected,-1,"Trudeau promises new speculation tax on foreign buyers if re-elected. Liberal Party Leader Justin Trudeau said if re-elected his government would introduce new measures aimed at improving housing affordability, which would include a federal speculation tax on non-residents."
49,Investors who bet on the equity version of real estate see massive returns,2019-11-07,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better",1,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better. Investors who bet on the equity version of real estate see massive returns"
114,"'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says",2018-11-30,Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock,-1,"Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock. 'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says"
32,Condos saw the biggest price gains through 2019,2020-01-07,"Toronto home sales jump 17.4% in December, average price up 12%",1,"Toronto home sales jump 17.4% in December, average price up 12%. Condos saw the biggest price gains through 2019"
102,"Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,Trudeau's new housing measures could end up crushing sales in an already depressed market,-1,"Trudeau's new housing measures could end up crushing sales in an already depressed market. Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage"
16,This includes $27 billion in direct support for individuals and companies and $55 billion in tax deferrals for both households and businesses,2020-03-17,Trudeau unveils financial aid worth $82 billion to help Canadians weather coronavirus,0,Trudeau unveils financial aid worth $82 billion to help Canadians weather coronavirus. This includes $27 billion in direct support for individuals and companies and $55 billion in tax deferrals for both households and businesses
34,Liberals' promised tax cut may help 20 million Canadians - but only a little,2019-12-31,Are 2020's tax changes 'significant' or 'a wash'?,0,Are 2020's tax changes 'significant' or 'a wash'?. Liberals' promised tax cut may help 20 million Canadians - but only a little
76,‘I wouldn't want to see some markets cool a lot more than they have’,2019-07-25,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked,0,Royal Bank CEO says housing market now ‘well-balanced’ but stress test could be tweaked. ‘I wouldn't want to see some markets cool a lot more than they have’
112,New listings down 26%,2018-12-05,"Toronto housing sales fall the most in eight months, but prices stay steady",-1,"Toronto housing sales fall the most in eight months, but prices stay steady. New listings down 26%"
6,"In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek",2020-04-09,Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?,0,"Where is the N.W.T.'s $21.5M COVID-19 relief package coming from?. In a lot of aspects ... it’s money that we’re not taking in,' said N.W.T. Finance Minister Caroline Wawzonek"
108,It's a worrying sign for an economy that has relied so heavily on consumer spending and the housing market to drive growth,2019-01-08,More people are going broke in Canada as interest rates rise,-1,More people are going broke in Canada as interest rates rise. It's a worrying sign for an economy that has relied so heavily on consumer spending and the housing market to drive growth
66,Edmonton-Strathcona is the lone riding for the federal NDP,2019-08-25,"Federal NDP leader Singh makes stop in Edmonton, party's lone Alberta riding",0,"Federal NDP leader Singh makes stop in Edmonton, party's lone Alberta riding. Edmonton-Strathcona is the lone riding for the federal NDP"
92,"Bill 108 meant to spur new homes, but Ottawa sees 'one-size-fits-all' solution",2019-05-24,"Housing bill threatens funds for parks and rec, city fears",0,"Housing bill threatens funds for parks and rec, city fears. Bill 108 meant to spur new homes, but Ottawa sees 'one-size-fits-all' solution"
