,description,publishedAt,title,title_desc_sent_1,title_desc
105,January saw home sales in Montreal climb the fastest in a decade as lower prices and a booming economy lured buyers,2019-02-19,Montreal poised to overtake Vancouver as Canada’s second largest housing market,1,Montreal poised to overtake Vancouver as Canada’s second largest housing market. January saw home sales in Montreal climb the fastest in a decade as lower prices and a booming economy lured buyers
82,"Plans call for two office towers, of 58 and 48 stories, about 800 rental apartments across two buildings and 200,000 square feet for retail",2019-06-26,Oxford Properties Group is planning one of Canada's biggest real estate projects in Toronto,1,"Oxford Properties Group is planning one of Canada's biggest real estate projects in Toronto. Plans call for two office towers, of 58 and 48 stories, about 800 rental apartments across two buildings and 200,000 square feet for retail"
30,"I am 9 years old and I want to make a change,' the child writes to Mayor Ed Holder",2020-01-10,Dear Mr Mayor' 9-year-old makes handwritten pitch to solve London's housing crisis,0,"Dear Mr Mayor' 9-year-old makes handwritten pitch to solve London's housing crisis. I am 9 years old and I want to make a change,' the child writes to Mayor Ed Holder"
58,What do booming housing markets mean for Canadian communities?,2019-09-28,"Higher home prices, higher debt levels and how they affect our choices",1,"Higher home prices, higher debt levels and how they affect our choices. What do booming housing markets mean for Canadian communities?"
113,Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market,2018-11-30,"Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say",-1,"Mortgage rules now 'overkill' that are hitting millennials particularly hard, home builders say. Canada's home builders are urging the federal government to relax the mortgage rules that have succeeded in cooling the housing market"
90,Newsletter: A closer look at the day's most notable stories,2019-05-27,Why the Fiat Chrysler-Renault merger proposal is more shotgun wedding than fairy-tale romance,0,Why the Fiat Chrysler-Renault merger proposal is more shotgun wedding than fairy-tale romance. Newsletter: A closer look at the day's most notable stories
1,(Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.,2020-05-05,Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund,0,Fiera Capital Limits Redemptions on $1.1 Billion Credit Fund. (Bloomberg) — One of Canada’s biggest money managers is freezing redemptions in a large debt fund and warning that some borrowers may miss interest payments.
35,Liberals' promised tax cut may help 20 million Canadians - but only a little,2019-12-31,Are 2020's tax changes 'significant' or 'a wash'?,0,Are 2020's tax changes 'significant' or 'a wash'?. Liberals' promised tax cut may help 20 million Canadians - but only a little
19,"Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister",2020-02-28,We are not in a crisis': New N.W.T. government delivers $1.9B budget,1,"We are not in a crisis': New N.W.T. government delivers $1.9B budget. Fiscal situation is 'not what was hoped in the last budget but it is manageable,' says finance minister"
115,A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on,2018-11-29,Millennials are no different from their baby boomer parents — they're just poorer,-1,Millennials are no different from their baby boomer parents — they're just poorer. A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on
83,"Trains, trucks deliver pipes to Alberta and B.C. for delayed pipeline project",2019-06-17,We're anxious to get it in the ground': Pipe yards fill ahead of federal decision on Trans Mountain expansion,0,"We're anxious to get it in the ground': Pipe yards fill ahead of federal decision on Trans Mountain expansion. Trains, trucks deliver pipes to Alberta and B.C. for delayed pipeline project"
40,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
97,"Average selling price climbs 1.9% to $820,148",2019-05-06,"Toronto housing market starts buying season with a bang, sales up 17%",1,"Toronto housing market starts buying season with a bang, sales up 17%. Average selling price climbs 1.9% to $820,148"
8,This is an unprecedented time with a significant amount of uncertainty',2020-04-06,"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show",-1,"Alberta's spring housing market falling to COVID-19, energy crisis, statistics show. This is an unprecedented time with a significant amount of uncertainty'"
42,"Canadians living in the North should receive higher rebates to compensate for federal carbon tax, he says",2019-11-28,Nunavut premier calls for bigger carbon tax rebates in the North,0,"Nunavut premier calls for bigger carbon tax rebates in the North. Canadians living in the North should receive higher rebates to compensate for federal carbon tax, he says"
10,"COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak",-1,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak. COVID-19 outbreak leaves both tenants, landlords in precarious financial situation"
4,"Average selling price basically unchanged from February, but sales were way down",2020-04-15,"Home sales fell 14% in March as COVID-19 settled in, CREA says",-1,"Home sales fell 14% in March as COVID-19 settled in, CREA says. Average selling price basically unchanged from February, but sales were way down"
97,"Average selling price climbs 1.9% to $820,148",2019-05-06,"Toronto housing market starts buying season with a bang, sales up 17%",1,"Toronto housing market starts buying season with a bang, sales up 17%. Average selling price climbs 1.9% to $820,148"
47,"Shelters are full, wait lists are long and market rents are too high for most single mothers",2019-11-12,She fled domestic abuse. Now she and her daughter are victims of the housing crisis,1,"She fled domestic abuse. Now she and her daughter are victims of the housing crisis. Shelters are full, wait lists are long and market rents are too high for most single mothers"
92,"Bill 108 meant to spur new homes, but Ottawa sees 'one-size-fits-all' solution",2019-05-24,"Housing bill threatens funds for parks and rec, city fears",0,"Housing bill threatens funds for parks and rec, city fears. Bill 108 meant to spur new homes, but Ottawa sees 'one-size-fits-all' solution"
38,"Some are angry, others are optimistic — but there's no shortage of opinion",2019-12-07,The day after the deal: How do Calgarians feel about funding a new arena?,0,"The day after the deal: How do Calgarians feel about funding a new arena?. Some are angry, others are optimistic — but there's no shortage of opinion"
88,Latest report shows property sales 23 per cent below 10-year average,2019-06-05,Metro Vancouver housing sales remain sluggish in May,-1,Metro Vancouver housing sales remain sluggish in May. Latest report shows property sales 23 per cent below 10-year average
87,Signs that financial strains are higher here in Canada,2019-06-10,Three reasons Canadians will feel the pain of the next recession more than Americans,0,Three reasons Canadians will feel the pain of the next recession more than Americans. Signs that financial strains are higher here in Canada
4,"Average selling price basically unchanged from February, but sales were way down",2020-04-15,"Home sales fell 14% in March as COVID-19 settled in, CREA says",-1,"Home sales fell 14% in March as COVID-19 settled in, CREA says. Average selling price basically unchanged from February, but sales were way down"
18,"Trading leases is perfectly legal, but landlords must sign off on the swap",2020-02-29,Montreal tenants are swapping apartments to avoid rising rents,1,"Montreal tenants are swapping apartments to avoid rising rents. Trading leases is perfectly legal, but landlords must sign off on the swap"
50,"Provincial, municipal policy will have a more direct effect",2019-10-27,What a Liberal minority government means to Vancouver real estate,0,"What a Liberal minority government means to Vancouver real estate. Provincial, municipal policy will have a more direct effect"
39,The board has begun a search to select the next Governor of the Bank,2019-12-06,Bank of Canada governor Stephen Poloz to step down June 2020,0,Bank of Canada governor Stephen Poloz to step down June 2020. The board has begun a search to select the next Governor of the Bank
29,"Canadian home sales dropped in December, but prices continued to rise as demand outstripped a dwindling supply of units available for purchase, particularly in Toronto.",2020-01-15,Dwindling Toronto supply drags Canadian home sales lower,1,"Dwindling Toronto supply drags Canadian home sales lower. Canadian home sales dropped in December, but prices continued to rise as demand outstripped a dwindling supply of units available for purchase, particularly in Toronto."
107,Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check,2019-01-28,Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes,-1,Doug Ford’s fix for Toronto's housing crisis is easy: Just build more homes. Supply side measures that include removing red tape to get more homes built more quickly are seen as a better way to get the affordability in check
115,A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on,2018-11-29,Millennials are no different from their baby boomer parents — they're just poorer,-1,Millennials are no different from their baby boomer parents — they're just poorer. A Federal Reserve paper says there's little evidence millennials have different tastes when it comes to what they spend their money on
114,"'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says",2018-11-30,Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock,-1,"Sidewalk Labs' latest pitch to win over skeptical Toronto: Help for housing gridlock. 'We're making an unprecedented commitment here to below-market housing. Our approach here ensures a truly mixed-income community,' exec says"
105,January saw home sales in Montreal climb the fastest in a decade as lower prices and a booming economy lured buyers,2019-02-19,Montreal poised to overtake Vancouver as Canada’s second largest housing market,1,Montreal poised to overtake Vancouver as Canada’s second largest housing market. January saw home sales in Montreal climb the fastest in a decade as lower prices and a booming economy lured buyers
46,British Columbia to introduce legislation late next year that would establish a joint financial-services and real estate watchdog by spring 2021,2019-11-12,Crackdown on dirty money in Vancouver real estate continues with creation of new watchdog,-1,Crackdown on dirty money in Vancouver real estate continues with creation of new watchdog. British Columbia to introduce legislation late next year that would establish a joint financial-services and real estate watchdog by spring 2021
106,Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years,2019-02-05,"Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low",-1,"Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years"
110,"U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low",2018-12-24,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'",0,"Trump renews attacks on Federal Reserve, calls it the U.S. economy's 'only problem'. U.S. stocks fell back toward their session lows after Trump's outburst, with the S&P 500 Index on track to close at a 19-month low"
81,"Mayor John Tory says 11 sites already identified for conversion to affordable housing, report coming this fall",2019-07-04,Anti-poverty group wants vacant downtown properties turned into affordable housing,1,"Anti-poverty group wants vacant downtown properties turned into affordable housing. Mayor John Tory says 11 sites already identified for conversion to affordable housing, report coming this fall"
69,People are doing things like installing wood-burning stoves ... they're really moving in',2019-08-15,"You aren't allowed to live in your RV year round, regional district warns",0,"You aren't allowed to live in your RV year round, regional district warns. People are doing things like installing wood-burning stoves ... they're really moving in'"
100,"It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm",2019-04-16,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval",-1,"In Vancouver, college kids live like kings in empty mansions: Stories from a real estate market in upheaval. It's a new world for Vancouver's housing market, where Chinese investors are decamping and low-ball offers are the norm"
49,Investors who bet on the equity version of real estate see massive returns,2019-11-07,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better",1,"If you thought Toronto real estate was the best way to get rich, you'd be wrong — stocks have done better. Investors who bet on the equity version of real estate see massive returns"
81,"Mayor John Tory says 11 sites already identified for conversion to affordable housing, report coming this fall",2019-07-04,Anti-poverty group wants vacant downtown properties turned into affordable housing,1,"Anti-poverty group wants vacant downtown properties turned into affordable housing. Mayor John Tory says 11 sites already identified for conversion to affordable housing, report coming this fall"
10,"COVID-19 outbreak leaves both tenants, landlords in precarious financial situation",2020-03-31,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak",-1,"What to do when rent is due? Tenants, landlords face uncertainty amid COVID-19 outbreak. COVID-19 outbreak leaves both tenants, landlords in precarious financial situation"
40,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
95,"A closer reading of the studies show there's little hard evidence of actual money laundering, and even then, the amounts could be much smaller",2019-05-16,Vancouver’s dirty money figures: The smoking gun that wasn’t,1,"Vancouver’s dirty money figures: The smoking gun that wasn’t. A closer reading of the studies show there's little hard evidence of actual money laundering, and even then, the amounts could be much smaller"
15,It was a relief for everybody. At least we can just focus on one thing now: our kids',2020-03-23,"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues",0,"Habitat for Humanity residents given temporary reprieve during pandemic, court battle continues. It was a relief for everybody. At least we can just focus on one thing now: our kids'"
79,Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix,2019-07-11,Canadian and U.S. economies are converging but danger lurks: Don Pittis,-1,Canadian and U.S. economies are converging but danger lurks: Don Pittis. Poloz and Wilkins warn that markets overestimate the power of a rate-cut quick fix
74,"Spending on big ticket items is about to resume, says strategist",2019-07-26,"With the Bank of Canada on hold, watch our $2.19 trillion household debt load grow",0,"With the Bank of Canada on hold, watch our $2.19 trillion household debt load grow. Spending on big ticket items is about to resume, says strategist"
102,"Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,Trudeau's new housing measures could end up crushing sales in an already depressed market,-1,"Trudeau's new housing measures could end up crushing sales in an already depressed market. Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage"
