,description,publishedAt,title,title_desc_sent_1,title_desc
75,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,Chinese yuan falls to 11-year low amid trade tensions,-1,"Chinese yuan falls to 11-year low amid trade tensions. After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs"
28,"Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group.",2020-02-04,Canaccord downgrades Canadian banks amid 'toxic mix' of risks,-1,"Canaccord downgrades Canadian banks amid 'toxic mix' of risks. Canadian banks will continue to underperform in 2020 as declines in lending activity weigh on earnings, according to strategists at Canaccord Genuity who are advising clients to underweight the group."
15,The Bank of England cut interest rates to a record-low 0.1 per cent and added 200 billion pounds (US$230 billion) to its asset-purchase program in its latest emergency action to mitigate the economic impact of the coronavirus pandemic.,2020-03-19,BOE cuts rate in second emergency move to combat virus shock,-1,BOE cuts rate in second emergency move to combat virus shock. The Bank of England cut interest rates to a record-low 0.1 per cent and added 200 billion pounds (US$230 billion) to its asset-purchase program in its latest emergency action to mitigate the economic impact of the coronavirus pandemic.
48,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
40,Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.,2019-12-12,Poloz sees era of low global interest rates amid 'structural forces',-1,Poloz sees era of low global interest rates amid 'structural forces'. Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.
56,"Federal Reserve officials will signal they’re likely to take a break from cutting interest rates after lowering them again next week, according to a majority of economists surveyed by Bloomberg.",2019-10-25,U.S. Fed seen cutting rates next week and then hitting pause button,-1,"U.S. Fed seen cutting rates next week and then hitting pause button. Federal Reserve officials will signal they’re likely to take a break from cutting interest rates after lowering them again next week, according to a majority of economists surveyed by Bloomberg."
19,"Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs",2020-03-10,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta",-1,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta. Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs"
19,"Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs",2020-03-10,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta",-1,"Oil prices take biggest plunge in decades, taking another bite out of reeling Alberta. Alberta Premier Kenney, with softened tone, shifts emphasis from restraint to protection of economy, jobs"
57,'The world economy faces difficult headwinds',2019-10-15,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade,-1,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade. 'The world economy faces difficult headwinds'
103,Former adviser to Bank of Canada is not the only one bearish on the loonie,2019-03-18,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf",-1,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf. Former adviser to Bank of Canada is not the only one bearish on the loonie"
