,description,publishedAt,title,title_desc_sent_1,title_desc
79,"Food sales down 2%, booze and clothing sales down 2.7%",2019-07-19,Surprise slump in retail sales bolsters case that Bank of Canada would follow Fed in rate cut,-1,"Surprise slump in retail sales bolsters case that Bank of Canada would follow Fed in rate cut. Food sales down 2%, booze and clothing sales down 2.7%"
103,Former adviser to Bank of Canada is not the only one bearish on the loonie,2019-03-18,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf",-1,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf. Former adviser to Bank of Canada is not the only one bearish on the loonie"
66,As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,To pay off or borrow more is the question facing Canadians: Don Pittis,0,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?
69,Governor Stephen Poloz to give 1st policy announcement since early July,2019-09-04,"All eyes on Bank of Canada's interest rate decision, view of global economic climate",0,"All eyes on Bank of Canada's interest rate decision, view of global economic climate. Governor Stephen Poloz to give 1st policy announcement since early July"
57,'The world economy faces difficult headwinds',2019-10-15,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade,-1,The IMF cuts its global growth forecast for the fifth time in a row to the weakest in a decade. 'The world economy faces difficult headwinds'
32,"Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists.",2020-01-22,Bank of Canada opens door to rate cut on persistent slowdown,-1,"Bank of Canada opens door to rate cut on persistent slowdown. Stephen Poloz, one of the few central bankers to resist the global push toward easier monetary policy last year, said the door is open for the Bank of Canada to cut interest rates if the current economic slowdown persists."
71,Money will go toward seven large projects already approved,2019-08-15,Greater Sudbury borrowing $205M for large projects,0,Greater Sudbury borrowing $205M for large projects. Money will go toward seven large projects already approved
102,The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately,2019-03-29,Canada emerges from slump with best growth gain in eight months,1,Canada emerges from slump with best growth gain in eight months. The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately
54,Rebound predicted after low 2019 numbers,2019-10-25,CMHC predicts moderate Sask. housing market rebound in next year,1,CMHC predicts moderate Sask. housing market rebound in next year. Rebound predicted after low 2019 numbers
91,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,Federal Reserve holds key interest rate steady — but its patience is wearing thin,1,Federal Reserve holds key interest rate steady — but its patience is wearing thin. U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%
31,Stakeholders make final arguments for and against $92M plan before EUB,2020-01-22,NB Power's smart meter plan gets major boost with critical endorsements,0,NB Power's smart meter plan gets major boost with critical endorsements. Stakeholders make final arguments for and against $92M plan before EUB
91,U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%,2019-06-19,Federal Reserve holds key interest rate steady — but its patience is wearing thin,1,Federal Reserve holds key interest rate steady — but its patience is wearing thin. U.S. central bank keeps benchmark rate in range between 2.25% and 2.5%
102,The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately,2019-03-29,Canada emerges from slump with best growth gain in eight months,1,Canada emerges from slump with best growth gain in eight months. The unexpected gain paints a much less bleak picture for an economy than we have been seeing lately
50,Losses of $10.9 million were subsidized by a Crown corporation's earnings,2019-11-20,"Trans Mountain received $320M in government subsidies in 2019, report finds",1,"Trans Mountain received $320M in government subsidies in 2019, report finds. Losses of $10.9 million were subsidized by a Crown corporation's earnings"
103,Former adviser to Bank of Canada is not the only one bearish on the loonie,2019-03-18,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf",-1,"Canadian dollar could sink to record low of 62 cents as economy slides closer to recession, says David Wolf. Former adviser to Bank of Canada is not the only one bearish on the loonie"
50,Losses of $10.9 million were subsidized by a Crown corporation's earnings,2019-11-20,"Trans Mountain received $320M in government subsidies in 2019, report finds",1,"Trans Mountain received $320M in government subsidies in 2019, report finds. Losses of $10.9 million were subsidized by a Crown corporation's earnings"
48,"Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,Canadian economy faces a prolonged period of sluggish growth,-1,"Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels"
3,"(Bloomberg) — HSBC Holdings Plc, one of the largest players in the gold market, was caught out in March as lockdowns disrupted physical shipments of bullion and caused prices to ...",2020-05-06,HSBC Reveals It Was Caught Out as Lockdowns Snarled Gold Market,0,"HSBC Reveals It Was Caught Out as Lockdowns Snarled Gold Market. (Bloomberg) — HSBC Holdings Plc, one of the largest players in the gold market, was caught out in March as lockdowns disrupted physical shipments of bullion and caused prices to ..."
