,description,publishedAt,title,title_desc_sent_1,title_desc
124,"With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN.",2017-07-10,What a rate hike could mean for Canada’s hot housing markets,1,"What a rate hike could mean for Canada’s hot housing markets. With all eyes turned toward the Bank of Canada’s interest rate decision on Wednesday, some of Canada’s top housing minds analyzed what a potential rise in rates might mean for the nation’s hot housing markets. Here’s what they told BNN."
100,"Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,Trudeau's new housing measures could end up crushing sales in an already depressed market,-1,"Trudeau's new housing measures could end up crushing sales in an already depressed market. Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage"
38,Volcker tamed inflation in the 80s and later inspired tough Wall Street reforms,2019-12-09,"Paul Volcker, U.S. Federal Reserve's former chief, dead at 92",0,"Paul Volcker, U.S. Federal Reserve's former chief, dead at 92. Volcker tamed inflation in the 80s and later inspired tough Wall Street reforms"
90,60-unit development finds home near École François-Buote,2019-06-03,Construction finally underway on new affordable housing complex in Charlottetown,0,Construction finally underway on new affordable housing complex in Charlottetown. 60-unit development finds home near École François-Buote
52,"People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says",1,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says"
116,"Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher.",2018-05-08,BMO offers record variable discount as mortgage wars heat up,-1,"BMO offers record variable discount as mortgage wars heat up. Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher."
90,60-unit development finds home near École François-Buote,2019-06-03,Construction finally underway on new affordable housing complex in Charlottetown,0,Construction finally underway on new affordable housing complex in Charlottetown. 60-unit development finds home near École François-Buote
38,Volcker tamed inflation in the 80s and later inspired tough Wall Street reforms,2019-12-09,"Paul Volcker, U.S. Federal Reserve's former chief, dead at 92",0,"Paul Volcker, U.S. Federal Reserve's former chief, dead at 92. Volcker tamed inflation in the 80s and later inspired tough Wall Street reforms"
107,"Additionally, almost three in 10 respondents use such lines of credit at least some of the time to make payments on other debt",2019-01-15,A quarter of Canadians with home equity lines of credit are paying only the interest on their loans: survey,-1,"A quarter of Canadians with home equity lines of credit are paying only the interest on their loans: survey. Additionally, almost three in 10 respondents use such lines of credit at least some of the time to make payments on other debt"
32,'Expect further acceleration in 2020 if there is no relief on the supply front',2020-01-07,Tight Toronto housing market pushes prices to record highs with biggest gains in three years,1,Tight Toronto housing market pushes prices to record highs with biggest gains in three years. 'Expect further acceleration in 2020 if there is no relief on the supply front'
97,TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility,2019-04-30,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says",1,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says. TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility"
17,Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.,2020-03-13,OSFI unleashes $300B in lending capacity,-1,OSFI unleashes $300B in lending capacity. Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.
81,Increase in home sales backed by record-setting month in May,2019-07-05,Houses in New Brunswick selling at unusually fast rate,1,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May
108,"Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney",1,"It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers"
28,"Low vacancy rate meant that in some areas, only 1 in 1,000 apartments was available",2020-01-31,When Halifax was running out of rental apartments in the mid-1980s,0,"When Halifax was running out of rental apartments in the mid-1980s. Low vacancy rate meant that in some areas, only 1 in 1,000 apartments was available"
97,TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility,2019-04-30,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says",1,"Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says. TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility"
45,Strength of western provinces shows sustained national recovery,2019-11-15,Canadian housing once again driving our economy even as Toronto stumbles,1,Canadian housing once again driving our economy even as Toronto stumbles. Strength of western provinces shows sustained national recovery
75,"New stock, new uses driving prices",2019-07-31,How Charlottetown has become one of the hottest housing markets in Canada,1,"How Charlottetown has become one of the hottest housing markets in Canada. New stock, new uses driving prices"
56,Not yet clear if PM Antonio Costa's party gained enough seats for majority,2019-10-06,Portugal's ruling Socialists top general election,0,Portugal's ruling Socialists top general election. Not yet clear if PM Antonio Costa's party gained enough seats for majority
36,Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely,2019-12-11,"U.S. Federal Reserve holds rates steady, expects moderate growth next year",0,"U.S. Federal Reserve holds rates steady, expects moderate growth next year. Fed policy makers signalled borrowing costs likely to remain unchanged indefinitely"
112,Canada’s home builders are urging the federal government to loosen mortgage-lending restrictions that have helped cool housing markets this year.,2018-11-30,"Time to relax mortgage regulations, Canada home builders urge",0,"Time to relax mortgage regulations, Canada home builders urge. Canada’s home builders are urging the federal government to loosen mortgage-lending restrictions that have helped cool housing markets this year."
41,Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,Toronto home prices grow at fastest pace in two years,1,Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply
