,description,publishedAt,title,title_desc_sent_1,title_desc
9,The week is ending on an upbeat note after the White House set guidelines to reopen the economy,2020-04-17,Stocks surge higher on report that Gilead drug is helping COVID-19 patients,1,Stocks surge higher on report that Gilead drug is helping COVID-19 patients. The week is ending on an upbeat note after the White House set guidelines to reopen the economy
36,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,HBC shares up on news of likely takeover deal,1,HBC shares up on news of likely takeover deal. Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price
111,Stocks go south and President Donald Trump goes quiet.,2018-12-06,Trump hasn’t tweeted about the stock market since Nov. 12,-1,Trump hasn’t tweeted about the stock market since Nov. 12. Stocks go south and President Donald Trump goes quiet.
105,Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years,2019-02-05,"Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low",-1,"Mortgage growth, the bread and butter of Canadian banks, has shrunk to 17-year low. Investors urged to ‘recalibrate’ their expectations to what is arguably one of the most important trends in the industry in years"
78,"After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs",2019-08-05,Chinese yuan falls to 11-year low amid trade tensions,0,"Chinese yuan falls to 11-year low amid trade tensions. After Trump pledges more tariffs, China allows currency to fall and threatens agricultural tariffs"
24,Heavy selling may have contributed to the technical problem,2020-02-28,TSX ready for opening bell after early close yesterday over technical issue,0,TSX ready for opening bell after early close yesterday over technical issue. Heavy selling may have contributed to the technical problem
116,The rout in Chinese equities is throwing the spotlight on US$613 billion of shares pledged as collateral for loans.,2018-10-16,China’s stock rout puts US$613B of share pledges at risk,-1,China’s stock rout puts US$613B of share pledges at risk. The rout in Chinese equities is throwing the spotlight on US$613 billion of shares pledged as collateral for loans.
17,The individualism the U.S. was founded on might not serve it well in the current public health crisis,2020-03-23,Coronavirus puts a spotlight on the moral compass of America,0,Coronavirus puts a spotlight on the moral compass of America. The individualism the U.S. was founded on might not serve it well in the current public health crisis
5,U.S. and China in spat over origin of the coronavirus,2020-05-04,"Stocks are falling today as investors worry rise in China, U.S. tensions will derail rebound",-1,"Stocks are falling today as investors worry rise in China, U.S. tensions will derail rebound. U.S. and China in spat over origin of the coronavirus"
36,Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price,2020-01-06,HBC shares up on news of likely takeover deal,1,HBC shares up on news of likely takeover deal. Baker group poised to gain control of retailer after agreeing to Catalyst Capital's higher asking price
