,description,publishedAt,title,title_desc_sent_1,title_desc
44,"More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?",2019-12-09,Hamilton looks at an empty homes tax to ward off speculators and help local rents,0,"Hamilton looks at an empty homes tax to ward off speculators and help local rents. More than half of vacant Vancouver homes are back on the market, but can it work in Hamilton?"
4,"With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-05-05,"CERB, CESB and negative interest rates: Ask BNN Bloomberg answers your personal finance questions",-1,"CERB, CESB and negative interest rates: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day."
53,"Trump said the U.S. is close to signing a ""phase one"" trade deal with China",2019-11-12,Trump barks at Fed but offers no fresh details on trade in speech,0,"Trump barks at Fed but offers no fresh details on trade in speech. Trump said the U.S. is close to signing a ""phase one"" trade deal with China"
42,Central bank kept key interest rate on hold last week at 1.75 per cent,2019-12-12,"Bank of Canada's Poloz says global growth to remain slow, low global interest rates",-1,"Bank of Canada's Poloz says global growth to remain slow, low global interest rates. Central bank kept key interest rate on hold last week at 1.75 per cent"
10,Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm,-1,Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself
85,Lagarde becomes the first woman to run euro-area monetary policy,2019-07-02,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens,0,Christine Lagarde to succeed Mario Draghi as ECB chief just as economy weakens. Lagarde becomes the first woman to run euro-area monetary policy
72,"Gold has risen 4.3 per cent this week, the largest increase since April 2016",2019-08-09,"'The genie is out of the bottle': Gold is having its best week in 3 years after breaching $1,500",0,"'The genie is out of the bottle': Gold is having its best week in 3 years after breaching $1,500. Gold has risen 4.3 per cent this week, the largest increase since April 2016"
94,Most analysts predict rates won't rise again until next year at the earliest,2019-05-28,Bank of Canada set to keep rates on hold today — and won't hike until at least after the election,0,Bank of Canada set to keep rates on hold today — and won't hike until at least after the election. Most analysts predict rates won't rise again until next year at the earliest
36,Debt from all sectors — ranging from household to government to corporate bonds — has surged,2020-01-13,Global debt-to-GDP ratio has now hit an all-time high of 322%,0,Global debt-to-GDP ratio has now hit an all-time high of 322%. Debt from all sectors — ranging from household to government to corporate bonds — has surged
11,"Provinces need help to keep costs of COVID-19 down, Manitoba premier says",2020-04-06,Pallister repeats call for Ottawa to borrow on behalf of provinces,0,"Pallister repeats call for Ottawa to borrow on behalf of provinces. Provinces need help to keep costs of COVID-19 down, Manitoba premier says"
40,Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.,2019-12-12,Poloz sees era of low global interest rates amid 'structural forces',-1,Poloz sees era of low global interest rates amid 'structural forces'. Bank of Canada Governor Stephen Poloz said he expects global interest rates to remain low for years to come due to the effects of structural forces such as sluggish productivity and population growth.
26,"In 2019, shares of the banks gained 14 per cent; life insurers, on the other hand, enjoyed a 40 per cent surge",2020-02-06,Canada’s once-loved bank stocks are being left behind for a new favourite: Life insurers,0,"Canada’s once-loved bank stocks are being left behind for a new favourite: Life insurers. In 2019, shares of the banks gained 14 per cent; life insurers, on the other hand, enjoyed a 40 per cent surge"
95,Some see the loonie falling below 74 cents after the central bank’s rate decision this week,2019-05-27,Markets are more gloomy about our economy than the Bank of Canada — who’s right?,0,Markets are more gloomy about our economy than the Bank of Canada — who’s right?. Some see the loonie falling below 74 cents after the central bank’s rate decision this week
104,"Even after one of the most storied careers in financial markets, Bill Gross has a few surprises left",2019-03-01,Bill Gross says this secret condition made him a successful investor — and infamously short-tempered,0,"Bill Gross says this secret condition made him a successful investor — and infamously short-tempered. Even after one of the most storied careers in financial markets, Bill Gross has a few surprises left"
18,"Kathy Dunderdale, premier at time of project's sanctioning, says it's 'difficult' to read report",2020-03-11,An unrepentant Ed Martin goes on the attack in response to Muskrat Falls inquiry report,0,"An unrepentant Ed Martin goes on the attack in response to Muskrat Falls inquiry report. Kathy Dunderdale, premier at time of project's sanctioning, says it's 'difficult' to read report"
0,"Like all provinces, Manitoba has been hit by rising health-care costs, drop in tax revenues during pandemic",2020-05-16,"Manitoba premier cites high debt load, uncertainty for workforce cuts",-1,"Manitoba premier cites high debt load, uncertainty for workforce cuts. Like all provinces, Manitoba has been hit by rising health-care costs, drop in tax revenues during pandemic"
62,"If the Canadian housing market had a spirit animal, a cat could be fitting.",2019-09-20,Lower rates giving Canadian housing 'nine lives': CIBC's Tal,-1,"Lower rates giving Canadian housing 'nine lives': CIBC's Tal. If the Canadian housing market had a spirit animal, a cat could be fitting."
112,Trump suggested the central bank has no reason to move because inflation is low and the U.S. currency is strong,2018-12-17,Trump blasts Fed on eve of policy meeting for 'even considering' another interest rate hike,0,Trump blasts Fed on eve of policy meeting for 'even considering' another interest rate hike. Trump suggested the central bank has no reason to move because inflation is low and the U.S. currency is strong
76,Quebec banks require a two per cent minimum payment and more provinces could follow suit,2019-08-04,Why increasing minimum credit card payments could be beneficial,1,Why increasing minimum credit card payments could be beneficial. Quebec banks require a two per cent minimum payment and more provinces could follow suit
101,Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon,2019-04-01,"Stephen Poloz confident slowdown is temporary, but low rates still needed",-1,"Stephen Poloz confident slowdown is temporary, but low rates still needed. Governor’s speech suggests Bank of Canada rates won’t be moving up or down any time soon"
68,The number of market-moving Trump tweets has ballooned in the past month,2019-09-09,Donald Trump’s tweets are moving markets. So JPMorgan created a ‘Volfefe’ index to track the impact,0,Donald Trump’s tweets are moving markets. So JPMorgan created a ‘Volfefe’ index to track the impact. The number of market-moving Trump tweets has ballooned in the past month
89,There's a raft of bullish factors for the precious metal right now,2019-06-24,"Gold is still gaining today, bringing prices near the highest level since 2013 with bulls 'back in control'",0,"Gold is still gaining today, bringing prices near the highest level since 2013 with bulls 'back in control'. There's a raft of bullish factors for the precious metal right now"
115,The update will likely include incentives for capital investment but not an across-the-board reduction in corporate taxes,2018-11-19,This week’s fiscal update will have Trudeau seeking redemption from a frustrated business community,0,This week’s fiscal update will have Trudeau seeking redemption from a frustrated business community. The update will likely include incentives for capital investment but not an across-the-board reduction in corporate taxes
12,"Ontario projects between 3,000 and 15,000 deaths over 18-24 months of pandemic",2020-04-04,Coronavirus: What's happening in Canada and around the world on April 3,0,"Coronavirus: What's happening in Canada and around the world on April 3. Ontario projects between 3,000 and 15,000 deaths over 18-24 months of pandemic"
