,description,publishedAt,title,title_desc_sent_1,title_desc
115,HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales.,2018-05-16,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews",-1,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews. HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales."
46,Number of new houses being built plummets by nearly 16%,2019-11-15,New house prices drop even more in Calgary,-1,New house prices drop even more in Calgary. Number of new houses being built plummets by nearly 16%
6,"Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,"B.C. home sales to fall by 40 per cent but comeback is likely, report says",-1,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says"
8,"Initial demand may have been fuelled by unwarranted homeowner fears that the relief program was a 'first-come, first-serve' limited-time offer",2020-04-13,Mortgage relief requests ease up as homeowners 'catch their breath' and take stock of finances,-1,"Mortgage relief requests ease up as homeowners 'catch their breath' and take stock of finances. Initial demand may have been fuelled by unwarranted homeowner fears that the relief program was a 'first-come, first-serve' limited-time offer"
7,"With economic activity diving in Canada, just how bad will it get?",2020-04-15,Recession or depression? Canada's economy is in for a rough spring,-1,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?"
79,"The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes.",2019-07-11,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO",-1,"Feds should assess housing 'broadly,' revisit mortgage rules: ATB CEO. The chief executive of Alberta-based bank ATB Financial is calling on the federal government to revisit controversial mortgage rules introduced in January 2018, saying the regulations are holding back some Canadians from buying homes."
115,HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales.,2018-05-16,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews",-1,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews. HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales."
60,Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather,-1,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades
83,A new wave of supply is also dampening growth,2019-06-28,Toronto condo prices see weakest growth in 5 years as tight lending rules bite,-1,Toronto condo prices see weakest growth in 5 years as tight lending rules bite. A new wave of supply is also dampening growth
63,As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,To pay off or borrow more is the question facing Canadians: Don Pittis,-1,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?
8,"Initial demand may have been fuelled by unwarranted homeowner fears that the relief program was a 'first-come, first-serve' limited-time offer",2020-04-13,Mortgage relief requests ease up as homeowners 'catch their breath' and take stock of finances,-1,"Mortgage relief requests ease up as homeowners 'catch their breath' and take stock of finances. Initial demand may have been fuelled by unwarranted homeowner fears that the relief program was a 'first-come, first-serve' limited-time offer"
