,Unnamed: 0,source,title_desc,publishedAt,title_desc_sent_1
18,18,CBC,"Oil plunge, coronavirus fears prompt panic selling on stock markets. Oil prices fall as much as 30 per cent; stock markets halted and bond yields plunge",2020-03-09,-1
104,104,Bloomberg News,"Housing slump in Canada prompts calls to loosen mortgage rules. Federal officials should revisit lending rules that were introduced last year, as the housing market rapidly cools and first-time buyers find it increasingly difficult to buy a home, industry groups say.",2019-02-05,-1
10,10,CBC,Canadian real estate markets hit hard by pandemic. Tough times are forecast after COVID-19 measures slow sales,2020-04-09,-1
52,52,CBC,"1 in 5 homes in Canada bought by newcomers, Royal LePage survey says. People new to Canada contribute 'significantly' to real estate demand, CEO says",2019-10-16,1
95,95,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",How much do we owe against our homes? Not even the Bank of Canada knows for sure. It's one of the biggest questions hanging over Canada's record household debt,2019-05-09,0
115,115,Bloomberg News,"HSBC undercuts BMO, TD on 5-year rates as mortgage fight brews. HSBC Canada cut its five-year variable mortgage rate to 2.39 per cent as banks compete for customers amid a slump in home sales.",2018-05-16,-1
76,76,CBC,"U.S. central bank cuts interest rate for 1st time since 2008. Move trims U.S. rate by quarter point to 2.25%, closer to Bank of Canada's",2019-07-31,-1
88,88,CBC,"Trade war darkens economic forecasts for Canada. National Bank, Bank of America Merrill Lynch cut growth forecasts for 2019",2019-06-04,-1
70,70,CBC,The Goldilocks president says he wants to keep the boom alive: Don Pittis. Europe and China are also seeking just-right ways to stave off recession,2019-08-26,0
41,41,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto home prices grow at fastest pace in two years. Realtors are cautioning values could continue rising given the dearth of listings and supply,2019-12-04,1
80,80,CBC,Moncton gets fair share of real estate boom. Home sales in Moncton are up 23.7 per cent compared to the first five months of 2018,2019-07-11,1
102,102,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto Real Estate Board calls for looser mortgage rules as monthly sales drop most in a year. Realtors warn of ‘hit to the economy’ in the billions of dollars if declines continue,2019-03-05,-1
61,61,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Don't-pay-til-you-die reverse mortgages are booming in Canada as seniors binge on debt. Already carrying debt, many seniors can't downsize because they can't afford high rents, so turn to reverse mortgages for a new source of income",2019-09-16,0
13,13,BNN Bloomberg,"Mortgage market sees flurry of activity amid low rates, virus uncertainty. A perfect storm of lower interest rates, widespread layoffs and economic uncertainty brought on by the COVID-19 outbreak has sent the mortgage finance market into overdrive.",2020-03-27,-1
119,119,Bloomberg News,"Bank of America said to explore Canada's uninsured MBS market. Bank of America Corp. (BAC.N) is looking at packaging riskier Canadian mortgages into bonds, as rules designed to cool the housing market may spur demand for the securities.",2018-02-07,0
99,99,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canadian home sales remain at lowest levels in six years. Sales down 4.6% and prices fell 0.5% from a year earlier,2019-04-15,-1
71,71,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","A Bank of Canada rate cut is looking more likely and the first could come as early as September. A slowing economy and growing trade tensions suggest a cut will happen more quickly than currently accounted for, Macquarie economist says",2019-08-20,-1
108,108,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","It’s not just Vancouver: Property market slump goes global, jolting cities from Hong Kong to Sydney. Rising borrowing costs, increased government regulation and volatile stock markets playing a role, along with dwindling demand from Chinese buyers",2019-01-04,1
110,110,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto new home prices see biggest 12-month drop in more than two decades. Further evidence that tighter mortgage lending has slowed a boom in Canada's biggest city,2018-12-13,-1
46,46,CBC,New house prices drop even more in Calgary. Number of new houses being built plummets by nearly 16%,2019-11-15,-1
42,42,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Royal Bank of Canada misses expectations in tough times for investment banking. Royal Bank of Canada’s record-breaking profit engine may be running out of steam,2019-12-04,0
60,60,CBC,Trudeau promises $40K interest-free loans to make homes energy efficient and safer from severe weather. Liberals offer retrofit program to assist 1.5 million homes with upgrades,2019-09-26,-1
93,93,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Canada’s biggest banks are finding their growth everywhere but Canada. Domestic banking is no longer the engine driving profit growth,2019-05-24,-1
32,32,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Tight Toronto housing market pushes prices to record highs with biggest gains in three years. 'Expect further acceleration in 2020 if there is no relief on the supply front',2020-01-07,1
118,118,Bloomberg News,‘Dr. Debt’ warns Canadians need to get financial houses in order. Scott Hannah says low borrowing costs and rising home prices have lured Canadians into a debt trap they may not escape if looming economic threats materialize.,2018-04-12,-1
7,7,CBC,"Recession or depression? Canada's economy is in for a rough spring. With economic activity diving in Canada, just how bad will it get?",2020-04-15,-1
44,44,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canadian economy faces a prolonged period of sluggish growth. Canada's growth engines are sputtering, from investment and exports to weakening consumption as households cope with high debt levels",2019-11-28,-1
87,87,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto home sales surge back to highest levels since 2017 — that's pre-stress test. That is just before new mortgage stress test came into place,2019-06-05,1
17,17,Bloomberg News,OSFI unleashes $300B in lending capacity. Canada’s banking regulator has halted talks on changing its mortgage stress test as it eases capital requirements to free up $300 billion (US$215 billion) of lending capacity to help ensure financial stability during the coronavirus pandemic.,2020-03-13,-1
98,98,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","The Canadian dollar has been on a tear this year, but it's bullish run might be about to end. The loonie's resiliency could soon be tested if crude loses momentum",2019-04-15,0
11,11,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Michael Burry of 'The Big Short' slams coronavirus lockdowns in tweetstorm. Burry says lockdowns intended to contain the pandemic are worse than the disease itself,2020-04-07,-1
81,81,CBC,Houses in New Brunswick selling at unusually fast rate. Increase in home sales backed by record-setting month in May,2019-07-05,1
5,5,BNN Bloomberg,"Students, small businesses and seniors: Ask BNN Bloomberg answers your personal finance questions. With growing economic uncertainty during the COVID-19 pandemic, the financial landscape is shifting every day.",2020-04-28,0
123,123,BNN Bloomberg,Canada's banks increase prime lending rates. Canada’s big banks increased their prime lending rates on Wednesday.,2017-07-13,1
107,107,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","A quarter of Canadians with home equity lines of credit are paying only the interest on their loans: survey. Additionally, almost three in 10 respondents use such lines of credit at least some of the time to make payments on other debt",2019-01-15,-1
78,78,CBC,Sewer backup causes headache for London woman faced with repair bill from city. Karen Ramsay wrote to the city's civic works committee for help dealing with the cost to repair sewer line,2019-07-25,0
40,40,CBC,Secret' memo outlines tools the finance department and Bank of Canada could use in a recession. Economists say Ottawa needs a new playbook to tackle the next global recession,2019-12-06,-1
66,66,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Ottawa’s homebuyer plan not a big help in Canada’s pricey markets. The maximum purchase price of $565,000 puts many markets out of reach",2019-09-03,-1
97,97,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Scrapping mortgage rules would boost Canadian home prices by about $32,000, TD says. TD says impact of rules have been longer-lasting and more significant than originally intended and government should consider flexibility",2019-04-30,1
63,63,CBC,To pay off or borrow more is the question facing Canadians: Don Pittis. As recession threatens and an election beckons is it time for us to borrow or time to shuck debt?,2019-09-12,-1
109,109,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Higher interest rates pushing more Canadians to seek debt relief as business booms for insolvency trustees. Record debt burdens, rising borrowing costs and, in some cases, bigger payday loans are driving many Canadians to insolvency",2018-12-20,1
57,57,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Canada's housing market has come roaring back this fall, complete with black-tie condo launches. One real estate broker says he sold 30 condos in one weekend",2019-10-04,1
105,105,Bloomberg News,"Regulator OSFI opens door to easing Canadian mortgage rules. Canada’s banking regulator defended tougher mortgage underwriting rules blamed recently for a slump in the nation’s housing market, but left open the possibility that regulations could ease if conditions change.",2019-02-05,0
106,106,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Stress tests on private lenders not being considered, Morneau says. Finance Minister said he's not considering any additional regulations to address the growth of private mortgage lenders",2019-01-28,0
29,29,CBC,"Rental vacancies up in Ottawa, but so's the rent. 2-bedroom units in city's west end led surge in rental prices in 2019",2020-01-16,1
75,75,CBC,"How Charlottetown has become one of the hottest housing markets in Canada. New stock, new uses driving prices",2019-07-31,1
103,103,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Asset-rich but cash-poor: Elon Musk recently took out five monster mortgages worth $61 million. Even the wealthiest people use mortgages to maintain liquidity,2019-02-22,0
62,62,CBC,"Investors who lost millions in syndicated mortgages call for changes at law society. Lawyers failed to explain fine print, commission rates, investors allege",2019-09-13,0
83,83,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Toronto condo prices see weakest growth in 5 years as tight lending rules bite. A new wave of supply is also dampening growth,2019-06-28,-1
68,68,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Bond yields just sank to record lows again, but this time markets aren't panicking. Wednesday's drop appears driven by technical factors, such as investors needing to add long-term bonds as a hedge, not anxiety about the economy",2019-08-28,-1
100,100,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}","Trudeau's new housing measures could end up crushing sales in an already depressed market. Help for first-time homebuyers doesn't come into effect until the fall, meaning some might hold off on jumping into real estate until they can take advantage",2019-03-21,-1
85,85,CBC,"Office buildings turn to apartments, bring downtown Calgary back to life. Calgary and Edmonton's young demographics make it a good fit for creating new rental units",2019-06-18,0
3,3,CBC,"Condo vacancies rise, rents fall as pandemic crushes GTA's short-term rental market. A surge in listings, fewer renters means more competition for landlords",2020-05-01,-1
117,117,Bloomberg News,Mortgage growth in Canada hasn't been this weak since 2001. Canada’s mortgage growth has fallen to the lowest in nearly two decades as interest rates rise and after new mortgage rules took effect at the start of the year.,2018-05-01,1
50,50,CBC,Home sales surged in Vancouver area in October. Real estate board says lower prices helped boost sales by 45.4% over 2018,2019-11-05,1
6,6,CBC,"B.C. home sales to fall by 40 per cent but comeback is likely, report says. Provincial economy expected to shrink by 4 per cent, economist says",2020-04-20,-1
54,54,CBC,"Pace of housing starts slowed in September, CMHC reports. Canada Mortgage and Housing Corp. says seasonally adjusted annual rate fell 2.5% compared with August",2019-10-08,-1
49,49,CBC,"Annual pace of housing starts slowed to 201,973 in October, CMHC reports. Canada Mortgage and Housing Corp. says pace of new construction down with fewer multi-unit projects begun",2019-11-08,-1
23,23,"{'id': 'fp-bloomberg-news', 'name': 'Bloomberg News From FP'}",Easier mortgage rules won't fix Canada’s housing crisis. Economists at two of Canada's largest banks say the solution lies in housing supply,2020-02-25,0
4,4,CBC,U.S. Federal Reserve leaves rates near zero as COVID-19 savages U.S. economy. Economists forecast sharpest downturn in U.S. history this quarter,2020-04-29,0
34,34,CBC,"Canada's unemployment rate climbs to 5.9%. Regionally, Quebec suffered the biggest decline in jobs from the previous month",2020-01-06,-1
116,116,Bloomberg News,"BMO offers record variable discount as mortgage wars heat up. Bank of Montreal is wooing homebuyers with a variable mortgage rate with the biggest discount ever by a large Canadian bank, according to one market watcher.",2018-05-08,-1
