"Labour force characteristics by sex and detailed age group, monthly, unadjusted for seasonality (x 1,000)" 1
"Monthly"
"Table: 14-10-0017-01 (formerly CANSIM 282-0001)"
"Geography: Canada, Province or territory"

"","","Canada",,,,,,,,,,,,,,,
"","","Employment 3",,,,,,,,,,,,,,,
"Sex","Age group","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020"
"",,"Persons",,,,,,,,,,,,,,,
"Both sexes","15 years and over","18,569.8","18,662.0","18,664.7","18,852.4","19,237.9","19,392.9","19,283.8","19,317.9","19,248.8","19,238.8","19,103.3","19,096.4","18,838.6","18,917.1","17,856.6","16,011.4"
,"15 to 24 years","2,300.5","2,336.2","2,354.3","2,405.7","2,601.9","2,708.1","2,849.3","2,845.3","2,447.5","2,461.1","2,444.9","2,446.0","2,359.5","2,398.1","2,005.0","1,565.9"
,"25 years and over","16,269.3","16,325.8","16,310.4","16,446.6","16,636.0","16,684.8","16,434.5","16,472.6","16,801.4","16,777.7","16,658.5","16,650.4","16,479.0","16,519.0","15,851.6","14,445.4"
,"25 to 44 years","8,268.1","8,295.6","8,254.0","8,327.4","8,421.5","8,452.9","8,334.0","8,351.3","8,504.4","8,522.4","8,490.8","8,498.8","8,419.8","8,438.6","8,117.6","7,321.6"
,"45 to 64 years","7,120.3","7,132.7","7,145.9","7,206.7","7,302.3","7,330.7","7,229.1","7,222.2","7,379.0","7,308.8","7,257.4","7,219.7","7,141.2","7,166.5","6,884.0","6,335.7"
,"45 years and over","8,001.2","8,030.2","8,056.4","8,119.2","8,214.5","8,231.9","8,100.5","8,121.3","8,297.0","8,255.3","8,167.6","8,151.6","8,059.3","8,080.4","7,734.0","7,123.9"
,"25 to 54 years","12,232.0","12,264.5","12,225.7","12,317.8","12,464.3","12,480.3","12,320.0","12,328.6","12,561.1","12,501.9","12,445.8","12,443.4","12,317.9","12,344.9","11,882.9","10,826.7"
,"55 years and over","4,037.3","4,061.3","4,084.7","4,128.8","4,171.6","4,204.4","4,114.6","4,144.0","4,240.3","4,275.8","4,212.7","4,207.0","4,161.2","4,174.1","3,968.7","3,618.7"
,"15 to 64 years","17,689.0","17,764.5","17,754.2","17,939.8","18,325.7","18,491.7","18,412.4","18,418.8","18,330.8","18,292.3","18,193.1","18,164.5","17,920.5","18,003.2","17,006.6","15,223.2"
,"15 to 19 years","791.7","802.7","783.1","802.7","857.7","912.4","1,055.9","1,038.9","816.8","814.5","791.8","811.1","778.6","790.8","619.1","465.4"
,"20 to 24 years","1,508.8","1,533.5","1,571.2","1,603.0","1,744.2","1,795.7","1,793.4","1,806.4","1,630.7","1,646.5","1,653.0","1,634.9","1,580.9","1,607.3","1,385.9","1,100.5"
,"25 to 29 years","2,083.5","2,079.9","2,068.6","2,092.0","2,128.4","2,121.0","2,106.3","2,127.4","2,140.5","2,135.9","2,113.0","2,134.1","2,076.6","2,082.6","1,987.2","1,725.0"
,"30 to 34 years","2,075.4","2,074.8","2,059.5","2,090.9","2,116.6","2,129.9","2,105.7","2,105.1","2,145.5","2,152.4","2,146.7","2,150.4","2,136.3","2,149.1","2,066.8","1,879.3"
