"Funds advanced, outstanding balances, and interest rates for new and existing lending, Bank of Canada" 1 2 3 4 5 6
"Monthly"
"Table: 10-10-0006-01 (formerly CANSIM 176-0091)"
"Geography: Canada"

"","","Canada",,,,,,,,,,,,,
"Components","Unit of measure","January 2019","February 2019","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020"
"Total, funds advanced, residential mortgages, insured 7","Dollars  (x 1,000,000)","5,916","5,844","6,529","8,195","10,357","11,752","12,310","11,008","10,072","10,248","9,744","8,043","7,572","7,970"
,"Interest rate","3.84","3.82","3.76","3.59","3.45","3.33","3.22","3.16","3.12","3.12","3.13","3.23","3.24","3.19"
"Variable rate, funds advanced, residential mortgages, insured","Dollars  (x 1,000,000)","955","781","783","748","761","640","554","463","382","363","374","384","366","422"
,"Interest rate","3.52","3.66","3.75","3.82","3.90","3.99","4.08","4.15","4.17","4.19","4.01","3.97","3.91","3.93"
"Fixed rate, funds advanced, residential mortgages, insured, less than 1  year","Dollars  (x 1,000,000)","635","630","685","793","896","952","904","800","735","797","746","708","662","606"
,"Interest rate","5.60","5.45","5.44","5.59","5.57","5.69","5.76","5.61","5.70","5.64","5.52","5.48","5.40","5.31"
"Fixed rate, funds advanced, residential mortgages, insured, from 1  to less than 3 years","Dollars  (x 1,000,000)","1,157","1,261","1,425","1,993","2,218","1,681","1,569","1,394","1,395","1,314","1,078","939","925","1,090"
,"Interest rate","3.62","3.58","3.54","3.33","3.27","3.36","3.34","3.31","3.25","3.23","3.32","3.40","3.40","3.36"
"Fixed rate, funds advanced, residential mortgages, insured, from 3 to less than 5 years","Dollars  (x 1,000,000)","1,099","837","1,052","1,526","2,235","3,939","3,801","3,093","2,359","2,402","2,034","1,681","1,685","1,698"
,"Interest rate","3.63","3.58","3.45","3.23","3.09","2.94","2.87","2.83","2.78","2.79","2.85","2.89","2.92","2.89"
"Fixed rate, funds advanced, residential mortgages, insured, 5 years and more","Dollars  (x 1,000,000)","2,071","2,335","2,585","3,135","4,248","4,540","5,483","5,258","5,202","5,372","5,512","4,331","3,934","4,154"
,"Interest rate","3.69","3.65","3.57","3.36","3.21","3.08","2.94","2.86","2.80","2.80","2.83","2.88","2.91","2.90"
"Total, funds advanced, residential mortgages, uninsured 7","Dollars  (x 1,000,000)","16,193","14,605","16,940","20,490","26,363","29,339","33,458","31,821","28,385","30,158","28,199","25,281","23,105","22,361"
,"Interest rate","3.72","3.73","3.68","3.52","3.39","3.26","3.15","3.11","3.10","3.08","3.13","3.17","3.20","3.18"
