REF_DATE,GEO,DGUID,Components,Unit of measure,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-01,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,5916,,,,0
2019-02,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,5844,,,,0
2019-03,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,6529,,,,0
2019-04,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,8195,,,,0
2019-05,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,10357,,,,0
2019-06,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,11752,,,,0
2019-07,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,12310,,,,0
2019-08,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,11008,,,,0
2019-09,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,10072,,,,0
2019-10,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,10248,,,,0
2019-11,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,9744,,,,0
2019-12,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,8043,,,,0
2020-01,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,7572,,,,0
2020-02,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,7970,,,,0
2020-03,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667724,1.1.1,9483,,,,0
2019-01,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.84,,,,2
2019-02,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.82,,,,2
2019-03,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.76,,,,2
2019-04,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.59,,,,2
2019-05,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.45,,,,2
2019-06,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.33,,,,2
2019-07,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.22,,,,2
2019-08,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.16,,,,2
2019-09,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.12,,,,2
2019-10,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.12,,,,2
2019-11,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.13,,,,2
2019-12,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.23,,,,2
2020-01,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.24,,,,2
2020-02,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.19,,,,2
2020-03,Canada,2016A000011124,"Total, funds advanced, residential mortgages, insured",Interest rate,Percent,239,units,0,v122667775,1.1.2,3.03,,,,2
2019-01,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,955,,,,0
2019-02,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,781,,,,0
2019-03,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,783,,,,0
2019-04,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,748,,,,0
2019-05,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,761,,,,0
2019-06,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,640,,,,0
2019-07,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,554,,,,0
2019-08,Canada,2016A000011124,"Variable rate, funds advanced, residential mortgages, insured",Dollars,Dollars,81,millions,6,v122667725,1.2.1,463,,,,0
