REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2019-01-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-01-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7529,,,,4
2019-01-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7518,,,,4
2019-01-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7500,,,,4
2019-01-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7507,,,,4
2019-01-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7504,,,,4
2019-01-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-01-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7497,,,,4
2019-01-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7494,,,,4
2019-01-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7440,,,,4
2019-01-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7468,,,,4
2019-01-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7467,,,,4
2019-01-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7492,,,,4
2019-01-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7467,,,,4
2019-01-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7474,,,,4
2019-01-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7493,,,,4
2019-01-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7469,,,,4
2019-01-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-01-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7453,,,,4
2019-01-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-01-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7474,,,,4
2019-01-29,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-01-30,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-01-31,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7469,,,,4
2019-02-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7471,,,,4
2019-02-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7478,,,,4
2019-02-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7477,,,,4
2019-02-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7478,,,,4
2019-02-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7454,,,,4
2019-02-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7487,,,,4
2019-02-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-11,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-02-12,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7464,,,,4
2019-02-13,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-02-14,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7483,,,,4
2019-02-15,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7489,,,,4
2019-02-16,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-17,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-18,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,,..,,,4
2019-02-19,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-02-20,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7472,,,,4
2019-02-21,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7475,,,,4
2019-02-22,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7443,,,,4
2019-02-23,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-24,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-02-25,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7458,,,,4
2019-02-26,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7440,,,,4
2019-02-27,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7485,,,,4
2019-02-28,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7482,,,,4
2019-03-01,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7465,,,,4
2019-03-02,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-03,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-04,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7483,,,,4
2019-03-05,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7479,,,,4
2019-03-06,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7484,,,,4
2019-03-07,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7473,,,,4
2019-03-08,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,1.7462,,,,4
2019-03-09,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
2019-03-10,Canada,2016A000011124,Overnight money market financing,Percent,239,units,0,v39050,1.12,0.0000,,,,4
